span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
15,6,1,0.4289283476874442,0.5710716523125295,0.0
14,6,1,0.4723414981512457,0.5276585018487295,0.0
13,13,5,0.5717869999999999,0.428213,0.0
6,6,4,0.6889,0.3111,0.0
5,3,1,0.728722518955,0.271277481045,0.0
5,4,1,0.728722518955,0.271277481045,0.0
9,6,2,0.728722518955,0.271277481045,0.0
4,2,1,0.7972997927999999,0.2027002072,0.0
8,6,2,0.7972997927999999,0.2027002072,0.0
12,6,3,0.7972997927999999,0.2027002072,0.0
1,1,1,0.83,0.17,0.0
2,2,2,0.83,0.17,0.0
5,5,5,0.83,0.17,0.0
3,2,1,0.86339837,0.13660163,0.0
5,3,2,0.86339837,0.13660163,0.0
7,4,3,0.86339837,0.13660163,0.0
14,12,5,0.86339837,0.13660163,0.0
2,1,1,0.923126,0.076874,0.0
3,2,2,0.923126,0.076874,0.0
6,5,5,0.923126,0.076874,0.0
8,4,4,0.923126,0.076874,0.0
8,7,6,0.923126,0.076874,0.0
10,7,7,0.923126,0.076874,0.0
10,9,5,0.923126,0.076874,0.0
12,6,6,0.923126,0.076874,0.0
12,9,7,0.923126,0.076874,0.0
13,10,9,0.923126,0.076874,0.0
14,9,8,0.923126,0.076874,0.0
7,2,1,0.925852752830998,0.0741472471689935,0.0
8,3,2,0.93445434049,0.06554565951,0.0
6,2,2,0.9625462358,0.0374537642,0.0
13,3,2,0.973447785239782,0.0265522147601982,0.0
4,1,1,0.9810868867045999,0.0189131132954,0.0
4,1,1,0.9810868867046,0.0189131132954,0.0
6,1,1,0.9948942215300226,0.005105778469969,0.0
