span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
15,7,1,0.002527473694981,0.997472526305,0.0
6,6,1,0.022164361129,0.977835638871,0.0
9,3,1,0.0500590635694301,0.9499409364305564,0.0
11,9,2,0.08466785951278,0.9153321404872196,0.0
3,3,1,0.148877,0.851123,0.0
6,6,2,0.148877,0.851123,0.0
9,2,1,0.1862905160408741,0.8137094839590138,0.0
7,2,1,0.2255014504440881,0.774498549555889,0.0
4,2,1,0.2272458528,0.7727541471999997,0.0
8,4,2,0.2272458528,0.7727541471999997,0.0
2,2,1,0.2809,0.7191,0.0
6,6,3,0.2809,0.7191,0.0
7,7,6,0.2809,0.7191,0.0
10,10,5,0.2809,0.7191,0.0
14,14,10,0.2809,0.7191,0.0
3,2,1,0.35879357,0.6412064299999997,0.0
9,7,4,0.35879357,0.6412064299999997,0.0
10,5,4,0.35879357,0.6412064299999997,0.0
11,6,4,0.35879357,0.6412064299999997,0.0
12,6,5,0.35879357,0.6412064299999997,0.0
12,7,4,0.35879357,0.6412064299999997,0.0
14,11,5,0.35879357,0.6412064299999997,0.0
15,8,5,0.35879357,0.6412064299999997,0.0
15,14,7,0.35879357,0.6412064299999997,0.0
13,5,4,0.40154657809,0.5984534219099988,0.0
1,1,1,0.53,0.47,0.0
3,3,3,0.53,0.47,0.0
7,7,7,0.53,0.47,0.0
4,2,2,0.5449459999999999,0.4550539999999997,0.0
4,3,2,0.5449459999999999,0.4550539999999997,0.0
8,4,4,0.5449459999999999,0.4550539999999997,0.0
9,8,6,0.5449459999999999,0.4550539999999997,0.0
9,8,7,0.5449459999999999,0.4550539999999997,0.0
10,6,5,0.5449459999999999,0.4550539999999997,0.0
12,11,7,0.5449459999999999,0.4550539999999997,0.0
13,12,11,0.5449459999999999,0.4550539999999997,0.0
15,11,8,0.5449459999999999,0.4550539999999997,0.0
3,1,1,0.5561151458,0.4438848541999996,0.0
6,2,2,0.5561151458,0.4438848541999996,0.0
15,6,5,0.5561151458,0.4438848541999996,0.0
15,7,5,0.5561151458,0.4438848541999996,0.0
4,1,1,0.5653892598626,0.4346107401373969,0.0
5,1,1,0.5734748962080726,0.4265251037919123,0.0
9,2,2,0.5734748962080726,0.4265251037919123,0.0
6,1,1,0.5807257714572315,0.4192742285427349,0.0
