span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
10,10,1,0.2213015788880306,0.7786984211119692,0.0
6,6,1,0.4045672351359999,0.595432764864,0.0
10,6,1,0.5311237893312729,0.4688762106687254,0.0
15,5,1,0.5675872300017323,0.4324127699982313,0.0
3,3,1,0.636056,0.363944,0.0
11,11,5,0.636056,0.363944,0.0
15,15,13,0.7395999999999999,0.2604,0.0
11,9,2,0.7444037126502399,0.25559628734976,0.0
8,3,1,0.8454701748323646,0.154529825167628,0.0
4,3,1,0.8533327296,0.1466672704,0.0
1,1,1,0.86,0.14,0.0
2,2,2,0.86,0.14,0.0
5,5,5,0.86,0.14,0.0
7,7,7,0.86,0.14,0.0
11,3,1,0.8789678771556353,0.1210321228443281,0.0
7,3,1,0.8798398768222472,0.1201601231777492,0.0
10,8,4,0.90319952,0.09680048,0.0
11,10,5,0.90319952,0.09680048,0.0
12,6,4,0.90319952,0.09680048,0.0
14,8,5,0.90319952,0.09680048,0.0
2,1,1,0.946688,0.053312,0.0
4,2,2,0.946688,0.053312,0.0
4,3,2,0.946688,0.053312,0.0
5,3,3,0.946688,0.053312,0.0
5,4,3,0.946688,0.053312,0.0
5,4,4,0.946688,0.053312,0.0
8,6,4,0.946688,0.053312,0.0
8,6,5,0.946688,0.053312,0.0
10,9,8,0.946688,0.053312,0.0
11,9,7,0.946688,0.053312,0.0
11,10,9,0.946688,0.053312,0.0
12,9,8,0.946688,0.053312,0.0
12,11,6,0.946688,0.053312,0.0
12,11,9,0.946688,0.053312,0.0
14,4,2,0.9600358481319644,0.0399641518680264,0.0
7,3,2,0.96054632896,0.03945367104,0.0
11,3,2,0.9730910062521512,0.0269089937478432,0.0
3,1,1,0.9779997056,0.0220002944,0.0
4,1,1,0.9905661367808,0.0094338632191999,0.0
