span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
12,8,2,0.162024168294434,0.8365718835334843,0.0014039481720625
12,6,2,0.163428116427434,0.8364487301884843,0.0001231533840625
14,14,6,0.2181304499999992,0.7818632999999997,6.250000000000002e-06
10,5,2,0.2383514653777351,0.7616485338409912,7.812500000000004e-10
15,9,4,0.3409255428749913,0.6590744414999946,1.5625000000000013e-08
6,6,4,0.3616649999999997,0.6382099999999999,0.000125
6,6,5,0.3616649999999997,0.6382099999999999,0.000125
13,11,5,0.4695178064999977,0.5304818809999972,3.125000000000001e-07
1,1,1,0.5984999999999998,0.399,0.0025
2,2,2,0.5984999999999998,0.399,0.0025
6,4,3,0.6440743499999988,0.3559193999999998,6.250000000000002e-06
6,5,3,0.6440743499999988,0.3559193999999998,6.250000000000002e-06
15,10,8,0.6440743499999988,0.3559193999999998,6.250000000000002e-06
15,11,8,0.6440743499999988,0.3559193999999998,6.250000000000002e-06
2,1,1,0.6440743499999988,0.3494213999999998,0.00650425
6,3,3,0.6440743499999988,0.3494213999999998,0.00650425
10,6,6,0.6440743499999988,0.3494213999999998,0.00650425
14,13,13,0.6440743499999988,0.3494213999999998,0.00650425
6,2,2,0.6761248728749933,0.3132784979999992,0.0105966291249946
10,4,4,0.6761248728749933,0.3132784979999992,0.0105966291249946
14,6,6,0.6761248728749933,0.3132784979999992,0.0105966291249946
