span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
12,6,1,0.1110907382335935,0.8889092617664037,0.0
4,4,1,0.29986576,0.7001342399999999,0.0
7,4,1,0.3426661036992763,0.6573338963007226,0.0
6,3,1,0.4203686148505596,0.5796313851494393,0.0
9,3,1,0.4246609015665533,0.5753390984334348,0.0
10,5,2,0.5103715235199997,0.4896284764799997,0.0
7,7,5,0.5476,0.4524,0.0
4,3,1,0.6117261503999999,0.3882738495999999,0.0
8,4,2,0.6117261503999999,0.3882738495999999,0.0
8,5,2,0.6117261503999999,0.3882738495999999,0.0
14,7,4,0.6117261503999999,0.3882738495999999,0.0
6,2,1,0.6534761483044091,0.3465238516955903,0.0
11,4,2,0.6534761483044091,0.3465238516955903,0.0
12,4,2,0.6534761483044091,0.3465238516955903,0.0
3,2,1,0.72129872,0.27870128,0.0
7,5,3,0.72129872,0.27870128,0.0
9,5,3,0.72129872,0.27870128,0.0
9,6,3,0.72129872,0.27870128,0.0
9,7,4,0.72129872,0.27870128,0.0
15,10,7,0.72129872,0.27870128,0.0
5,2,1,0.7353787951935994,0.2646212048063999,0.0
1,1,1,0.74,0.26,0.0
4,4,4,0.74,0.26,0.0
2,1,1,0.832352,0.167648,0.0
3,2,2,0.832352,0.167648,0.0
4,3,2,0.832352,0.167648,0.0
6,4,3,0.832352,0.167648,0.0
8,7,5,0.832352,0.167648,0.0
9,7,7,0.832352,0.167648,0.0
10,5,5,0.832352,0.167648,0.0
14,11,9,0.832352,0.167648,0.0
15,9,8,0.832352,0.167648,0.0
13,4,3,0.8718832066755833,0.1281167933244158,0.0
6,2,2,0.8856575744,0.1143424256,0.0
10,4,4,0.8856575744,0.1143424256,0.0
12,5,4,0.8856575744,0.1143424256,0.0
15,6,5,0.8856575744,0.1143424256,0.0
4,1,1,0.9198442161151996,0.0801557838847999,0.0
13,4,4,0.9198442161151996,0.0801557838847999,0.0
5,1,1,0.9428655006462132,0.0571344993537789,0.0
11,2,2,0.9588109631637548,0.0411890368362202,0.0
