span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
14,8,1,0.549043018919064,0.4509569810809329,0.0
13,10,1,0.58462914051567,0.4153708594843269,0.0
4,4,1,0.6561000000000001,0.3438999999999996,0.0
8,5,1,0.7748409780000001,0.2251590219999971,0.0
15,9,2,0.7748409780000001,0.2251590219999971,0.0
14,5,1,0.7892493396961543,0.210750660303797,0.0
2,2,1,0.81,0.1899999999999998,0.0
4,4,3,0.81,0.1899999999999998,0.0
9,5,2,0.8857350000000002,0.1142649999999985,0.0
13,10,3,0.8857350000000002,0.1142649999999985,0.0
1,1,1,0.9,0.0999999999999999,0.0
2,2,2,0.9,0.0999999999999999,0.0
3,3,3,0.9,0.0999999999999999,0.0
5,5,5,0.9,0.0999999999999999,0.0
4,3,1,0.91854,0.081459999999999,0.0
7,6,2,0.91854,0.081459999999999,0.0
10,9,3,0.91854,0.081459999999999,0.0
6,5,2,0.9476999999999998,0.0522999999999994,0.0
8,4,3,0.9476999999999998,0.0522999999999994,0.0
9,6,3,0.9476999999999998,0.0522999999999994,0.0
10,6,4,0.9476999999999998,0.0522999999999994,0.0
13,12,5,0.9476999999999998,0.0522999999999994,0.0
15,12,7,0.9476999999999998,0.0522999999999994,0.0
10,8,5,0.9719999999999999,0.0279999999999997,0.0
2,1,1,0.972,0.0279999999999997,0.0
3,2,2,0.972,0.0279999999999997,0.0
5,4,3,0.972,0.0279999999999997,0.0
7,5,5,0.972,0.0279999999999997,0.0
9,5,5,0.972,0.0279999999999997,0.0
10,8,5,0.972,0.0279999999999997,0.0
13,11,8,0.972,0.0279999999999997,0.0
14,12,7,0.972,0.0279999999999997,0.0
12,4,3,0.9841499999999992,0.015849999999998,0.0
6,2,2,0.9914399999999992,0.008559999999999,0.0
12,5,4,0.9914399999999992,0.008559999999999,0.0
12,5,5,0.9914399999999992,0.008559999999999,0.0
13,5,5,0.9914399999999992,0.008559999999999,0.0
11,3,2,0.9916689059999924,0.0083310939999999,0.0
14,3,2,0.9972490364999906,0.0027509634999999,0.0
4,1,1,0.9972719999999972,0.0027279999999999,0.0
10,2,2,0.9991090799999952,0.0008909199999999,0.0
14,3,3,0.9991090799999952,0.0008909199999999,0.0
6,1,1,0.9997042939199924,0.0002957060799999,0.0
