span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
8,5,1,0.049474545757728,0.9505254542422696,0.0
9,9,2,0.0601692056999999,0.9398307943,0.0
11,8,2,0.1227812811514193,0.877218718848579,0.0
7,3,1,0.1796003424946249,0.8203996575053703,0.0
6,6,2,0.1851929999999999,0.8148070000000001,0.0
7,7,3,0.1851929999999999,0.8148070000000001,0.0
5,4,1,0.1895329979549994,0.8104670020449996,0.0
8,2,1,0.2299590258317928,0.7700409741681739,0.0
4,2,1,0.2871232271999996,0.7128767728,0.0
8,5,2,0.2871232271999996,0.7128767728,0.0
13,8,4,0.2871232271999996,0.7128767728,0.0
14,4,2,0.3101598918873085,0.6898401081126739,0.0
9,9,6,0.3248999999999999,0.6751,0.0
9,3,2,0.3564122899639479,0.64358771003605,0.0
10,4,2,0.3564122899639479,0.64358771003605,0.0
14,6,3,0.3564122899639479,0.64358771003605,0.0
3,2,1,0.4240919699999997,0.57590803,0.0
6,3,2,0.4240919699999997,0.57590803,0.0
6,5,2,0.4240919699999997,0.57590803,0.0
8,6,3,0.4240919699999997,0.57590803,0.0
11,10,5,0.4240919699999997,0.57590803,0.0
15,7,4,0.4823036856899987,0.51769631431,0.0
1,1,1,0.57,0.43,0.0
2,2,2,0.57,0.43,0.0
6,6,6,0.57,0.43,0.0
11,11,11,0.57,0.43,0.0
2,1,1,0.6043139999999999,0.395686,0.0
4,3,3,0.6043139999999999,0.395686,0.0
10,5,5,0.6043139999999999,0.395686,0.0
10,7,7,0.6043139999999999,0.395686,0.0
10,9,7,0.6043139999999999,0.395686,0.0
12,10,9,0.6043139999999999,0.395686,0.0
3,1,1,0.6295450841999997,0.3704549158,0.0
6,2,2,0.6295450841999997,0.3704549158,0.0
8,3,3,0.6295450841999997,0.3704549158,0.0
13,5,5,0.6295450841999997,0.3704549158,0.0
15,6,5,0.6295450841999997,0.3704549158,0.0
4,1,1,0.6501588799913987,0.3498411200086,0.0
