span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
13,13,3,0.1830826008417881,0.8169173835332096,1.5625000000000013e-08
12,12,3,0.2566370404981994,0.7433626470017998,3.125000000000001e-07
3,3,1,0.3600550389187495,0.63993871108125,6.250000000000002e-06
5,5,2,0.3600550389187495,0.63993871108125,6.250000000000002e-06
9,7,2,0.4456920336731138,0.5543079655456254,7.812500000000004e-10
5,3,1,0.4456920336731138,0.5528284977574234,0.001479468569452
2,2,1,0.5055040249999998,0.494370975,0.000125
4,4,2,0.5055040249999998,0.494370975,0.000125
12,12,10,0.5055040249999998,0.494370975,0.000125
13,13,9,0.5055040249999998,0.494370975,0.000125
15,7,3,0.6572691678184416,0.3427308321424636,3.906250000000002e-11
14,6,3,0.6572691678184416,0.3262289479432435,0.0165018842382826
8,7,3,0.6624339195478984,0.3375657679520997,3.125000000000001e-07
6,4,2,0.6624339195478984,0.3281653584114747,0.009400722040625
15,10,5,0.6624339195478984,0.3281653584114747,0.009400722040625
7,4,3,0.6718343290885234,0.3281653584114747,3.125000000000001e-07
7,5,3,0.6718343290885234,0.3281653584114747,3.125000000000001e-07
15,8,5,0.6718343290885234,0.3281653584114747,3.125000000000001e-07
15,10,7,0.6718343290885234,0.3281653584114747,3.125000000000001e-07
9,3,2,0.6737710520176617,0.3245985744406448,0.0016303735416611
1,1,1,0.708225,0.289275,0.0025
5,5,5,0.708225,0.289275,0.0025
8,8,8,0.708225,0.289275,0.0025
15,5,4,0.7658229146900577,0.2341770845286747,7.812500000000004e-10
14,11,10,0.7924738777874998,0.2075198722125,6.250000000000002e-06
15,11,9,0.7924738777874998,0.2075198722125,6.250000000000002e-06
2,1,1,0.7924738777874998,0.2019451297125,0.0055809925
3,2,2,0.7924738777874998,0.2019451297125,0.0055809925
4,2,2,0.7924738777874998,0.2019451297125,0.0055809925
5,4,4,0.7924738777874998,0.2019451297125,0.0055809925
6,5,5,0.7924738777874998,0.2019451297125,0.0055809925
12,7,7,0.7924738777874998,0.2019451297125,0.0055809925
14,9,9,0.7924738777874998,0.2019451297125,0.0055809925
2,1,1,0.7924738777874998,0.2019451297125,0.005580992500000001
3,1,1,0.844235142281004,0.1479605614680373,0.0078042962509515
12,5,5,0.844235142281004,0.1479605614680373,0.0078042962509515
15,6,6,0.844235142281004,0.1479605614680373,0.0078042962509515
