span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
13,13,1,0.000532652967731,0.9994673470322686,0.0
9,5,1,0.0268642004627982,0.9731357995371992,0.0
14,7,2,0.0704654698610688,0.9295345301389304,0.0
8,3,1,0.1111243223060796,0.8888756776939143,0.0
7,3,1,0.1640878274647136,0.835912172535281,0.0
13,5,2,0.1640878274647136,0.835912172535281,0.0
3,3,1,0.175616,0.8243839999999998,0.0
7,6,2,0.2714320896,0.7285679103999991,0.0
15,10,4,0.2714320896,0.7285679103999991,0.0
7,2,1,0.2876693395015244,0.7123306604984528,0.0
2,2,1,0.3136,0.6863999999999998,0.0
3,3,2,0.3136,0.6863999999999998,0.0
6,6,4,0.3136,0.6863999999999998,0.0
15,5,3,0.3361666760704,0.6638333239295978,0.0
6,4,2,0.40742912,0.5925708799999994,0.0
6,5,2,0.40742912,0.5925708799999994,0.0
8,6,3,0.40742912,0.5925708799999994,0.0
13,11,6,0.40742912,0.5925708799999994,0.0
1,1,1,0.56,0.4399999999999999,0.0
2,2,2,0.56,0.4399999999999999,0.0
7,7,7,0.56,0.4399999999999999,0.0
2,1,1,0.589568,0.4104319999999997,0.0
5,4,4,0.589568,0.4104319999999997,0.0
7,4,4,0.589568,0.4104319999999997,0.0
8,4,4,0.589568,0.4104319999999997,0.0
10,7,5,0.589568,0.4104319999999997,0.0
10,8,5,0.589568,0.4104319999999997,0.0
10,8,8,0.589568,0.4104319999999997,0.0
10,9,5,0.589568,0.4104319999999997,0.0
15,8,8,0.589568,0.4104319999999997,0.0
15,11,11,0.589568,0.4104319999999997,0.0
3,1,1,0.6114246656,0.388575334399999,0.0
7,3,3,0.6114246656,0.388575334399999,0.0
11,5,4,0.6114246656,0.388575334399999,0.0
12,4,4,0.6114246656,0.388575334399999,0.0
9,2,2,0.6448577403630313,0.3551422596369554,0.0
6,1,1,0.6585904206291606,0.3414095793708058,0.0
