span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
3,3,1,0.5943460907999997,0.4056476592,6.250000000000002e-06
12,12,11,0.7064693999999999,0.2934056,0.000125
5,3,1,0.7544316748169664,0.2442165932870502,0.00135173189597
13,9,3,0.7544316748169664,0.2442165932870502,0.00135173189597
9,5,2,0.7557834059316864,0.2442165932870502,7.812500000000004e-10
7,6,2,0.8062874994207585,0.18212621825664,0.0115862823225986
7,4,2,0.817873766118357,0.18140026169664,0.000725972185
1,1,1,0.8379,0.1596,0.0025
2,2,2,0.8379,0.1596,0.0025
9,7,3,0.8709089179223994,0.1290907695776,3.125000000000001e-07
3,2,1,0.8709089179223994,0.1218312039776,0.0072598781
9,7,4,0.8781684835223995,0.1218312039776,3.125000000000001e-07
15,8,5,0.8781684835223995,0.1218312039776,3.125000000000001e-07
7,5,4,0.9282861083999998,0.0717076416,6.250000000000002e-06
10,9,8,0.9282861083999998,0.0717076416,6.250000000000002e-06
11,9,8,0.9282861083999998,0.0717076416,6.250000000000002e-06
12,9,8,0.9282861083999998,0.0717076416,6.250000000000002e-06
2,1,1,0.9282861083999998,0.0680687616,0.00364513
4,3,3,0.9282861083999998,0.0680687616,0.00364513
5,4,4,0.9282861083999998,0.0680687616,0.00364513
6,3,3,0.9282861083999998,0.0680687616,0.00364513
6,4,4,0.9282861083999998,0.0680687616,0.00364513
6,5,5,0.9282861083999998,0.0680687616,0.00364513
11,5,3,0.9385447418264584,0.0614552573922804,7.812500000000004e-10
11,5,4,0.9653591008479588,0.03464088352704,1.5625000000000013e-08
3,1,1,0.9653591008479588,0.03130777861344,0.0033331205386
