span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
4,4,1,0.1700817402752,0.8299179472247992,3.125000000000001e-07
12,12,3,0.1700817402752,0.8299179472247992,3.125000000000001e-07
6,3,1,0.2224741168190728,0.7773913668482191,0.0001345163326945
12,12,4,0.2643180287999998,0.7356757211999996,6.250000000000002e-06
5,4,1,0.2923162252515745,0.6954158879879271,0.01226788676048
4,3,1,0.4016697582297581,0.5868002581196343,0.0115299836505974
2,2,1,0.4111903999999998,0.5886845999999998,0.000125
5,5,3,0.4111903999999998,0.5886845999999998,0.000125
12,12,8,0.4111903999999998,0.5886845999999998,0.000125
4,2,1,0.4131997262553556,0.5858520699596343,0.000948203785
10,4,2,0.4981096281224229,0.4851012665017757,0.0167891053757806
11,9,4,0.5390407170943992,0.4609589704055966,3.125000000000001e-07
14,12,5,0.5390407170943992,0.4609589704055966,3.125000000000001e-07
3,2,1,0.5390407170943992,0.451477088805597,0.0094821940999996
9,6,4,0.5485225986943988,0.451477088805597,3.125000000000001e-07
10,7,4,0.5485225986943988,0.451477088805597,3.125000000000001e-07
13,7,6,0.5485225986943988,0.451477088805597,3.125000000000001e-07
14,7,6,0.5485225986943988,0.451477088805597,3.125000000000001e-07
15,9,7,0.5485225986943988,0.451477088805597,3.125000000000001e-07
1,1,1,0.6384,0.3590999999999999,0.0025
2,2,2,0.6384,0.3590999999999999,0.0025
5,5,5,0.6384,0.3590999999999999,0.0025
8,7,6,0.7004845823999991,0.2995091675999993,6.250000000000002e-06
2,1,1,0.7004845823999991,0.2932710875999993,0.00624433
3,2,2,0.7004845823999991,0.2932710875999993,0.00624433
8,6,6,0.7004845823999991,0.2932710875999993,0.00624433
3,1,1,0.742752003144955,0.2474805827084349,0.0097674141465938
8,3,3,0.742752003144955,0.2474805827084349,0.0097674141465938
10,4,4,0.742752003144955,0.2474805827084349,0.0097674141465938
