span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
7,7,2,0.3919965117031998,0.6080031757967987,3.125000000000001e-07
11,11,3,0.3919965117031998,0.6080031757967987,3.125000000000001e-07
3,3,1,0.4949512132687499,0.5050425367312491,6.250000000000002e-06
15,15,7,0.4949512132687499,0.5050425367312491,6.250000000000002e-06
6,3,1,0.5544155859433342,0.4454368321375579,0.0001475819190827
9,6,2,0.6333997990462589,0.365124381372273,0.001475819581452
4,2,1,0.7188508866782504,0.2803063345101799,0.0008427788115625
8,4,2,0.7188508866782504,0.2803063345101799,0.0008427788115625
11,6,3,0.7188508866782504,0.2803063345101799,0.0008427788115625
10,5,3,0.7196936498648129,0.2803063345101799,1.5625000000000013e-08
1,1,1,0.788025,0.2094749999999998,0.0025
4,4,4,0.788025,0.2094749999999998,0.0025
5,5,5,0.788025,0.2094749999999998,0.0025
10,8,4,0.7967925254728987,0.1947795301614733,0.0084279443656226
5,2,1,0.8232165708703312,0.163519533693933,0.0132638954357013
7,3,2,0.8811692863486141,0.1099979373509087,0.0088327763004591
8,7,5,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
9,8,7,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
11,7,6,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
11,9,7,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
12,7,6,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
12,10,6,0.8826222790874992,0.1173714709124984,6.250000000000002e-06
2,1,1,0.8826222790874992,0.1128797284124989,0.0044979924999995
4,2,2,0.8826222790874992,0.1128797284124989,0.0044979924999995
4,3,3,0.8826222790874992,0.1128797284124989,0.0044979924999995
5,4,4,0.8826222790874992,0.1128797284124989,0.0044979924999995
6,5,5,0.8826222790874992,0.1128797284124989,0.0044979924999995
14,5,4,0.8900020618678234,0.1099979373509087,7.812500000000004e-10
3,1,1,0.9299978288936024,0.0649301444191884,0.0050720266872015
15,5,5,0.9299978288936024,0.0649301444191884,0.0050720266872015
