span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
14,6,1,0.0318914752234361,0.9681085247765312,0.0
10,7,1,0.0462917237184439,0.9537082762815542,0.0
9,5,1,0.0676944152991769,0.9323055847008224,0.0
8,8,2,0.15752961,0.84247039,0.0
5,3,1,0.282844414755,0.717155585245,0.0
10,9,2,0.282844414755,0.717155585245,0.0
6,2,1,0.381074493613634,0.6189255063863656,0.0
8,4,2,0.3906734328,0.6093265672,0.0
8,7,2,0.3906734328,0.6093265672,0.0
10,5,3,0.3906734328,0.6093265672,0.0
10,7,3,0.3906734328,0.6093265672,0.0
2,2,1,0.3969,0.6031,0.0
3,3,2,0.3969,0.6031,0.0
4,4,3,0.3969,0.6031,0.0
13,13,10,0.3969,0.6031,0.0
14,14,7,0.3969,0.6031,0.0
15,15,13,0.3969,0.6031,0.0
13,4,2,0.4599962073118489,0.540003792688141,0.0
9,4,2,0.4866412588600499,0.5133587411399497,0.0
3,2,1,0.52759917,0.47240083,0.0
5,3,2,0.52759917,0.47240083,0.0
6,3,2,0.52759917,0.47240083,0.0
8,5,3,0.52759917,0.47240083,0.0
9,6,3,0.52759917,0.47240083,0.0
9,7,3,0.52759917,0.47240083,0.0
13,12,5,0.52759917,0.47240083,0.0
15,9,5,0.52759917,0.47240083,0.0
15,11,5,0.52759917,0.47240083,0.0
15,5,4,0.6063314688899999,0.3936685311099998,0.0
1,1,1,0.63,0.37,0.0
3,3,3,0.63,0.37,0.0
4,4,4,0.63,0.37,0.0
2,1,1,0.690606,0.309394,0.0
6,3,3,0.690606,0.309394,0.0
9,8,5,0.690606,0.309394,0.0
10,8,7,0.690606,0.309394,0.0
12,9,7,0.690606,0.309394,0.0
15,11,11,0.690606,0.309394,0.0
6,2,2,0.7329877758,0.2670122241999999,0.0
11,5,4,0.7329877758,0.2670122241999999,0.0
14,6,5,0.7329877758,0.2670122241999999,0.0
4,1,1,0.7659184155965998,0.234081584403399,0.0
11,3,3,0.7659184155965998,0.234081584403399,0.0
5,1,1,0.7927848780746543,0.2072151219253353,0.0
6,1,1,0.8153301387277276,0.1846698612722266,0.0
