span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
4,4,2,0.902725625,0.097149375,0.000125
8,8,5,0.902725625,0.097149375,0.000125
10,10,9,0.902725625,0.097149375,0.000125
13,13,9,0.902725625,0.097149375,0.000125
1,1,1,0.947625,0.049875,0.0025
2,2,2,0.947625,0.049875,0.0025
9,9,9,0.947625,0.049875,0.0025
5,3,1,0.9670745724080624,0.0323143816766027,0.000611045915332
15,9,3,0.9670745724080624,0.0323143816766027,0.000611045915332
14,8,3,0.9676856175421444,0.0323143816766027,7.812500000000004e-10
7,4,2,0.9774056923559554,0.0223041241674802,0.0002901834765625
8,4,2,0.9774056923559554,0.0223041241674802,0.0002901834765625
13,7,4,0.977695860207518,0.0223041241674802,1.5625000000000013e-08
15,10,5,0.9831291018124986,0.013968907171875,0.002901991015625
7,4,3,0.9860307803281235,0.013968907171875,3.125000000000001e-07
5,3,2,0.9860307803281236,0.013968907171875,3.125000000000001e-07
7,4,3,0.9860307803281236,0.013968907171875,3.125000000000001e-07
11,7,4,0.9860307803281236,0.013968907171875,3.125000000000001e-07
7,6,4,0.9915017296875,0.0084920203125,6.250000000000002e-06
10,6,5,0.9915017296875,0.0084920203125,6.250000000000002e-06
11,8,6,0.9915017296875,0.0084920203125,6.250000000000002e-06
2,1,1,0.9915017296875,0.0072059578125,0.0012923125
3,2,2,0.9915017296875,0.0072059578125,0.0012923125
4,2,2,0.9915017296875,0.0072059578125,0.0012923125
6,4,4,0.9915017296875,0.0072059578125,0.0012923125
14,8,8,0.9915017296875,0.0072059578125,0.0012923125
10,4,3,0.9977701723330944,0.0022298268856535,7.812500000000004e-10
15,7,6,0.9984277486853008,0.0015722356896972,1.5625000000000013e-08
