span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
13,12,1,0.0290020106136899,0.9709979893863075,0.0
14,6,1,0.0626449734040561,0.9373550265959012,0.0
6,3,1,0.26956597886362,0.7304340211363796,0.0
6,4,1,0.26956597886362,0.7304340211363796,0.0
9,9,4,0.300763,0.6992369999999999,0.0
2,2,1,0.4489000000000001,0.5510999999999999,0.0
6,6,4,0.4489000000000001,0.5510999999999999,0.0
8,8,4,0.4489000000000001,0.5510999999999999,0.0
10,10,5,0.4489000000000001,0.5510999999999999,0.0
13,13,11,0.4489000000000001,0.5510999999999999,0.0
15,15,10,0.4489000000000001,0.5510999999999999,0.0
11,6,3,0.4675060072,0.5324939927999995,0.0
3,2,1,0.5985183700000001,0.4014816299999995,0.0
5,3,2,0.5985183700000001,0.4014816299999995,0.0
6,4,2,0.5985183700000001,0.4014816299999995,0.0
12,6,5,0.5985183700000001,0.4014816299999995,0.0
15,10,5,0.5985183700000001,0.4014816299999995,0.0
3,3,3,0.67,0.3299999999999999,0.0
8,8,8,0.67,0.3299999999999999,0.0
14,6,4,0.6869517148899995,0.313048285109998,0.0
2,1,1,0.745174,0.2548259999999997,0.0
4,2,2,0.745174,0.2548259999999997,0.0
5,4,3,0.745174,0.2548259999999997,0.0
6,4,3,0.745174,0.2548259999999997,0.0
13,10,9,0.745174,0.2548259999999997,0.0
13,11,7,0.745174,0.2548259999999997,0.0
14,11,9,0.745174,0.2548259999999997,0.0
15,13,13,0.745174,0.2548259999999997,0.0
13,4,3,0.7481441504793541,0.2518558495206365,0.0
3,1,1,0.7950369141999996,0.204963085799999,0.0
8,3,3,0.7950369141999996,0.204963085799999,0.0
9,4,4,0.7950369141999996,0.204963085799999,0.0
4,1,1,0.8317858819653982,0.1682141180345965,0.0
8,2,2,0.8317858819653982,0.1682141180345965,0.0
5,1,1,0.8602240706706491,0.1397759293293359,0.0
10,2,2,0.8602240706706491,0.1397759293293359,0.0
