span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
15,10,2,0.0882094026562976,0.9117905973437016,0.0
7,6,1,0.1288910945872128,0.8711089054127872,0.0
10,10,3,0.14776336,0.85223664,0.0
6,4,1,0.18630477271552,0.81369522728448,0.0
6,5,1,0.18630477271552,0.81369522728448,0.0
12,10,2,0.18630477271552,0.81369522728448,0.0
5,4,1,0.26567852128,0.73432147872,0.0
8,2,1,0.3454804224273944,0.6545195775725832,0.0
10,7,3,0.3723636672,0.6276363328,0.0
4,4,2,0.3844,0.6156,0.0
9,3,2,0.4641128926912,0.5358871073088,0.0
14,6,3,0.4641128926912,0.5358871073088,0.0
3,2,1,0.51002192,0.48997808,0.0
5,3,2,0.51002192,0.48997808,0.0
7,5,3,0.51002192,0.48997808,0.0
8,4,3,0.51002192,0.48997808,0.0
11,7,4,0.51002192,0.48997808,0.0
12,7,4,0.51002192,0.48997808,0.0
1,1,1,0.62,0.38,0.0
2,2,2,0.62,0.38,0.0
13,4,3,0.6400580353424637,0.3599419646575348,0.0
2,1,1,0.676544,0.323456,0.0
3,2,2,0.676544,0.323456,0.0
5,4,3,0.676544,0.323456,0.0
6,4,3,0.676544,0.323456,0.0
6,4,4,0.676544,0.323456,0.0
7,4,4,0.676544,0.323456,0.0
14,11,9,0.676544,0.323456,0.0
3,1,1,0.7165092992,0.2834907008,0.0
11,4,4,0.7165092992,0.2834907008,0.0
11,5,4,0.7165092992,0.2834907008,0.0
13,6,6,0.7165092992,0.2834907008,0.0
5,1,1,0.7737763437574207,0.2262236562425711,0.0
