span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
11,11,5,0.3890169999999999,0.6109829999999999,0.0
13,13,5,0.3890169999999999,0.6109829999999999,0.0
11,10,2,0.3964956728771794,0.6035043271228189,0.0
10,7,2,0.4871718243549995,0.5128281756449993,0.0
10,3,1,0.5174238355943005,0.4825761644056425,0.0
7,7,5,0.5328999999999999,0.4671,0.0
9,9,7,0.5328999999999999,0.4671,0.0
10,7,3,0.5906834127999996,0.4093165871999997,0.0
5,3,2,0.7041207699999996,0.29587923,0.0
6,3,2,0.7041207699999996,0.29587923,0.0
6,4,2,0.7041207699999996,0.29587923,0.0
6,5,2,0.7041207699999996,0.29587923,0.0
8,4,3,0.7041207699999996,0.29587923,0.0
11,8,4,0.7041207699999996,0.29587923,0.0
5,2,1,0.7138622030495482,0.28613779695045,0.0
2,2,2,0.73,0.27,0.0
12,12,12,0.73,0.27,0.0
2,1,1,0.8206659999999997,0.179334,0.0
3,2,2,0.8206659999999997,0.179334,0.0
4,2,2,0.8206659999999997,0.179334,0.0
6,5,4,0.8206659999999997,0.179334,0.0
8,7,4,0.8206659999999997,0.179334,0.0
10,9,5,0.8206659999999997,0.179334,0.0
11,8,6,0.8206659999999997,0.179334,0.0
11,8,7,0.8206659999999997,0.179334,0.0
12,10,10,0.8206659999999997,0.179334,0.0
13,9,8,0.8206659999999997,0.179334,0.0
14,8,7,0.8206659999999997,0.179334,0.0
13,3,2,0.8507157604609965,0.1492842395389539,0.0
3,1,1,0.874276805799999,0.1257231942,0.0
6,2,2,0.874276805799999,0.1257231942,0.0
9,3,3,0.874276805799999,0.1257231942,0.0
4,1,1,0.9094991052105988,0.0905008947894,0.0
5,1,1,0.9337972084589996,0.0662027915409915,0.0
14,3,3,0.9337972084589996,0.0662027915409915,0.0
6,1,1,0.951038170599908,0.048961829400048,0.0
