span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
9,8,1,0.0147890993009416,0.9852109006990568,0.0
10,3,1,0.0618728233805495,0.9381271766193948,0.0
11,11,3,0.07311616,0.92688384,0.0
13,13,4,0.07311616,0.92688384,0.0
6,4,1,0.07670996549632,0.9232900345036792,0.0
12,7,2,0.07670996549632,0.9232900345036792,0.0
5,3,1,0.12926937088,0.8707306291199993,0.0
13,11,3,0.12926937088,0.8707306291199993,0.0
13,4,2,0.2066519527135216,0.7933480472864669,0.0
10,9,3,0.2134991872,0.7865008127999993,0.0
13,7,4,0.2134991872,0.7865008127999993,0.0
2,2,1,0.2704,0.7296,0.0
3,3,2,0.2704,0.7296,0.0
4,4,2,0.2704,0.7296,0.0
4,4,3,0.2704,0.7296,0.0
9,9,7,0.2704,0.7296,0.0
10,10,5,0.2704,0.7296,0.0
11,3,2,0.2948104740764336,0.7051895259235577,0.0
12,3,2,0.2948104740764336,0.7051895259235577,0.0
6,3,2,0.34308352,0.6569164799999996,0.0
9,7,3,0.34308352,0.6569164799999996,0.0
1,1,1,0.52,0.48,0.0
2,1,1,0.529984,0.4700159999999998,0.0
4,2,2,0.529984,0.4700159999999998,0.0
4,3,2,0.529984,0.4700159999999998,0.0
8,7,4,0.529984,0.4700159999999998,0.0
9,7,5,0.529984,0.4700159999999998,0.0
10,8,6,0.529984,0.4700159999999998,0.0
10,8,7,0.529984,0.4700159999999998,0.0
12,10,6,0.529984,0.4700159999999998,0.0
3,1,1,0.5374600191999996,0.4625399807999994,0.0
12,5,4,0.5374600191999996,0.4625399807999994,0.0
14,6,5,0.5374600191999996,0.4625399807999994,0.0
