span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
10,10,2,0.1962038215468779,0.8037961628281193,1.5625000000000013e-08
7,7,3,0.3753753695999996,0.6246183804,6.250000000000002e-06
10,7,2,0.4679458271453784,0.5320541720733629,7.812500000000004e-10
2,2,1,0.5197715999999999,0.4801034,0.000125
5,5,3,0.5197715999999999,0.4801034,0.000125
6,6,5,0.5197715999999999,0.4801034,0.000125
8,8,6,0.5197715999999999,0.4801034,0.000125
11,10,3,0.5601071776204761,0.4398928067545163,1.562500000000001e-08
11,10,3,0.5601071776204761,0.4398928067545163,1.5625000000000013e-08
13,12,4,0.5601071776204761,0.4271242679449193,0.012768554434597
5,2,1,0.6795492420663524,0.3041821111093107,0.0162686468243195
15,13,6,0.6798668585903977,0.3201328289095996,3.125000000000001e-07
5,4,2,0.6798668585903977,0.3107991017095996,0.0093340397
12,6,4,0.6892005857903977,0.3107991017095996,3.125000000000001e-07
14,5,3,0.6958178888516094,0.3041821111093107,3.906250000000002e-11
1,1,1,0.7182,0.2793,0.0025
2,2,2,0.7182,0.2793,0.0025
6,6,6,0.7182,0.2793,0.0025
7,3,2,0.7715278333921001,0.2165846561949012,0.0118875104129876
12,4,3,0.7834153430238376,0.2165846561949012,7.812500000000004e-10
4,3,2,0.8047268207999992,0.1952669292,6.250000000000002e-06
9,7,6,0.8047268207999992,0.1952669292,6.250000000000002e-06
9,8,7,0.8047268207999992,0.1952669292,6.250000000000002e-06
12,9,8,0.8047268207999992,0.1952669292,6.250000000000002e-06
12,10,6,0.8047268207999992,0.1952669292,6.250000000000002e-06
12,11,6,0.8047268207999992,0.1952669292,6.250000000000002e-06
15,11,8,0.8047268207999992,0.1952669292,6.250000000000002e-06
15,12,11,0.8047268207999992,0.1952669292,6.250000000000002e-06
5,3,3,0.8047268207999992,0.1898086092,0.00546457
13,12,12,0.8047268207999992,0.1898086092,0.00546457
15,7,6,0.8568450327628746,0.1431549516121186,1.5625000000000013e-08
3,1,1,0.8568450327628746,0.1356725228065186,0.0074824444306
5,2,2,0.8568450327628746,0.1356725228065186,0.0074824444306
7,3,3,0.8568450327628746,0.1356725228065186,0.0074824444306
8,3,3,0.8568450327628746,0.1356725228065186,0.0074824444306
13,5,5,0.8568450327628746,0.1356725228065186,0.0074824444306
