span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
4,4,1,0.8145062499999999,0.18549375,0.0
7,7,2,0.8145062499999999,0.18549375,0.0
10,10,3,0.8145062499999999,0.18549375,0.0
2,2,1,0.9025,0.0975,0.0
3,3,2,0.9025,0.0975,0.0
4,4,2,0.9025,0.0975,0.0
6,6,3,0.9025,0.0975,0.0
11,11,8,0.9025,0.0975,0.0
1,1,1,0.95,0.05,0.0
2,2,2,0.95,0.05,0.0
3,3,3,0.95,0.05,0.0
6,5,1,0.9556194578124998,0.0443805421875,0.0
5,3,1,0.967226171875,0.032773828125,0.0
15,9,3,0.967226171875,0.032773828125,0.0
7,6,2,0.9774075,0.0225925,0.0
12,9,3,0.9774075,0.0225925,0.0
15,8,4,0.9774075,0.0225925,0.0
15,10,4,0.9774075,0.0225925,0.0
6,4,2,0.98598125,0.01401875,0.0
7,4,3,0.98598125,0.01401875,0.0
10,6,4,0.98598125,0.01401875,0.0
2,1,1,0.99275,0.00725,0.0
3,2,2,0.99275,0.00725,0.0
6,5,4,0.99275,0.00725,0.0
8,6,4,0.99275,0.00725,0.0
14,12,7,0.99275,0.00725,0.0
15,9,8,0.99275,0.00725,0.0
11,5,2,0.9942117820703122,0.0057882179296875,0.0
10,4,3,0.99777015625,0.00222984375,0.0
15,4,2,0.9984477490900366,0.0015522509099609,0.0
3,1,1,0.998841875,0.001158125,0.0
6,2,2,0.998841875,0.001158125,0.0
9,4,4,0.998841875,0.001158125,0.0
13,4,3,0.9996282486328124,0.0003717513671875,0.0
11,3,3,0.999806421875,0.000193578125,0.0
5,1,1,0.9999667777929686,3.322220703125014e-05,0.0
9,2,2,0.9999667777929686,3.322220703125014e-05,0.0
13,3,3,0.9999667777929686,3.322220703125014e-05,0.0
