span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
8,8,1,0.2044140858654975,0.7955859141345023,0.0
15,15,2,0.2044140858654975,0.7955859141345023,0.0
7,7,2,0.4521217599999999,0.54787824,0.0
8,7,1,0.4987703695118135,0.5012296304881856,0.0
15,14,2,0.4987703695118135,0.5012296304881856,0.0
10,10,4,0.5513679999999999,0.448632,0.0
13,13,6,0.5513679999999999,0.448632,0.0
6,3,1,0.6323338765619195,0.36766612343808,0.0
6,4,1,0.6323338765619195,0.36766612343808,0.0
6,5,1,0.6323338765619195,0.36766612343808,0.0
2,2,1,0.6723999999999999,0.3276,0.0
5,5,3,0.6723999999999999,0.3276,0.0
5,5,4,0.6723999999999999,0.3276,0.0
15,15,12,0.6723999999999999,0.3276,0.0
9,4,1,0.683552526570787,0.3164474734292047,0.0
9,6,2,0.7044057020799998,0.29559429792,0.0
8,3,1,0.7371989592653291,0.2628010407346672,0.0
4,2,1,0.7776494271999999,0.2223505728,0.0
4,3,1,0.7776494271999999,0.2223505728,0.0
11,10,3,0.7776494271999999,0.2223505728,0.0
10,3,1,0.8061382017066555,0.1938617982932961,0.0
1,1,1,0.82,0.18,0.0
3,3,3,0.82,0.18,0.0
6,2,1,0.8391800157988091,0.1608199842011904,0.0
11,4,2,0.8391800157988091,0.1608199842011904,0.0
3,2,1,0.8491067199999999,0.15089328,0.0
6,4,2,0.8491067199999999,0.15089328,0.0
13,8,6,0.8491067199999999,0.15089328,0.0
5,2,1,0.8845852658751998,0.1154147341248,0.0
13,6,3,0.8845852658751998,0.1154147341248,0.0
2,1,1,0.914464,0.085536,0.0
4,2,2,0.914464,0.085536,0.0
8,7,7,0.914464,0.085536,0.0
12,10,8,0.914464,0.085536,0.0
14,9,7,0.914464,0.085536,0.0
12,3,2,0.9384661626325124,0.0615338373674816,0.0
15,3,2,0.951069404274202,0.0489305957257652,0.0
3,1,1,0.9562926591999998,0.0437073408,0.0
