span,t_step,h_step,a_victory_rate,b_victory_rate,no_victory_rate
2,2,1,0.8835999999999999,0.1164,0.0
3,3,2,0.8835999999999999,0.1164,0.0
7,7,6,0.8835999999999999,0.1164,0.0
10,10,9,0.8835999999999999,0.1164,0.0
14,14,13,0.8835999999999999,0.1164,0.0
1,1,1,0.94,0.06,0.0
2,2,2,0.94,0.06,0.0
3,3,3,0.94,0.06,0.0
5,3,1,0.9540752291199998,0.04592477088,0.0
13,8,3,0.9540752291199998,0.04592477088,0.0
13,11,3,0.9540752291199998,0.04592477088,0.0
11,5,1,0.9607514780760892,0.0392485219238899,0.0
4,3,1,0.9681287103999998,0.0318712896,0.0
8,7,2,0.9681287103999998,0.0318712896,0.0
11,9,3,0.9681287103999998,0.0318712896,0.0
13,10,4,0.9681287103999998,0.0318712896,0.0
9,4,1,0.9752371533931044,0.024762846606888,0.0
8,5,3,0.9800891199999999,0.01991088,0.0
8,5,3,0.98008912,0.01991088,0.0
12,7,5,0.98008912,0.01991088,0.0
13,10,6,0.98008912,0.01991088,0.0
15,8,7,0.98008912,0.01991088,0.0
15,6,2,0.9811621634757212,0.018837836524272,0.0
2,1,1,0.989632,0.010368,0.0
3,2,2,0.989632,0.010368,0.0
4,2,2,0.989632,0.010368,0.0
6,3,3,0.989632,0.010368,0.0
7,6,5,0.989632,0.010368,0.0
8,4,4,0.989632,0.010368,0.0
9,7,7,0.989632,0.010368,0.0
10,6,6,0.989632,0.010368,0.0
10,8,8,0.989632,0.010368,0.0
11,9,9,0.989632,0.010368,0.0
12,10,8,0.989632,0.010368,0.0
14,9,8,0.989632,0.010368,0.0
15,11,11,0.989632,0.010368,0.0
6,2,1,0.9903770576839932,0.0096229423160064,0.0
10,4,2,0.9937060463295996,0.0062939536704,0.0
13,5,3,0.9937060463295996,0.0062939536704,0.0
11,4,3,0.9962356729599998,0.00376432704,0.0
3,1,1,0.9980297344,0.0019702656,0.0
5,2,2,0.9980297344,0.0019702656,0.0
6,2,2,0.9980297344,0.0019702656,0.0
15,5,5,0.9980297344,0.0019702656,0.0
15,7,6,0.9980297344,0.0019702656,0.0
13,4,3,0.9992543607389436,0.000745639261056,0.0
4,1,1,0.9996085084671998,0.0003914915328,0.0
