turn_system,failure_rate,p,span,t_step,h_step,shortest_coins,upper_limit_coins,theoretical_a_win_rate,theoretical_no_win_match_rate
alternating,0.1,0.7,1.0,1.0,1.0,1.0,2.0,0.6636363636363637,0.010000000000000002
alternating,0.1,0.7,2.0,1.0,1.0,2.0,4.0,0.5781148389003843,0.025696000000000007
alternating,0.1,0.7,2.0,2.0,1.0,1.0,4.0,0.5232622375064023,0.015976
alternating,0.1,0.7,2.0,2.0,2.0,1.0,2.0,0.6636363636363637,0.010000000000000002
alternating,0.1,0.7,3.0,1.0,1.0,3.0,6.0,0.547014522491131,0.04008448180000003
alternating,0.1,0.7,3.0,2.0,1.0,2.0,6.0,0.519154614368098,0.015244462900000005
alternating,0.1,0.7,3.0,2.0,2.0,2.0,4.0,0.5781148389003843,0.025696000000000007
alternating,0.1,0.7,3.0,3.0,1.0,1.0,6.0,0.4645206640714069,0.014535874900000002
alternating,0.1,0.7,3.0,3.0,2.0,1.0,4.0,0.5232622375064023,0.015976
alternating,0.1,0.7,3.0,3.0,3.0,1.0,2.0,0.6636363636363637,0.010000000000000002
alternating,0.1,0.7,4.0,1.0,1.0,4.0,8.0,0.5316512341431978,0.05183943613120044
alternating,0.1,0.7,4.0,2.0,1.0,3.0,8.0,0.5177239747275,0.012381818443839893
alternating,0.1,0.7,4.0,2.0,2.0,2.0,4.0,0.5781148389003843,0.025696000000000007
alternating,0.1,0.7,4.0,3.0,1.0,2.0,8.0,0.4944414926122046,0.010632403901439984
alternating,0.1,0.7,4.0,3.0,2.0,2.0,4.0,0.5775731112171136,0.018892000000000003
alternating,0.1,0.7,4.0,3.0,3.0,2.0,4.0,0.5781148389003843,0.025696000000000007
alternating,0.1,0.7,4.0,4.0,1.0,1.0,8.0,0.44003199742369997,0.010577227349439978
alternating,0.1,0.7,4.0,4.0,2.0,1.0,4.0,0.5232622375064023,0.015976
alternating,0.1,0.7,4.0,4.0,3.0,1.0,4.0,0.5232622375064023,0.015976
alternating,0.1,0.7,4.0,4.0,4.0,1.0,2.0,0.6636363636363637,0.010000000000000002
alternating,0.1,0.7,5.0,1.0,1.0,5.0,10.0,0.5224897151370219,0.06090760966691627
