Pattern,Category,Name,Value,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99

,,ヘッダー
,,--------

,,前提条件
,,--------
,,p,51.0
,,failure_rate,5.0
,,turn_system,frozen

,,大会で設定するルール
,,-------------------
,,h_step,1
,,t_step,2
,,span,3
,,shortest_coins,2
,,upper_limit_coins,5


1,スコアボード
1,-----------
1,,確率,0.11373165112499999

1,,,S,1,2,3
1,,表番,,A,A,A
1,,出目,,表,表,表
1,,Ａさん,3,2,1,0
1,,Ｂさん,3,3,3,3

1,,内容,満点で
1,,判定,Ａさんの勝ち


2,スコアボード
2,-----------
2,,確率,0.05294208359868749

2,,,S,1,2,3,4
2,,表番,,A,A,A,A
2,,出目,,表,表,裏,表
2,,Ａさん,3,2,1,1,0
2,,Ｂさん,3,3,3,1,1

2,,内容,満点で
2,,判定,Ａさんの勝ち


3,スコアボード
3,-----------
3,,確率,0.05086592345756249

3,,,S,1,2,3,4
3,,表番,,A,A,A,A
3,,出目,,表,表,裏,裏
3,,Ａさん,3,2,1,1,1
3,,Ｂさん,3,3,3,1,-1

3,,内容,満点で
3,,判定,Ｂさんの勝ち


4,スコアボード
4,-----------
4,,確率,0.0026471041799343746

4,,,S,1,2,3,4,5
4,,表番,,A,A,A,A,A
4,,出目,,表,表,裏,失,表
4,,Ａさん,3,2,1,1,1,0
4,,Ｂさん,3,3,3,1,1,1

4,,内容,満点で
4,,判定,Ａさんの勝ち


5,スコアボード
5,-----------
5,,確率,0.0025432961728781246

5,,,S,1,2,3,4,5
5,,表番,,A,A,A,A,A
5,,出目,,表,表,裏,失,裏
5,,Ａさん,3,2,1,1,1,1
5,,Ｂさん,3,3,3,1,1,-1

5,,内容,満点で
5,,判定,Ｂさんの勝ち


6,スコアボード
6,-----------
6,,確率,0.00027317896593749997

6,,,S,1,2,3,4,5
6,,表番,,A,A,A,A,A
6,,出目,,表,表,裏,失,失
6,,Ａさん,3,2,1,1,1,1
6,,Ｂさん,3,3,3,1,1,1

6,,内容,
6,,判定,勝者なし


7,スコアボード
7,-----------
7,,確率,0.00568658255625

7,,,S,1,2,3,4
7,,表番,,A,A,A,A
7,,出目,,表,表,失,表
7,,Ａさん,3,2,1,1,0
7,,Ｂさん,3,3,3,3,3

7,,内容,満点で
7,,判定,Ａさんの勝ち


8,スコアボード
8,-----------
8,,確率,0.0026471041799343746

8,,,S,1,2,3,4,5
8,,表番,,A,A,A,A,A
8,,出目,,表,表,失,裏,表
8,,Ａさん,3,2,1,1,1,0
8,,Ｂさん,3,3,3,3,1,1

8,,内容,満点で
8,,判定,Ａさんの勝ち


9,スコアボード
9,-----------
9,,確率,0.0025432961728781246

9,,,S,1,2,3,4,5
9,,表番,,A,A,A,A,A
9,,出目,,表,表,失,裏,裏
9,,Ａさん,3,2,1,1,1,1
9,,Ｂさん,3,3,3,3,1,-1

9,,内容,満点で
9,,判定,Ｂさんの勝ち


10,スコアボード
10,-----------
10,,確率,0.00027317896593749997

10,,,S,1,2,3,4,5
10,,表番,,A,A,A,A,A
10,,出目,,表,表,失,裏,失
10,,Ａさん,3,2,1,1,1,1
10,,Ｂさん,3,3,3,3,1,1

10,,内容,
10,,判定,勝者なし


11,スコアボード
11,-----------
11,,確率,0.0002843291278125

11,,,S,1,2,3,4,5
11,,表番,,A,A,A,A,A
11,,出目,,表,表,失,失,表
11,,Ａさん,3,2,1,1,1,0
11,,Ｂさん,3,3,3,3,3,3

11,,内容,満点で
11,,判定,Ａさんの勝ち


12,スコアボード
12,-----------
12,,確率,0.00027317896593749997

12,,,S,1,2,3,4,5
12,,表番,,A,A,A,A,A
12,,出目,,表,表,失,失,裏
12,,Ａさん,3,2,1,1,1,1
12,,Ｂさん,3,3,3,3,3,1

12,,内容,
12,,判定,勝者なし


13,スコアボード
13,-----------
13,,確率,2.934253125e-05

13,,,S,1,2,3,4,5
13,,表番,,A,A,A,A,A
13,,出目,,表,表,失,失,失
13,,Ａさん,3,2,1,1,1,1
13,,Ｂさん,3,3,3,3,3,3

13,,内容,勝ち点差で
13,,判定,Ａさんの勝ち


14,スコアボード
14,-----------
14,,確率,0.052942083598687496

14,,,S,1,2,3,4
14,,表番,,A,A,A,A
14,,出目,,表,裏,表,表
14,,Ａさん,3,2,2,1,0
14,,Ｂさん,3,3,1,1,1

14,,内容,満点で
14,,判定,Ａさんの勝ち


15,スコアボード
15,-----------
15,,確率,0.050865923457562495

15,,,S,1,2,3,4
15,,表番,,A,A,A,A
15,,出目,,表,裏,表,裏
15,,Ａさん,3,2,2,1,1
15,,Ｂさん,3,3,1,1,-1

15,,内容,満点で
15,,判定,Ｂさんの勝ち


16,スコアボード
16,-----------
16,,確率,0.002647104179934375

