turn_system,failure_rate,p,span,t_step,h_step,shortest_coins,upper_limit_coins,theoretical_a_win_rate,theoretical_no_win_match_rate
alternating,0.0,0.6,8.0,4.0,3.0,3.0,5.0,0.5232,0.0
alternating,0.0,0.6,8.0,4.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,5.0,1.0,3.0,15.0,0.4817747193692159,0.0
alternating,0.0,0.6,8.0,5.0,2.0,3.0,7.0,0.5045375999999999,0.0
alternating,0.0,0.6,8.0,5.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,5.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,5.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,1.0,3.0,15.0,0.4942163193692159,0.0
alternating,0.0,0.6,8.0,6.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,8.0,6.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,6.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,6.0,6.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,1.0,2.0,15.0,0.471176319369216,0.0
alternating,0.0,0.6,8.0,7.0,2.0,2.0,7.0,0.4814976,0.0
alternating,0.0,0.6,8.0,7.0,3.0,2.0,5.0,0.5001599999999999,0.0
alternating,0.0,0.6,8.0,7.0,4.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,5.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,6.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,7.0,7.0,2.0,3.0,0.5519999999999999,0.0
alternating,0.0,0.6,8.0,8.0,1.0,1.0,15.0,0.375176319369216,0.0
alternating,0.0,0.6,8.0,8.0,2.0,1.0,7.0,0.3854976,0.0
alternating,0.0,0.6,8.0,8.0,3.0,1.0,5.0,0.4041599999999999,0.0
alternating,0.0,0.6,8.0,8.0,4.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,5.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,6.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,7.0,1.0,3.0,0.4559999999999999,0.0
alternating,0.0,0.6,8.0,8.0,8.0,1.0,1.0,0.6,0.0
alternating,0.0,0.6,9.0,1.0,1.0,9.0,17.0,0.5200710541442682,0.0
alternating,0.0,0.6,9.0,2.0,1.0,6.0,17.0,0.5024917902891435,0.0
