p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.4,alternating,2000,0.4995,-0.0005000000000000004,3,5,11,0.4995,-0.0005000000000000004,3,5,11, [-0.088500 1表 1裏 1目 1～2局 2000試] [-0.033000 1表 1裏 2目 2～5局 2000試] [-0.021000 1表 2裏 3目 2～9局 2000試] [-0.016500 1表 3裏 4目 2～12局 2000試] [-0.012500 2表 3裏 5目 2～9局 2000試] [-0.002000 1表 4裏 5目 2～15局 2000試] [-0.001500 2表 3裏 7目 3～12局 2000試] [-0.001000 2表 3裏 11目 5～19局 2000試] [-0.000500 3表 5裏 11目 3～12局 2000試]
0.51,0.4,alternating,2000,0.4995,-0.0005000000000000004,4,5,9,0.4995,-0.0005000000000000004,4,5,9, [-0.060000 1表 1裏 1目 1～2局 2000試] [-0.056000 1表 1裏 2目 2～5局 2000試] [-0.035500 1表 2裏 3目 2～9局 2000試] [-0.022500 1表 2裏 4目 3～12局 2000試] [-0.014500 1表 2裏 5目 3～15局 2000試] [-0.014000 2表 4裏 5目 2～9局 2000試] [-0.013500 1表 1裏 6目 6～19局 2000試] [-0.005500 1表 2裏 7目 5～22局 2000試] [-0.001500 2表 5裏 7目 2～12局 2000試] [-0.000500 4表 5裏 9目 2～9局 2000試]
0.52,0.4,alternating,2000,0.5005,0.0004999999999999449,2,3,10,0.5005,0.0004999999999999449,2,3,10, [-0.070500 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 3目 3～9局 2000試] [-0.023500 1表 1裏 4目 4～12局 2000試] [-0.020000 1表 2裏 4目 3～12局 2000試] [-0.016500 1表 3裏 4目 2～12局 2000試] [-0.007000 1表 3裏 6目 3～19局 2000試] [-0.004500 2表 4裏 7目 3～12局 2000試] [-0.002500 3表 5裏 7目 2～9局 2000試] [0.000500 2表 3裏 10目 4～15局 2000試]
0.53,0.4,alternating,2000,0.4995,-0.0005000000000000004,3,7,8,0.4995,-0.0005000000000000004,3,7,8, [-0.059500 1表 1裏 1目 1～2局 2000試] [-0.044000 1表 1裏 2目 2～5局 2000試] [-0.011500 1表 2裏 3目 2～9局 2000試] [-0.003500 1表 1裏 5目 5～15局 2000試] [-0.000500 3表 7裏 8目 2～9局 2000試]
0.54,0.4,alternating,2000,0.5005,0.0004999999999999449,2,3,7,0.5005,0.0004999999999999449,2,3,7, [-0.060000 1表 1裏 1目 1～2局 2000試] [-0.042500 1表 1裏 2目 2～5局 2000試] [-0.041000 1表 1裏 3目 3～9局 2000試] [-0.031500 1表 2裏 3目 2～9局 2000試] [-0.028000 2表 2裏 4目 2～5局 2000試] [-0.003000 1表 3裏 4目 2～12局 2000試] [0.000500 2表 3裏 7目 3～12局 2000試]
0.55,0.4,alternating,2000,0.5,0.0,1,2,8,0.5,0.0,1,2,8, [-0.080500 1表 1裏 1目 1～2局 2000試] [-0.055000 1表 1裏 2目 2～5局 2000試] [-0.027500 1表 1裏 3目 3～9局 2000試] [-0.007500 1表 3裏 5目 3～15局 2000試] [-0.003000 2表 3裏 6目 3～9局 2000試] [0.001500 3表 6裏 7目 2～9局 2000試] [0.000000 1表 2裏 8目 5～25局 2000試]
0.56,0.4,alternating,2000,0.4995,-0.0005000000000000004,2,3,8,0.4995,-0.0005000000000000004,2,3,8, [-0.076500 1表 1裏 1目 1～2局 2000試] [-0.044500 1表 1裏 2目 2～5局 2000試] [-0.038500 1表 1裏 3目 3～9局 2000試] [-0.029000 1表 2裏 3目 2～9局 2000試] [-0.020000 1表 3裏 4目 2～12局 2000試] [-0.013000 3表 3裏 4目 2～5局 2000試] [-0.011500 2表 3裏 6目 3～9局 2000試] [-0.004000 1表 2裏 7目 5～22局 2000試] [0.001000 3表 6裏 7目 2～9局 2000試] [-0.000500 2表 3裏 8目 3～12局 2000試]
0.57,0.4,alternating,2000,0.5005,0.0004999999999999449,1,1,9,0.5005,0.0004999999999999449,1,1,9, [-0.061500 1表 1裏 1目 1～2局 2000試] [-0.040500 1表 1裏 2目 2～5局 2000試] [-0.036500 2表 2裏 2目 1～2局 2000試] [-0.034500 1表 1裏 3目 3～9局 2000試] [-0.016500 1表 2裏 3目 2～9局 2000試] [-0.011000 1表 2裏 4目 3～12局 2000試] [-0.006500 1表 3裏 4目 2～12局 2000試] [-0.004000 2表 4裏 6目 2～9局 2000試] [-0.002000 2表 5裏 8目 3～12局 2000試] [0.001000 2表 6裏 8目 2～12局 2000試] [0.000500 1表 1裏 9目 9～29局 2000試]
0.58,0.4,alternating,2000,0.5005,0.0004999999999999449,3,3,9,0.5005,0.0004999999999999449,3,3,9, [-0.045000 1表 1裏 1目 1～2局 2000試] [-0.036500 1表 1裏 3目 3～9局 2000試] [-0.032500 1表 2裏 3目 2～9局 2000試] [-0.027500 2表 2裏 3目 2～5局 2000試] [-0.022500 1表 1裏 4目 4～12局 2000試] [-0.006000 1表 3裏 4目 2～12局 2000試] [0.005000 2表 4裏 7目 3～12局 2000試] [-0.004000 2表 3裏 8目 3～12局 2000試] [0.002500 3表 5裏 8目 2～9局 2000試] [0.000500 3表 3裏 9目 3～9局 2000試]
0.59,0.4,alternating,2000,0.5005,0.0004999999999999449,4,4,9,0.5005,0.0004999999999999449,4,4,9, [-0.051000 1表 1裏 1目 1～2局 2000試] [-0.049000 1表 1裏 2目 2～5局 2000試] [-0.028500 1表 1裏 3目 3～9局 2000試] [-0.008000 1表 2裏 3目 2～9局 2000試] [-0.007500 1表 2裏 4目 3～12局 2000試] [-0.005000 1表 3裏 4目 2～12局 2000試] [-0.004500 1表 2裏 5目 3～15局 2000試] [-0.003500 2表 6裏 8目 2～12局 2000試] [0.001000 3表 4裏 9目 3～9局 2000試] [0.000500 4表 4裏 9目 3～9局 2000試]
0.6,0.4,alternating,2000,0.5,0.0,4,5,10,0.5,0.0,4,5,10, [-0.039500 1表 1裏 1目 1～2局 2000試] [-0.031500 1表 1裏 2目 2～5局 2000試] [-0.011000 1表 1裏 3目 3～9局 2000試] [-0.001500 1表 2裏 4目 3～12局 2000試] [0.001000 1表 4裏 5目 2～15局 2000試] [0.000000 4表 5裏 10目 3～9局 2000試]
