p,best_p,best_p_error,best_number_of_series,p_time,q_time,span,number_of_longest_time,process
0.84,0.497653,0.0023469999999999,2000000,,1,,4,[0.3400  1本  1表  1裏] [0.2059  2本  2表  1裏] [0.0928  3本  3表  1裏] [0.0023  4本  4表  1裏]
0.85,0.4919395,0.0080605,2000000,,2,,11,[0.3497  1本  1表  1裏] [0.2223  2本  2表  1裏] [0.1138  3本  3表  1裏] [0.0220  4本  4表  1裏] [0.0081 11本 10表  2裏]
0.86,0.4968755,0.0031244999999999,2000000,,4,,26,[0.3602  1本  1表  1裏] [0.2396  2本  2表  1裏] [0.1362  3本  3表  1裏] [0.0473  4本  4表  1裏] [0.0295  5本  5表  1裏] [0.0168 12本 11表  2裏] [0.0089 19本 17表  3裏] [0.0031 最長対局数26 23表  4裏]
0.87,0.4981805,0.0018194999999999,2000000,,1,,5,[0.3698  1本  1表  1裏] [0.2568  2本  2表  1裏] [0.1587  3本  3表  1裏] [0.0729  4本  4表  1裏] [0.0018  5本  5表  1裏]
0.88,0.4981855,0.0018144999999999,2000000,,3,,22,[0.3797  1本  1表  1裏] [0.2740  2本  2表  1裏] [0.1814  3本  3表  1裏] [0.0999  4本  4表  1裏] [0.0274  5本  5表  1裏] [0.0259 13本 12表  2裏] [0.0143 14本 13表  2裏] [0.0018 22本 20表  3裏]
0.89,0.497615,0.002385,2000000,,1,,6,[0.3901  1本  1表  1裏] [0.2925  2本  2表  1裏] [0.2053  3本  3表  1裏] [0.1271  4本  4表  1裏] [0.0585  5本  5表  1裏] [0.0579  5本  5表  1裏] [0.0024  6本  6表  1裏]
0.9,0.506755,0.0067549999999999,2000000,,5,,46,[0.4002  1本  1表  1裏] [0.3096  2本  2表  1裏] [0.2299  3本  3表  1裏] [0.1564  4本  4表  1裏] [0.0902  5本  5表  1裏] [0.0314  6本  6表  1裏] [0.0214  7本  7表  1裏] [0.0141 16本 15表  2裏] [0.0104 26本 24表  3裏] [0.0083 最長対局数36 33表  4裏] [0.0068 最長対局数46 42表  5裏]
0.91,0.4929535,0.0070465,2000000,,5,,52,[0.4098  1本  1表  1裏] [0.3283  2本  2表  1裏] [0.2537  3本  3表  1裏] [0.1860  4本  4表  1裏] [0.1243  5本  5表  1裏] [0.0675  6本  6表  1裏] [0.0168  7本  7表  1裏] [0.0093 18本 17表  2裏] [0.0070 最長対局数52 48表  5裏]
0.92,0.502051,0.002051,2000000,,3,,33,[0.4201  1本  1表  1裏] [0.3464  2本  2表  1裏] [0.2788  3本  3表  1裏] [0.2165  4本  4表  1裏] [0.1597  5本  5表  1裏] [0.1063  6本  6表  1裏] [0.0581  7本  7表  1裏] [0.0573  7本  7表  1裏] [0.0136  8本  8表  1裏] [0.0134  8本  8表  1裏] [0.0095 21本 20表  2裏] [0.0093 最長対局数21 20表  2裏] [0.0021 最長対局数33 31表  3裏]
0.93,0.4918155,0.0081844999999999,2000000,,2,,24,[0.4300  1本  1表  1裏] [0.3647  2本  2表  1裏] [0.3040  3本  3表  1裏] [0.2479  4本  4表  1裏] [0.1952  5本  5表  1裏] [0.1469  6本  6表  1裏] [0.1015  7本  7表  1裏] [0.0594  8本  8表  1裏] [0.0205  9本  9表  1裏] [0.0160 10本 10表  1裏] [0.0141 23本 22表  2裏] [0.0085 24本 23表  2裏] [0.0082 最長対局数24 23表  2裏]
0.94,0.5061545,0.0061544999999999,2000000,,1,,11,[0.4400  1本  1表  1裏] [0.3837  2本  2表  1裏] [0.3309  3本  3表  1裏] [0.2808  4本  4表  1裏] [0.2335  5本  5表  1裏] [0.1899  6本  6表  1裏] [0.1487  7本  7表  1裏] [0.1091  8本  8表  1裏] [0.0732  9本  9表  1裏] [0.0391 10本 10表  1裏] [0.0062 11本 11表  1裏]
0.95,0.50366,0.0036599999999999,2000000,,2,,33,[0.4503  1本  1表  1裏] [0.4027  2本  2表  1裏] [0.3573  3本  3表  1裏] [0.3146  4本  4表  1裏] [0.2734  5本  5表  1裏] [0.2352  6本  6表  1裏] [0.1980  7本  7表  1裏] [0.1632  8本  8表  1裏] [0.1305  9本  9表  1裏] [0.0989 10本 10表  1裏] [0.0687 11本 11表  1裏] [0.0410 12本 12表  1裏] [0.0136 13本 13表  1裏] [0.0129 13本 13表  1裏] [0.0112 14本 14表  1裏] [0.0037 最長対局数33 32表  2裏]
0.96,0.4996215,0.0003785,2000000,,1,,17,[0.4216  2本  2表  1裏] [0.3849  3本  3表  1裏] [0.3495  4本  4表  1裏] [0.3151  5本  5表  1裏] [0.2826  6本  6表  1裏] [0.2515  7本  7表  1裏] [0.2209  8本  8表  1裏] [0.1927  9本  9表  1裏] [0.1641 10本 10表  1裏] [0.1377 11本 11表  1裏] [0.1132 12本 12表  1裏] [0.0887 13本 13表  1裏] [0.0645 14本 14表  1裏] [0.0424 15本 15表  1裏] [0.0204 16本 16表  1裏] [0.0004 17本 17表  1裏]
0.97,0.4966665,0.0033334999999999,2000000,,1,,23,[0.4409  2本  2表  1裏] [0.3853  4本  4表  1裏] [0.3589  5本  5表  1裏] [0.3077  7本  7表  1裏] [0.2837  8本  8表  1裏] [0.2377 10本 10表  1裏] [0.2156 11本 11表  1裏] [0.1945 12本 12表  1裏] [0.1734 13本 13表  1裏] [0.1527 14本 14表  1裏] [0.1336 15本 15表  1裏] [0.1143 16本 16表  1裏] [0.0955 17本 17表  1裏] [0.0777 18本 18表  1裏] [0.0604 19本 19表  1裏] [0.0433 20本 20表  1裏] [0.0271 21本 21表  1裏] [0.0117 22本 22表  1裏] [0.0033 最長対局数23 23表  1裏]
0.98,0.5035255,0.0035254999999999,2000000,,1,,34,[0.4414  3本  3表  1裏] [0.4037  5本  5表  1裏] [0.3508  8本  8表  1裏] [0.3170 10本 10表  1裏] [0.2850 12本 12表  1裏] [0.2535 14本 14表  1裏] [0.2236 16本 16表  1裏] [0.1947 18本 18表  1裏] [0.1813 19本 19表  1裏] [0.1540 21本 21表  1裏] [0.1413 22本 22表  1裏] [0.1280 23本 23表  1裏] [0.1156 24本 24表  1裏] [0.1039 25本 25表  1裏] [0.0911 26本 26表  1裏] [0.0796 27本 27表  1裏] [0.0681 28本 28表  1裏] [0.0564 29本 29表  1裏] [0.0464 30本 30表  1裏] [0.0347 31本 31表  1裏] [0.0237 32本 32表  1裏] [0.0135 33本 33表  1裏] [0.0035 34本 34表  1裏]
0.99,0.504941,0.0049409999999999,2000000,,1,,68,[0.4512  5本  5表  1裏] [0.4043 10本 10表  1裏] [0.3599 15本 15表  1裏] [0.3179 20本 20表  1裏] [0.2854 24本 24表  1裏] [0.2545 28本 28表  1裏] [0.2245 32本 32表  1裏] [0.2032 35本 35表  1裏] [0.1827 38本 38表  1裏] [0.1627 41本 41表  1裏] [0.1427 44本 44表  1裏] [0.1297 46本 46表  1裏] [0.1173 48本 48表  1裏] [0.1048 50本 50表  1裏] [0.0931 52本 52表  1裏] [0.0816 54本 54表  1裏] [0.0695 56本 56表  1裏] [0.0639 57本 57表  1裏] [0.0580 58本 58表  1裏] [0.0469 60本 60表  1裏] [0.0420 61本 61表  1裏] [0.0362 62本 62表  1裏] [0.0308 63本 63表  1裏] [0.0257 64本 64表  1裏] [0.0203 65本 65表  1裏] [0.0154 66本 66表  1裏] [0.0148 66本 66表  1裏] [0.0107 67本 67表  1裏] [0.0105 最長対局数67 67表  1裏] [0.0092 最長対局数67 67表  1裏] [0.0049 最長対局数68 68表  1裏]
