p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.4,frozen,2000,0.5,0.0,1,1,42,0.5,0.0,1,1,42, [-0.074000 1表 1裏 1目 1～2局 2000試] [-0.054000 1表 1裏 2目 2～5局 2000試] [-0.045000 1表 1裏 3目 3～9局 2000試] [-0.033000 1表 1裏 4目 4～12局 2000試] [-0.032000 1表 1裏 7目 7～22局 2000試] [-0.030000 1表 1裏 8目 8～25局 2000試] [-0.015500 1表 1裏 9目 9～29局 2000試] [0.008500 1表 1裏 12目 12～39局 2000試] [-0.007500 1表 1裏 18目 18～59局 2000試] [-0.005000 1表 1裏 19目 19～62局 2000試] [-0.003500 4表 4裏 25目 6～22局 2000試] [-0.001000 2表 2裏 26目 13～42局 2000試] [0.000000 1表 1裏 42目 42～139局 2000試]
0.51,0.4,frozen,2000,0.5005,0.0004999999999999449,1,1,7,0.5005,0.0004999999999999449,1,1,7, [-0.057000 1表 1裏 1目 1～2局 2000試] [-0.056500 1表 1裏 2目 2～5局 2000試] [-0.017500 1表 1裏 3目 3～9局 2000試] [-0.011500 1表 1裏 5目 5～15局 2000試] [0.009000 1表 1裏 6目 6～19局 2000試] [0.000500 1表 1裏 7目 7～22局 2000試]
0.52,0.4,frozen,2000,0.5,0.0,2,2,7,0.5,0.0,2,2,7, [-0.060000 1表 1裏 1目 1～2局 2000試] [-0.021500 1表 1裏 2目 2～5局 2000試] [0.005000 1表 1裏 3目 3～9局 2000試] [-0.004500 2表 2裏 6目 3～9局 2000試] [0.000000 2表 2裏 7目 4～12局 2000試]
0.53,0.4,frozen,2000,0.4995,-0.0005000000000000004,1,1,3,0.4995,-0.0005000000000000004,1,1,3, [-0.060500 1表 1裏 1目 1～2局 2000試] [-0.032500 1表 1裏 2目 2～5局 2000試] [-0.000500 1表 1裏 3目 3～9局 2000試]
0.54,0.4,frozen,2000,0.4995,-0.0005000000000000004,6,8,9,0.4995,-0.0005000000000000004,6,8,9, [-0.061500 1表 1裏 1目 1～2局 2000試] [-0.005000 1表 1裏 2目 2～5局 2000試] [0.001500 5表 7裏 9目 1～5局 2000試] [-0.000500 6表 8裏 9目 1～5局 2000試]
0.55,0.4,frozen,2000,0.5,0.0,6,6,9,0.5,0.0,6,6,9, [-0.042000 1表 1裏 1目 1～2局 2000試] [-0.004500 1表 1裏 2目 2～5局 2000試] [-0.001500 2表 2裏 3目 2～5局 2000試] [-0.001000 4表 5裏 8目 2～5局 2000試] [0.000000 6表 6裏 9目 2～5局 2000試]
0.56,0.4,frozen,2000,0.5005,0.0004999999999999449,4,7,8,0.5005,0.0004999999999999449,4,7,8, [-0.030500 1表 1裏 1目 1～2局 2000試] [0.020000 1表 1裏 2目 2～5局 2000試] [-0.009000 2表 2裏 2目 1～2局 2000試] [0.004000 4表 4裏 8目 2～5局 2000試] [0.001500 5表 5裏 8目 2～5局 2000試] [0.000500 4表 7裏 8目 1～5局 2000試]
0.57,0.4,frozen,2000,0.4995,-0.0005000000000000004,3,4,22,0.4995,-0.0005000000000000004,3,4,22, [-0.036500 1表 1裏 1目 1～2局 2000試] [0.033000 1表 1裏 2目 2～5局 2000試] [-0.030000 2表 2裏 2目 1～2局 2000試] [0.024500 2表 2裏 3目 2～5局 2000試] [-0.018500 3表 3裏 3目 1～2局 2000試] [0.016000 3表 5裏 6目 1～5局 2000試] [-0.012500 6表 6裏 6目 1～2局 2000試] [0.012000 5表 6裏 10目 2～5局 2000試] [-0.007500 10表 10裏 10目 1～2局 2000試] [0.005500 3表 4裏 12目 3～10局 2000試] [0.002000 7表 8裏 14目 2～5局 2000試] [-0.001000 6表 7裏 20目 3～10局 2000試] [-0.000500 3表 4裏 22目 6～22局 2000試]
0.58,0.4,frozen,2000,0.5,0.0,2,3,10,0.5,0.0,2,3,10, [-0.001000 1表 1裏 1目 1～2局 2000試] [0.000000 2表 3裏 10目 3～14局 2000試]
0.59,0.4,frozen,2000,0.4995,-0.0005000000000000004,6,6,6,0.4995,-0.0005000000000000004,6,6,6, [-0.009500 1表 1裏 1目 1～2局 2000試] [0.003500 3表 3裏 3目 1～2局 2000試] [-0.000500 6表 6裏 6目 1～2局 2000試]
