p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.1,alternating,2000,0.5005,0.0004999999999999449,2,2,2,0.5005,0.0004999999999999449,2,2,2, [-0.008000 1表 1裏 1目 1～2局 2000試] [0.005500 1表 1裏 2目 2～4局 2000試] [0.000500 2表 2裏 2目 1～2局 2000試]
0.51,0.1,alternating,2000,0.5,0.0,3,3,4,0.5,0.0,3,3,4, [0.009500 1表 1裏 1目 1～2局 2000試] [-0.004500 1表 1裏 2目 2～4局 2000試] [0.000000 3表 3裏 4目 2～4局 2000試]
0.52,0.1,alternating,2000,0.5005,0.0004999999999999449,1,1,2,0.5005,0.0004999999999999449,1,1,2, [0.012500 1表 1裏 1目 1～2局 2000試] [0.000500 1表 1裏 2目 2～4局 2000試]
0.53,0.1,alternating,2000,0.5,0.0,4,4,6,0.5,0.0,4,4,6, [0.005000 1表 1裏 1目 1～2局 2000試] [0.002000 1表 1裏 3目 3～6局 2000試] [0.001000 2表 2裏 4目 2～4局 2000試] [0.000000 4表 4裏 6目 2～4局 2000試]
0.54,0.1,alternating,2000,0.5,0.0,3,3,5,0.5,0.0,3,3,5, [0.032500 1表 1裏 1目 1～2局 2000試] [-0.001500 1表 1裏 2目 2～4局 2000試] [0.000000 3表 3裏 5目 2～4局 2000試]
0.55,0.1,alternating,2000,0.5005,0.0004999999999999449,2,2,6,0.5005,0.0004999999999999449,2,2,6, [0.031500 1表 1裏 1目 1～2局 2000試] [-0.014000 1表 1裏 2目 2～4局 2000試] [-0.010500 1表 2裏 3目 2～6局 2000試] [0.006000 2表 2裏 4目 2～4局 2000試] [-0.002000 2表 3裏 4目 2～4局 2000試] [0.000500 2表 2裏 6目 3～6局 2000試]
0.56,0.1,alternating,2000,0.5005,0.0004999999999999449,3,4,6,0.5005,0.0004999999999999449,3,4,6, [0.035000 1表 1裏 1目 1～2局 2000試] [0.009500 1表 1裏 2目 2～4局 2000試] [-0.004500 1表 2裏 3目 2～6局 2000試] [-0.002500 1表 4裏 5目 2～10局 2000試] [0.000500 3表 4裏 6目 2～4局 2000試]
0.57,0.1,alternating,2000,0.4995,-0.0005000000000000004,2,2,4,0.4995,-0.0005000000000000004,2,2,4, [0.045000 1表 1裏 1目 1～2局 2000試] [0.023000 1表 1裏 2目 2～4局 2000試] [0.004000 1表 1裏 3目 3～6局 2000試] [0.002500 2表 2裏 3目 2～4局 2000試] [-0.000500 2表 2裏 4目 2～4局 2000試]
0.58,0.1,alternating,2000,0.5,0.0,3,3,5,0.5,0.0,3,3,5, [0.052000 1表 1裏 1目 1～2局 2000試] [0.008000 1表 1裏 2目 2～4局 2000試] [0.003000 1表 1裏 3目 3～6局 2000試] [-0.002000 2表 2裏 5目 3～6局 2000試] [0.000000 3表 3裏 5目 2～4局 2000試]
0.59,0.1,alternating,2000,0.4995,-0.0005000000000000004,2,4,6,0.4995,-0.0005000000000000004,2,4,6, [0.079500 1表 1裏 1目 1～2局 2000試] [0.018000 1表 1裏 2目 2～4局 2000試] [-0.001000 1表 1裏 3目 3～6局 2000試] [-0.000500 2表 4裏 6目 2～6局 2000試]
0.6,0.1,alternating,2000,0.5,0.0,1,6,8,0.5,0.0,1,6,8, [0.083000 1表 1裏 1目 1～2局 2000試] [0.017500 1表 1裏 2目 2～4局 2000試] [0.011000 1表 1裏 3目 3～6局 2000試] [0.003000 2表 2裏 3目 2～4局 2000試] [-0.001500 2表 4裏 6目 2～6局 2000試] [0.000000 1表 6裏 8目 3～17局 2000試]
0.61,0.1,alternating,2000,0.5,0.0,2,3,6,0.5,0.0,2,3,6, [0.093500 1表 1裏 1目 1～2局 2000試] [0.027500 1表 1裏 2目 2～4局 2000試] [0.010500 1表 1裏 3目 3～6局 2000試] [-0.005500 1表 2裏 3目 2～6局 2000試] [-0.003500 1表 2裏 4目 3～8局 2000試] [-0.001000 4表 4裏 5目 2～4局 2000試] [0.000000 2表 3裏 6目 3～6局 2000試]
0.62,0.1,alternating,2000,0.4995,-0.0005000000000000004,3,6,8,0.4995,-0.0005000000000000004,3,6,8, [0.085000 1表 1裏 1目 1～2局 2000試] [0.026000 1表 1裏 2目 2～4局 2000試] [-0.011500 1表 1裏 3目 3～6局 2000試] [-0.008000 1表 2裏 3目 2～6局 2000試] [0.003000 1表 2裏 4目 3～8局 2000試] [-0.002500 2表 2裏 5目 3～6局 2000試] [-0.001000 1表 2裏 6目 4～13局 2000試] [-0.000500 3表 6裏 8目 2～6局 2000試]
0.63,0.1,alternating,2000,0.4995,-0.0005000000000000004,3,6,7,0.4995,-0.0005000000000000004,3,6,7, [0.114000 1表 1裏 1目 1～2局 2000試] [0.030000 1表 1裏 2目 2～4局 2000試] [-0.027000 1表 2裏 2目 1～4局 2000試] [0.015000 1表 1裏 3目 3～6局 2000試] [0.004000 1表 2裏 3目 2～6局 2000試] [-0.002500 1表 4裏 5目 2～10局 2000試] [-0.002000 1表 1裏 6目 6～13局 2000試] [-0.001500 2表 4裏 6目 2～6局 2000試] [-0.001000 2表 2裏 7目 4～8局 2000試] [-0.000500 3表 6裏 7目 2～6局 2000試]
0.64,0.1,alternating,2000,0.5,0.0,1,4,6,0.5,0.0,1,4,6, [0.106000 1表 1裏 1目 1～2局 2000試] [0.033000 1表 1裏 2目 2～4局 2000試] [-0.017000 1表 2裏 2目 1～4局 2000試] [0.011000 1表 1裏 3目 3～6局 2000試] [-0.005500 1表 3裏 5目 3～10局 2000試] [-0.003000 2表 3裏 5目 2～6局 2000試] [-0.002000 1表 1裏 6目 6～13局 2000試] [0.000000 1表 4裏 6目 3～13局 2000試]
0.65,0.1,alternating,2000,0.5,0.0,2,4,5,0.5,0.0,2,4,5, [0.125500 1表 1裏 1目 1～2局 2000試] [0.040000 1表 1裏 2目 2～4局 2000試] [-0.035500 1表 2裏 2目 1～4局 2000試] [0.011500 1表 1裏 3目 3～6局 2000試] [0.001500 1表 2裏 4目 3～8局 2000試] [0.000000 2表 4裏 5目 2～6局 2000試]
0.66,0.1,alternating,2000,0.5,0.0,1,2,5,0.5,0.0,1,2,5, [0.149500 1表 1裏 1目 1～2局 2000試] [0.058000 1表 1裏 2目 2～4局 2000試] [0.001000 1表 2裏 2目 1～4局 2000試] [0.000000 1表 2裏 5目 3～10局 2000試]
0.67,0.1,alternating,2000,0.4995,-0.0005000000000000004,1,3,6,0.4995,-0.0005000000000000004,1,3,6, [0.143500 1表 1裏 1目 1～2局 2000試] [0.024500 1表 1裏 2目 2～4局 2000試] [-0.014500 1表 2裏 2目 1～4局 2000試] [0.012000 1表 1裏 3目 3～6局 2000試] [-0.010000 1表 2裏 3目 2～6局 2000試] [0.002000 2表 3裏 3目 1～4局 2000試] [-0.001000 4表 5裏 5目 1～4局 2000試] [-0.000500 1表 3裏 6目 3～13局 2000試]
0.68,0.1,alternating,2000,0.5005,0.0004999999999999449,1,1,4,0.5005,0.0004999999999999449,1,1,4, [0.127000 1表 1裏 1目 1～2局 2000試] [0.065000 1表 1裏 2目 2～4局 2000試] [-0.004000 1表 2裏 2目 1～4局 2000試] [0.000500 1表 1裏 4目 4～8局 2000試]
0.69,0.1,alternating,2000,0.4995,-0.0005000000000000004,3,5,5,0.4995,-0.0005000000000000004,3,5,5, [0.134500 1表 1裏 1目 1～2局 2000試] [0.046000 1表 1裏 2目 2～4局 2000試] [0.011000 1表 2裏 2目 1～4局 2000試] [-0.001500 1表 1裏 4目 4～8局 2000試] [0.001500 1表 3裏 4目 2～8局 2000試] [-0.000500 3表 5裏 5目 1～4局 2000試]
0.7,0.1,alternating,2000,0.5005,0.0004999999999999449,1,4,5,0.5005,0.0004999999999999449,1,4,5, [0.139500 1表 1裏 1目 1～2局 2000試] [0.055500 1表 1裏 2目 2～4局 2000試] [0.014000 1表 2裏 2目 1～4局 2000試] [-0.009500 1表 1裏 4目 4～8局 2000試] [-0.009000 1表 2裏 4目 3～8局 2000試] [0.001500 1表 3裏 4目 2～8局 2000試] [0.000500 1表 4裏 5目 2～10局 2000試]
0.71,0.1,alternating,2000,0.5005,0.0004999999999999449,2,4,8,0.5005,0.0004999999999999449,2,4,8, [0.179500 1表 1裏 1目 1～2局 2000試] [0.073500 1表 1裏 2目 2～4局 2000試] [0.029500 1表 2裏 2目 1～4局 2000試] [0.027000 1表 1裏 3目 3～6局 2000試] [0.003500 1表 2裏 3目 2～6局 2000試] [-0.003000 1表 1裏 4目 4～8局 2000試] [-0.002000 1表 4裏 5目 2～10局 2000試] [0.000500 2表 4裏 8目 3～8局 2000試]
0.72,0.1,alternating,2000,0.5005,0.0004999999999999449,1,3,5,0.5005,0.0004999999999999449,1,3,5, [0.184500 1表 1裏 1目 1～2局 2000試] [0.059500 1表 1裏 2目 2～4局 2000試] [0.035000 1表 2裏 2目 1～4局 2000試] [0.012000 1表 1裏 3目 3～6局 2000試] [0.006500 1表 2裏 3目 2～6局 2000試] [-0.006000 1表 3裏 4目 2～8局 2000試] [0.000500 1表 3裏 5目 3～10局 2000試]
0.73,0.1,alternating,2000,0.4995,-0.0005000000000000004,1,3,8,0.4995,-0.0005000000000000004,1,3,8, [0.173500 1表 1裏 1目 1～2局 2000試] [0.076500 1表 1裏 2目 2～4局 2000試] [0.031500 1表 2裏 2目 1～4局 2000試] [0.030000 1表 1裏 3目 3～6局 2000試] [0.006500 1表 2裏 3目 2～6局 2000試] [-0.002000 1表 3裏 4目 2～8局 2000試] [0.001000 1表 1裏 5目 5～10局 2000試] [-0.000500 1表 3裏 8目 4～17局 2000試]
0.74,0.1,alternating,2000,0.4995,-0.0005000000000000004,1,8,9,0.4995,-0.0005000000000000004,1,8,9, [0.193000 1表 1裏 1目 1～2局 2000試] [0.096500 1表 1裏 2目 2～4局 2000試] [0.027500 1表 2裏 2目 1～4局 2000試] [0.025000 1表 1裏 3目 3～6局 2000試] [-0.011500 1表 3裏 3目 1～6局 2000試] [0.002500 1表 1裏 4目 4～8局 2000試] [0.001500 2表 3裏 8目 3～8局 2000試] [0.001000 1表 7裏 9目 3～19局 2000試] [-0.000500 1表 8裏 9目 2～19局 2000試]
0.75,0.1,alternating,2000,0.5005,0.0004999999999999449,2,2,10,0.5005,0.0004999999999999449,2,2,10, [0.222000 1表 1裏 1目 1～2局 2000試] [0.102500 1表 1裏 2目 2～4局 2000試] [0.053500 1表 2裏 2目 1～4局 2000試] [0.050000 1表 1裏 3目 3～6局 2000試] [0.045000 1表 2裏 3目 2～6局 2000試] [-0.014500 1表 3裏 3目 1～6局 2000試] [0.006500 1表 1裏 4目 4～8局 2000試] [0.006000 1表 3裏 7目 3～15局 2000試] [-0.001000 2表 6裏 7目 2～8局 2000試] [0.000500 2表 2裏 10目 5～10局 2000試]
0.76,0.1,alternating,2000,0.4995,-0.0005000000000000004,2,6,6,0.4995,-0.0005000000000000004,2,6,6, [0.214500 1表 1裏 1目 1～2局 2000試] [0.106000 1表 1裏 2目 2～4局 2000試] [0.052500 1表 2裏 2目 1～4局 2000試] [0.040000 1表 1裏 3目 3～6局 2000試] [0.006500 1表 2裏 3目 2～6局 2000試] [-0.003000 1表 3裏 4目 2～8局 2000試] [-0.001500 1表 4裏 5目 2～10局 2000試] [0.001000 1表 5裏 6目 2～13局 2000試] [-0.000500 2表 6裏 6目 1～6局 2000試]
0.77,0.1,alternating,2000,0.5,0.0,2,6,6,0.5,0.0,2,6,6, [0.207500 1表 1裏 1目 1～2局 2000試] [0.100500 1表 1裏 2目 2～4局 2000試] [0.060500 1表 2裏 2目 1～4局 2000試] [0.031500 1表 1裏 3目 3～6局 2000試] [0.013000 1表 3裏 3目 1～6局 2000試] [0.009500 1表 2裏 4目 3～8局 2000試] [0.004500 1表 3裏 4目 2～8局 2000試] [0.001500 1表 4裏 6目 3～13局 2000試] [0.000000 2表 6裏 6目 1～6局 2000試]
0.78,0.1,alternating,2000,0.5,0.0,1,7,12,0.5,0.0,1,7,12, [0.219500 1表 1裏 1目 1～2局 2000試] [0.121000 1表 1裏 2目 2～4局 2000試] [0.080000 1表 2裏 2目 1～4局 2000試] [0.051000 1表 1裏 3目 3～6局 2000試] [0.049500 1表 2裏 3目 2～6局 2000試] [0.001500 1表 3裏 3目 1～6局 2000試] [0.001000 1表 1裏 5目 5～10局 2000試] [0.000000 1表 7裏 12目 3～26局 2000試]
0.79,0.1,alternating,2000,0.5,0.0,1,7,10,0.5,0.0,1,7,10, [0.230500 1表 1裏 1目 1～2局 2000試] [0.120000 1表 1裏 2目 2～4局 2000試] [0.091000 1表 2裏 2目 1～4局 2000試] [0.074500 1表 1裏 3目 3～6局 2000試] [0.031000 1表 2裏 3目 2～6局 2000試] [0.014000 1表 3裏 3目 1～6局 2000試] [0.003500 1表 1裏 5目 5～10局 2000試] [-0.002500 1表 3裏 5目 3～10局 2000試] [-0.002000 1表 4裏 5目 2～10局 2000試] [-0.001000 1表 5裏 8目 3～17局 2000試] [0.000000 1表 7裏 10目 3～22局 2000試]
