p,number_of_series,b_step,w_step,span,presentable,comment,process
0.6,2000000,1,2,2,《1黒 2白 2目 1～2局で－４．３》,【▲不満】,[59.9819 ％（+9.9819） 1黒 1白 1目 1～1局] [55.2457 ％（+5.2457） 1黒 1白 2目 2～3局] [45.6622 ％（-4.3378） 1黒 2白 2目 1～2局]
0.61,2000000,1,2,2,《1黒 2白 2目 1～2局で－３．５》,【〇十分】,[61.0268 ％（+11.0268） 1黒 1白 1目 1～1局] [55.8712 ％（+5.8712） 1黒 1白 2目 2～3局] [46.4466 ％（-3.5534） 1黒 2白 2目 1～2局]
0.62,2000000,1,2,2,《1黒 2白 2目 1～2局で－２．５》,【〇十分】,[61.9946 ％（+11.9946） 1黒 1白 1目 1～1局] [56.3296 ％（+6.3296） 1黒 1白 2目 2～3局] [47.4355 ％（-2.5645） 1黒 2白 2目 1～2局]
0.63,2000000,1,2,2,《1黒 2白 2目 1～2局で－１．６》,【〇十分】,[62.9655 ％（+12.9655） 1黒 1白 1目 1～1局] [56.9921 ％（+6.9921） 1黒 1白 2目 2～3局] [48.3191 ％（-1.6809） 1黒 2白 2目 1～2局]
0.64,2000000,1,2,2,《1黒 2白 2目 1～2局で－０．７》,【完了】,[64.0509 ％（+14.0509） 1黒 1白 1目 1～1局] [57.5388 ％（+7.5388） 1黒 1白 2目 2～3局] [49.2628 ％（-0.7372） 1黒 2白 2目 1～2局]
0.65,2000000,1,2,2,《1黒 8白 11目 3～12局で＋０．０》,【完了】,[65.0135 ％（+15.0135） 1黒 1白 1目 1～1局] [58.1750 ％（+8.1750） 1黒 1白 2目 2～3局] [50.2652 ％（+0.2652） 1黒 2白 2目 1～2局] [50.0596 ％（+0.0596） 1黒 3白 8目 4～10局] [50.1726 ％（+0.1726） 1黒 6白 9目 3～10局] [50.1197 ％（+0.1197） 1黒 7白 10目 3～11局] [50.0629 ％（+0.0629） 1黒 8白 11目 3～12局]
0.66,2000000,1,2,2,《1黒 3白 4目 2～5局で－０．４》,【完了】,[66.0249 ％（+16.0249） 1黒 1白 1目 1～1局] [58.8246 ％（+8.8246） 1黒 1白 2目 2～3局] [51.1547 ％（+1.1547） 1黒 2白 2目 1～2局] [49.5878 ％（-0.4122） 1黒 3白 4目 2～5局]
0.67,2000000,1,2,2,《1黒 3白 4目 2～5局で４９％》,【５２％】,[66.9884 ％（+16.9884） 1黒 1白 1目 1～1局] [59.4785 ％（+9.4785） 1黒 1白 2目 2～3局] [52.1270 ％（+2.1270） 1黒 2白 2目 1～2局] [49.8969 ％（-0.1031） 1黒 3白 4目 2～5局]
0.68,2000000,1,3,4,,【十分５０％精度２桁２～５局】】,[67.9630 ％（+17.9630） 1黒 1白 1目 1～1局] [60.1503 ％（+10.1503） 1黒 1白 2目 2～3局] [53.1977 ％（+3.1977） 1黒 2白 2目 1～2局] [50.2120 ％（+0.2120） 1黒 3白 4目 2～5局] [47.9415 ％（-2.0585） 1黒 5白 6目 2～7局]
0.69,2000000,1,3,3,,【４７％】,[69.0662 ％（+19.0662） 1黒 1白 1目 1～1局] [60.8670 ％（+10.8670） 1黒 1白 2目 2～3局] [54.2391 ％（+4.2391） 1黒 2白 2目 1～2局] [53.7837 ％（+3.7837） 1黒 2白 3目 2～4局] [47.2328 ％（-2.7672） 1黒 3白 3目 1～3局]
