p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.65,0.0,0.510274,0.010274000000000005,2000000.0,1.0,1.0,2.0,0.510274,0.010274000000000005,2000000.0,1.0,1.0,2.0, [0.084924 1表 1裏 1目 1～1局] [0.010274 1表 1裏 2目 2～3局]
0.66,0.0,0.5150335,0.015033500000000033,2000000.0,1.0,1.0,2.0,0.5150335,0.015033500000000033,2000000.0,1.0,1.0,2.0, [0.093715 1表 1裏 1目 1～1局] [0.015034 1表 1裏 2目 2～3局]
0.67,0.0,0.5202265,0.020226500000000036,2000000.0,1.0,1.0,2.0,0.5202265,0.020226500000000036,2000000.0,1.0,1.0,2.0, [0.103289 1表 1裏 1目 1～1局] [0.020227 1表 1裏 2目 2～3局]
0.68,0.0,0.5267085,0.026708500000000024,2000000.0,1.0,1.0,2.0,0.5267085,0.026708500000000024,2000000.0,1.0,1.0,2.0, [0.111800 1表 1裏 1目 1～1局] [0.026709 1表 1裏 2目 2～3局]
0.69,0.0,0.531923,0.031923000000000035,2000000.0,1.0,1.0,2.0,0.531923,0.031923000000000035,2000000.0,1.0,1.0,2.0, [0.120533 1表 1裏 1目 1～1局] [0.031923 1表 1裏 2目 2～3局]
0.7,0.0,0.5379835,0.03798349999999995,2000000.0,1.0,1.0,2.0,0.5379835,0.03798349999999995,2000000.0,1.0,1.0,2.0, [0.129743 1表 1裏 1目 1～1局] [0.037983 1表 1裏 2目 2～3局]
0.71,0.0,0.5443025,0.04430250000000002,2000000.0,1.0,1.0,2.0,0.5443025,0.04430250000000002,2000000.0,1.0,1.0,2.0, [0.138782 1表 1裏 1目 1～1局] [0.044303 1表 1裏 2目 2～3局]
0.72,0.0,0.5497285,0.04972849999999995,2000000.0,1.0,1.0,2.0,0.5497285,0.04972849999999995,2000000.0,1.0,1.0,2.0, [0.148370 1表 1裏 1目 1～1局] [0.049728 1表 1裏 2目 2～3局]
0.73,0.0,0.5570575,0.05705749999999998,2000000.0,1.0,1.0,2.0,0.5570575,0.05705749999999998,2000000.0,1.0,1.0,2.0, [0.157054 1表 1裏 1目 1～1局] [0.057057 1表 1裏 2目 2～3局]
0.74,0.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0,0.5630695,0.0630695,2000000.0,1.0,1.0,2.0, [0.166009 1表 1裏 1目 1～1局] [0.063070 1表 1裏 2目 2～3局]
