p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.3,alternating,2000,0.4995,-0.0005000000000000004,2,5,7,0.4995,-0.0005000000000000004,2,5,7, [-0.041500 1表 1裏 1目 1～2局 2000試] [-0.020000 1表 1裏 2目 2～5局 2000試] [-0.016500 2表 2裏 3目 2～5局 2000試] [-0.016000 2表 2裏 4目 2～5局 2000試] [0.007500 1表 3裏 5目 3～13局 2000試] [0.004500 2表 4裏 6目 2～8局 2000試] [-0.001000 2表 3裏 7目 3～10局 2000試] [-0.000500 2表 5裏 7目 2～10局 2000試]
0.51,0.3,alternating,2000,0.4995,-0.0005000000000000004,1,3,11,0.4995,-0.0005000000000000004,1,3,11, [-0.037500 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 2目 2～5局 2000試] [-0.029000 2表 2裏 2目 1～2局 2000試] [-0.022500 1表 1裏 3目 3～8局 2000試] [-0.020500 3表 3裏 4目 2～5局 2000試] [-0.008000 1表 2裏 5目 3～13局 2000試] [-0.004500 3表 3裏 7目 3～8局 2000試] [-0.001000 1表 3裏 8目 4～22局 2000試] [-0.000500 1表 3裏 11目 5～31局 2000試]
0.52,0.3,alternating,2000,0.4995,-0.0005000000000000004,1,2,10,0.4995,-0.0005000000000000004,1,2,10, [-0.043500 1表 1裏 1目 1～2局 2000試] [-0.021000 1表 1裏 2目 2～5局 2000試] [-0.001000 1表 2裏 3目 2～8局 2000試] [-0.000500 1表 2裏 10目 7～28局 2000試]
0.53,0.3,alternating,2000,0.5,0.0,1,3,4,0.5,0.0,1,3,4, [-0.019000 1表 1裏 1目 1～2局 2000試] [-0.011000 2表 2裏 4目 2～5局 2000試] [0.000000 1表 3裏 4目 2～10局 2000試]
0.54,0.3,alternating,2000,0.5005,0.0004999999999999449,4,5,7,0.5005,0.0004999999999999449,4,5,7, [-0.005500 1表 1裏 1目 1～2局 2000試] [0.003000 2表 2裏 4目 2～5局 2000試] [0.001000 1表 3裏 5目 3～13局 2000試] [0.000500 4表 5裏 7目 2～5局 2000試]
0.55,0.3,alternating,2000,0.5005,0.0004999999999999449,6,8,10,0.5005,0.0004999999999999449,6,8,10, [-0.020000 1表 1裏 1目 1～2局 2000試] [-0.007000 1表 1裏 2目 2～5局 2000試] [-0.004500 4表 4裏 4目 1～2局 2000試] [0.004500 4表 5裏 6目 2～5局 2000試] [0.001000 7表 7裏 7目 1～2局 2000試] [0.000500 6表 8裏 10目 2～5局 2000試]
0.56,0.3,alternating,2000,0.4995,-0.0005000000000000004,5,6,9,0.4995,-0.0005000000000000004,5,6,9, [-0.023500 1表 1裏 1目 1～2局 2000試] [-0.019500 1表 1裏 2目 2～5局 2000試] [-0.017000 2表 2裏 2目 1～2局 2000試] [0.001000 1表 2裏 3目 2～8局 2000試] [-0.000500 5表 6裏 9目 2～5局 2000試]
0.57,0.3,alternating,2000,0.4995,-0.0005000000000000004,4,5,8,0.4995,-0.0005000000000000004,4,5,8, [-0.019500 1表 1裏 1目 1～2局 2000試] [-0.012000 1表 1裏 2目 2～5局 2000試] [0.001500 3表 3裏 3目 1～2局 2000試] [-0.000500 4表 5裏 8目 2～5局 2000試]
0.58,0.3,alternating,2000,0.5,0.0,1,4,5,0.5,0.0,1,4,5, [-0.024500 1表 1裏 1目 1～2局 2000試] [-0.010500 1表 1裏 2目 2～5局 2000試] [0.004500 2表 2裏 2目 1～2局 2000試] [0.002500 1表 2裏 3目 2～8局 2000試] [0.000000 1表 4裏 5目 2～13局 2000試]
0.59,0.3,alternating,2000,0.5,0.0,2,2,2,0.5,0.0,2,2,2, [0.004000 1表 1裏 1目 1～2局 2000試] [0.000000 2表 2裏 2目 1～2局 2000試]
0.6,0.3,alternating,2000,0.5005,0.0004999999999999449,2,2,3,0.5005,0.0004999999999999449,2,2,3, [-0.012500 1表 1裏 1目 1～2局 2000試] [0.002500 1表 1裏 2目 2～5局 2000試] [0.000500 2表 2裏 3目 2～5局 2000試]
0.61,0.3,alternating,2000,0.4995,-0.0005000000000000004,4,4,8,0.4995,-0.0005000000000000004,4,4,8, [0.003500 1表 1裏 1目 1～2局 2000試] [0.001500 2表 2裏 3目 2～5局 2000試] [-0.001000 2表 3裏 4目 2～5局 2000試] [-0.000500 4表 4裏 8目 2～5局 2000試]
0.62,0.3,alternating,2000,0.5005,0.0004999999999999449,2,4,6,0.5005,0.0004999999999999449,2,4,6, [0.013000 1表 1裏 1目 1～2局 2000試] [-0.002500 1表 1裏 2目 2～5局 2000試] [0.001500 2表 3裏 4目 2～5局 2000試] [0.001000 3表 3裏 4目 2～5局 2000試] [0.000500 2表 4裏 6目 2～8局 2000試]
0.63,0.3,alternating,2000,0.4995,-0.0005000000000000004,3,3,8,0.4995,-0.0005000000000000004,3,3,8, [0.011000 1表 1裏 1目 1～2局 2000試] [-0.001000 1表 1裏 2目 2～5局 2000試] [-0.000500 3表 3裏 8目 3～8局 2000試]
0.64,0.3,alternating,2000,0.4995,-0.0005000000000000004,2,3,4,0.4995,-0.0005000000000000004,2,3,4, [0.018500 1表 1裏 1目 1～2局 2000試] [0.005500 1表 1裏 2目 2～5局 2000試] [0.001000 1表 1裏 3目 3～8局 2000試] [-0.000500 2表 3裏 4目 2～5局 2000試]
