p,p_step,q_step,span,comment
0.71,1,3,3,[71.0524 ％（+21.0524） 1表 1裏 1目 1～1局] [62.3846 ％（+12.3846） 1表 1裏 2目 2～3局] [56.3777 ％（+6.3777） 1表 2裏 2目 1～2局] [54.9843 ％（+4.9843） 1表 2裏 3目 2～4局] [49.0399 ％（-0.9601） 1表 3裏 3目 1～3局]
0.72,1,3,3,[71.9365 ％（+21.9365） 1表 1裏 1目 1～1局] [63.1404 ％（+13.1404） 1表 1裏 2目 2～3局] [57.4321 ％（+7.4321） 1表 2裏 2目 1～2局] [55.6029 ％（+5.6029） 1表 2裏 3目 2～4局] [49.9865 ％（-0.0135） 1表 3裏 3目 1～3局]
0.73,1,3,3,[73.0082 ％（+23.0082） 1表 1裏 1目 1～1局] [63.9807 ％（+13.9807） 1表 1裏 2目 2～3局] [58.6279 ％（+8.6279） 1表 2裏 2目 1～2局] [56.2563 ％（+6.2563） 1表 2裏 3目 2～4局] [50.9486 ％（+0.9486） 1表 3裏 3目 1～3局] [49.9750 ％（-0.0250） 1表 4裏 5目 2～6局]
0.74,1,3,3,[73.9505 ％（+23.9505） 1表 1裏 1目 1～1局] [64.7026 ％（+14.7026） 1表 1裏 2目 2～3局] [59.8066 ％（+9.8066） 1表 2裏 2目 1～2局] [56.9519 ％（+6.9519） 1表 2裏 3目 2～4局] [51.9608 ％（+1.9608） 1表 3裏 3目 1～3局] [50.3710 ％（+0.3710） 1表 4裏 5目 2～6局] [53.3783 ％（+3.3783） 1表 3裏 7目 3～9局] [53.3005 ％（+3.3005） 1表 4裏 7目 3～8局] [48.4183 ％（-1.5817） 1表 6裏 7目 2～8局]
0.75,1,4,4,[74.9712 ％（+24.9712） 1表 1裏 1目 1～1局] [65.6223 ％（+15.6223） 1表 1裏 2目 2～3局] [60.9327 ％（+10.9327） 1表 2裏 2目 1～2局] [57.7079 ％（+7.7079） 1表 2裏 3目 2～4局] [53.0302 ％（+3.0302） 1表 3裏 3目 1～3局] [48.5683 ％（-1.4317） 1表 4裏 4目 1～4局]
0.76,1,4,4,[75.9411 ％（+25.9411） 1表 1裏 1目 1～1局] [66.5033 ％（+16.5033） 1表 1裏 2目 2～3局] [62.1112 ％（+12.1112） 1表 2裏 2目 1～2局] [58.4960 ％（+8.4960） 1表 2裏 3目 2～4局] [54.0852 ％（+4.0852） 1表 3裏 3目 1～3局] [53.8534 ％（+3.8534） 1表 3裏 4目 2～5局] [49.5121 ％（-0.4879） 1表 4裏 4目 1～4局]
0.77,1,4,4,[77.0185 ％（+27.0185） 1表 1裏 1目 1～1局] [67.4501 ％（+17.4501） 1表 1裏 2目 2～3局] [63.3035 ％（+13.3035） 1表 2裏 2目 1～2局] [63.0243 ％（+13.0243） 1表 1裏 3目 3～5局] [59.3556 ％（+9.3556） 1表 2裏 3目 2～4局] [55.3512 ％（+5.3512） 1表 3裏 3目 1～3局] [54.5404 ％（+4.5404） 1表 3裏 4目 2～5局] [50.4441 ％（+0.4441） 1表 4裏 4目 1～4局] [50.0336 ％（+0.0336） 1表 5裏 6目 2～7局] [44.9560 ％（-5.0440） 1表 7裏 7目 1～7局]
0.78,1,4,4,[78.0041 ％（+28.0041） 1表 1裏 1目 1～1局] [68.3809 ％（+18.3809） 1表 1裏 2目 2～3局] [64.6232 ％（+14.6232） 1表 2裏 2目 1～2局] [63.7425 ％（+13.7425） 1表 1裏 3目 3～5局] [60.2843 ％（+10.2843） 1表 2裏 3目 2～4局] [56.4334 ％（+6.4334） 1表 3裏 3目 1～3局] [55.2639 ％（+5.2639） 1表 3裏 4目 2～5局] [51.5393 ％（+1.5393） 1表 4裏 4目 1～4局] [48.4733 ％（-1.5267） 1表 5裏 5目 1～5局]
0.79,1,5,5,[79.0034 ％（+29.0034） 1表 1裏 1目 1～1局] [69.4136 ％（+19.4136） 1表 1裏 2目 2～3局] [65.8652 ％（+15.8652） 1表 2裏 2目 1～2局] [64.5663 ％（+14.5663） 1表 1裏 3目 3～5局] [61.2285 ％（+11.2285） 1表 2裏 3目 2～4局] [57.8046 ％（+7.8046） 1表 3裏 3目 1～3局] [56.0791 ％（+6.0791） 1表 3裏 4目 2～5局] [52.6426 ％（+2.6426） 1表 4裏 4目 1～4局] [49.3940 ％（-0.6060） 1表 5裏 5目 1～5局]
0.8,1,5,5,[79.9833 ％（+29.9833） 1表 1裏 1目 1～1局] [70.4145 ％（+20.4145） 1表 1裏 2目 2～3局] [67.1961 ％（+17.1961） 1表 2裏 2目 1～2局] [65.3957 ％（+15.3957） 1表 1裏 3目 3～5局] [62.1255 ％（+12.1255） 1表 2裏 3目 2～4局] [58.9913 ％（+8.9913） 1表 3裏 3目 1～3局] [56.9821 ％（+6.9821） 1表 3裏 4目 2～5局] [53.8145 ％（+3.8145） 1表 4裏 4目 1～4局] [53.6303 ％（+3.6303） 1表 4裏 5目 2～6局] [50.3731 ％（+0.3731） 1表 5裏 5目 1～5局] [55.1002 ％（+5.1002） 1表 4裏 7目 3～8局]
0.81,1,6,6,[81.0191 ％（+31.0191） 1表 1裏 1目 1～1局] [71.4614 ％（+21.4614） 1表 1裏 2目 2～3局] [68.5631 ％（+18.5631） 1表 2裏 2目 1～2局] [66.3098 ％（+16.3098） 1表 1裏 3目 3～5局] [63.2886 ％（+13.2886） 1表 2裏 3目 2～4局] [60.3781 ％（+10.3781） 1表 3裏 3目 1～3局] [57.9101 ％（+7.9101） 1表 3裏 4目 2～5局] [55.0267 ％（+5.0267） 1表 4裏 4目 1～4局] [54.4072 ％（+4.4072） 1表 4裏 5目 2～6局] [51.4706 ％（+1.4706） 1表 5裏 5目 1～5局] [49.1105 ％（-0.8895） 1表 6裏 6目 1～6局]
0.82,1,6,6,[81.9755 ％（+31.9755） 1表 1裏 1目 1～1局] [72.5300 ％（+22.5300） 1表 1裏 2目 2～3局] [69.8986 ％（+19.8986） 1表 2裏 2目 1～2局] [67.2979 ％（+17.2979） 1表 1裏 3目 3～5局] [64.4427 ％（+14.4427） 1表 2裏 3目 2～4局] [61.7314 ％（+11.7314） 1表 3裏 3目 1～3局] [58.9814 ％（+8.9814） 1表 3裏 4目 2～5局] [56.3277 ％（+6.3277） 1表 4裏 4目 1～4局] [55.2592 ％（+5.2592） 1表 4裏 5目 2～6局] [52.6407 ％（+2.6407） 1表 5裏 5目 1～5局] [50.1324 ％（+0.1324） 1表 6裏 6目 1～6局]
0.83,1,5,5,[83.0001 ％（+33.0001） 1表 1裏 1目 1～1局] [73.6665 ％（+23.6665） 1表 1裏 2目 2～3局] [71.2869 ％（+21.2869） 1表 2裏 2目 1～2局] [68.2975 ％（+18.2975） 1表 1裏 3目 3～5局] [65.6030 ％（+15.6030） 1表 2裏 3目 2～4局] [63.1895 ％（+13.1895） 1表 3裏 3目 1～3局] [60.0822 ％（+10.0822） 1表 3裏 4目 2～5局] [57.6921 ％（+7.6921） 1表 4裏 4目 1～4局] [56.1928 ％（+6.1928） 1表 4裏 5目 2～6局] [53.7698 ％（+3.7698） 1表 5裏 5目 1～5局] [53.6261 ％（+3.6261） 1表 5裏 6目 2～7局]
0.84,1,5,5,[84.0069 ％（+34.0069） 1表 1裏 1目 1～1局] [74.8814 ％（+24.8814） 1表 1裏 2目 2～3局] [72.6993 ％（+22.6993） 1表 2裏 2目 1～2局] [69.4630 ％（+19.4630） 1表 1裏 3目 3～5局] [66.8909 ％（+16.8909） 1表 2裏 3目 2～4局] [64.7235 ％（+14.7235） 1表 3裏 3目 1～3局] [61.3193 ％（+11.3193） 1表 3裏 4目 2～5局] [59.1271 ％（+9.1271） 1表 4裏 4目 1～4局] [57.2601 ％（+7.2601） 1表 4裏 5目 2～6局] [55.1237 ％（+5.1237） 1表 5裏 5目 1～5局] [54.5217 ％（+4.5217） 1表 5裏 6目 2～7局]
0.85,1,5,5,[85.0308 ％（+35.0308） 1表 1裏 1目 1～1局] [76.0783 ％（+26.0783） 1表 1裏 2目 2～3局] [74.1482 ％（+24.1482） 1表 2裏 2目 1～2局] [70.5407 ％（+20.5407） 1表 1裏 3目 3～5局] [68.2751 ％（+18.2751） 1表 2裏 3目 2～4局] [66.3242 ％（+16.3242） 1表 3裏 3目 1～3局] [62.5757 ％（+12.5757） 1表 3裏 4目 2～5局] [60.6890 ％（+10.6890） 1表 4裏 4目 1～4局] [58.4975 ％（+8.4975） 1表 4裏 5目 2～6局] [56.6616 ％（+6.6616） 1表 5裏 5目 1～5局] [55.6139 ％（+5.6139） 1表 5裏 6目 2～7局]
