p,p_step,q_step,span,comment
0.7,1,2,2,[70.0000 ％（+20.0000） 1表 1裏 1目 1～1局] [49.0000 ％（-1.0000） 1表 2裏 2目 1～2局] [49.2516 ％（-0.7484） 2表 5裏 17目 4～12局] [49.4176 ％（-0.5824） 2表 5裏 31目 7～22局]
0.71,1,2,2,[71.0000 ％（+21.0000） 1表 1裏 1目 1～1局] [50.4100 ％（+0.4100） 1表 2裏 2目 1～2局]
0.72,1,2,2,[72.0000 ％（+22.0000） 1表 1裏 1目 1～1局] [51.8400 ％（+1.8400） 1表 2裏 2目 1～2局] [51.7098 ％（+1.7098） 1表 3裏 7目 3～9局] [48.4515 ％（-1.5485） 1表 3裏 10目 4～13局] [49.5181 ％（-0.4819） 2表 5裏 29目 6～20局] [50.2571 ％（+0.2571） 2表 5裏 39目 8～27局]
0.73,1,3,5,[73.0000 ％（+23.0000） 1表 1裏 1目 1～1局] [53.2900 ％（+3.2900） 1表 2裏 2目 1～2局] [48.7172 ％（-1.2828） 1表 3裏 5目 2～6局] [49.7741 ％（-0.2259） 1表 3裏 13目 5～17局]
0.74,1,3,5,[74.0000 ％（+24.0000） 1表 1裏 1目 1～1局] [54.7600 ％（+4.7600） 1表 2裏 2目 1～2局] [51.0372 ％（+1.0372） 1表 3裏 5目 2～6局] [49.5780 ％（-0.4220） 1表 3裏 8目 3～10局] [50.0257 ％（+0.0257） 1表 3裏 25目 9～33局]
0.75,1,3,5,[75.0000 ％（+25.0000） 1表 1裏 1目 1～1局] [56.2500 ％（+6.2500） 1表 2裏 2目 1～2局] [53.3936 ％（+3.3936） 1表 3裏 5目 2～6局] [52.5593 ％（+2.5593） 1表 3裏 8目 3～10局] [52.1340 ％（+2.1340） 1表 3裏 11目 4～14局] [51.8669 ％（+1.8669） 1表 3裏 14目 5～18局] [51.6797 ％（+1.6797） 1表 3裏 17目 6～22局] [51.5393 ％（+1.5393） 1表 3裏 20目 7～26局] [51.4290 ％（+1.4290） 1表 3裏 23目 8～30局] [51.3394 ％（+1.3394） 1表 3裏 26目 9～34局] [51.2647 ％（+1.2647） 1表 3裏 29目 10～38局] [51.2013 ％（+1.2013） 1表 3裏 32目 11～42局] [51.1465 ％（+1.1465） 1表 3裏 35目 12～46局] [51.0986 ％（+1.0986） 1表 3裏 38目 13～50局] [51.0562 ％（+1.0562） 1表 3裏 41目 14～54局]
0.76,1,3,6,[76.0000 ％（+26.0000） 1表 1裏 1目 1～1局] [57.7600 ％（+7.7600） 1表 2裏 2目 1～2局] [43.8976 ％（-6.1024） 1表 3裏 3目 1～3局] [55.7816 ％（+5.7816） 1表 3裏 5目 2～6局] [47.0188 ％（-2.9812） 1表 3裏 6目 2～7局] [48.6565 ％（-1.3435） 1表 3裏 9目 3～11局] [49.7762 ％（-0.2238） 1表 3裏 12目 4～15局]
0.77,1,3,6,[77.0000 ％（+27.0000） 1表 1裏 1目 1～1局] [59.2900 ％（+9.2900） 1表 2裏 2目 1～2局] [45.6533 ％（-4.3467） 1表 3裏 3目 1～3局] [49.6045 ％（-0.3955） 1表 3裏 6目 2～7局] [49.8569 ％（-0.1431） 2表 7裏 31目 5～20局]
0.78,1,3,6,[78.0000 ％（+28.0000） 1表 1裏 1目 1～1局] [60.8400 ％（+10.8400） 1表 2裏 2目 1～2局] [47.4552 ％（-2.5448） 1表 3裏 3目 1～3局] [52.2463 ％（+2.2463） 1表 3裏 6目 2～7局] [48.8643 ％（-1.1357） 1表 4裏 10目 3～12局] [49.5096 ％（-0.4904） 1表 4裏 17目 5～21局]
0.79,1,3,3,[79.0000 ％（+29.0000） 1表 1裏 1目 1～1局] [62.4100 ％（+12.4100） 1表 2裏 2目 1～2局] [49.3039 ％（-0.6961） 1表 3裏 3目 1～3局] [49.5835 ％（-0.4165） 1表 4裏 18目 5～22局] [49.8239 ％（-0.1761） 1表 4裏 33目 9～41局]
0.8,1,3,3,[80.0000 ％（+30.0000） 1表 1裏 1目 1～1局] [64.0000 ％（+14.0000） 1表 2裏 2目 1～2局] [51.2000 ％（+1.2000） 1表 3裏 3目 1～3局] [50.3316 ％（+0.3316） 1表 4裏 7目 2～8局] [50.1652 ％（+0.1652） 1表 4裏 11目 3～13局] [50.1025 ％（+0.1025） 1表 4裏 15目 4～18局] [50.0714 ％（+0.0714） 1表 4裏 19目 5～23局] [50.0533 ％（+0.0533） 1表 4裏 23目 6～28局] [50.0417 ％（+0.0417） 1表 4裏 27目 7～33局] [50.0338 ％（+0.0338） 1表 4裏 31目 8～38局] [50.0281 ％（+0.0281） 1表 4裏 35目 9～43局] [50.0239 ％（+0.0239） 1表 4裏 39目 10～48局]
0.81,1,3,3,[81.0000 ％（+31.0000） 1表 1裏 1目 1～1局] [65.6100 ％（+15.6100） 1表 2裏 2目 1～2局] [53.1441 ％（+3.1441） 1表 3裏 3目 1～3局] [48.6240 ％（-1.3760） 1表 4裏 12目 3～14局] [49.9482 ％（-0.0518） 1表 4裏 16目 4～19局]
0.82,1,4,8,[82.0000 ％（+32.0000） 1表 1裏 1目 1～1局] [67.2400 ％（+17.2400） 1表 2裏 2目 1～2局] [55.1368 ％（+5.1368） 1表 3裏 3目 1～3局] [45.2122 ％（-4.7878） 1表 4裏 4目 1～4局] [49.8770 ％（-0.1230） 1表 4裏 8目 2～9局]
0.83,1,4,4,[83.0000 ％（+33.0000） 1表 1裏 1目 1～1局] [68.8900 ％（+18.8900） 1表 2裏 2目 1～2局] [57.1787 ％（+7.1787） 1表 3裏 3目 1～3局] [47.4583 ％（-2.5417） 1表 4裏 4目 1～4局] [51.8108 ％（+1.8108） 1表 5裏 13目 3～15局] [51.0316 ％（+1.0316） 1表 5裏 18目 4～21局] [50.4823 ％（+0.4823） 1表 5裏 23目 5～27局] [50.0550 ％（+0.0550） 1表 5裏 28目 6～33局]
0.84,1,4,4,[84.0000 ％（+34.0000） 1表 1裏 1目 1～1局] [70.5600 ％（+20.5600） 1表 2裏 2目 1～2局] [59.2704 ％（+9.2704） 1表 3裏 3目 1～3局] [49.7871 ％（-0.2129） 1表 4裏 4目 1～4局]
0.85,1,4,4,[85.0000 ％（+35.0000） 1表 1裏 1目 1～1局] [72.2500 ％（+22.2500） 1表 2裏 2目 1～2局] [61.4125 ％（+11.4125） 1表 3裏 3目 1～3局] [52.2006 ％（+2.2006） 1表 4裏 4目 1～4局] [49.2186 ％（-0.7814） 1表 5裏 10目 2～11局] [50.4879 ％（+0.4879） 1表 6裏 21目 4～24局] [50.3246 ％（+0.3246） 1表 6裏 38目 7～44局]
0.86,1,5,5,[86.0000 ％（+36.0000） 1表 1裏 1目 1～1局] [73.9600 ％（+23.9600） 1表 2裏 2目 1～2局] [63.6056 ％（+13.6056） 1表 3裏 3目 1～3局] [54.7008 ％（+4.7008） 1表 4裏 4目 1～4局] [47.0427 ％（-2.9573） 1表 5裏 5目 1～5局] [48.3411 ％（-1.6589） 1表 6裏 11目 2～12局] [49.1148 ％（-0.8852） 1表 6裏 17目 3～19局] [49.6563 ％（-0.3437） 1表 6裏 23目 4～26局] [50.0754 ％（+0.0754） 1表 6裏 29目 5～33局]
0.87,1,5,5,[87.0000 ％（+37.0000） 1表 1裏 1目 1～1局] [75.6900 ％（+25.6900） 1表 2裏 2目 1～2局] [65.8503 ％（+15.8503） 1表 3裏 3目 1～3局] [57.2898 ％（+7.2898） 1表 4裏 4目 1～4局] [49.8421 ％（-0.1579） 1表 5裏 5目 1～5局]
0.88,1,5,5,[88.0000 ％（+38.0000） 1表 1裏 1目 1～1局] [77.4400 ％（+27.4400） 1表 2裏 2目 1～2局] [68.1472 ％（+18.1472） 1表 3裏 3目 1～3局] [59.9695 ％（+9.9695） 1表 4裏 4目 1～4局] [52.7732 ％（+2.7732） 1表 5裏 5目 1～5局] [52.6238 ％（+2.6238） 1表 6裏 12目 2～13局] [48.5864 ％（-1.4136） 1表 7裏 13目 2～14局] [49.8263 ％（-0.1737） 1表 7裏 20目 3～22局]
0.89,1,6,6,[89.0000 ％（+39.0000） 1表 1裏 1目 1～1局] [79.2100 ％（+29.2100） 1表 2裏 2目 1～2局] [70.4969 ％（+20.4969） 1表 3裏 3目 1～3局] [62.7422 ％（+12.7422） 1表 4裏 4目 1～4局] [55.8406 ％（+5.8406） 1表 5裏 5目 1～5局] [49.6981 ％（-0.3019） 1表 6裏 6目 1～6局] [49.9163 ％（-0.0837） 1表 8裏 22目 3～24局]
0.9,1,7,7,[90.0000 ％（+40.0000） 1表 1裏 1目 1～1局] [81.0000 ％（+31.0000） 1表 2裏 2目 1～2局] [72.9000 ％（+22.9000） 1表 3裏 3目 1～3局] [65.6100 ％（+15.6100） 1表 4裏 4目 1～4局] [59.0490 ％（+9.0490） 1表 5裏 5目 1～5局] [53.1441 ％（+3.1441） 1表 6裏 6目 1～6局] [47.8297 ％（-2.1703） 1表 7裏 7目 1～7局] [51.4728 ％（+1.4728） 1表 8裏 15目 2～16局] [51.0505 ％（+1.0505） 1表 8裏 24目 3～26局] [50.8511 ％（+0.8511） 1表 9裏 33目 4～36局]
0.91,1,7,7,[91.0000 ％（+41.0000） 1表 1裏 1目 1～1局] [82.8100 ％（+32.8100） 1表 2裏 2目 1～2局] [75.3571 ％（+25.3571） 1表 3裏 3目 1～3局] [68.5750 ％（+18.5750） 1表 4裏 4目 1～4局] [62.4032 ％（+12.4032） 1表 5裏 5目 1～5局] [56.7869 ％（+6.7869） 1表 6裏 6目 1～6局] [51.6761 ％（+1.6761） 1表 7裏 7目 1～7局] [50.9125 ％（+0.9125） 1表 9裏 17目 2～18局] [50.8725 ％（+0.8725） 1表 9裏 27目 3～29局]
0.92,1,8,8,[92.0000 ％（+42.0000） 1表 1裏 1目 1～1局] [84.6400 ％（+34.6400） 1表 2裏 2目 1～2局] [77.8688 ％（+27.8688） 1表 3裏 3目 1～3局] [71.6393 ％（+21.6393） 1表 4裏 4目 1～4局] [65.9082 ％（+15.9082） 1表 5裏 5目 1～5局] [60.6355 ％（+10.6355） 1表 6裏 6目 1～6局] [55.7847 ％（+5.7847） 1表 7裏 7目 1～7局] [51.3219 ％（+1.3219） 1表 8裏 8目 1～8局] [49.0603 ％（-0.9397） 1表 10裏 20目 2～21局] [50.1801 ％（+0.1801） 1表 11裏 31目 3～33局]
0.93,1,10,10,[93.0000 ％（+43.0000） 1表 1裏 1目 1～1局] [86.4900 ％（+36.4900） 1表 2裏 2目 1～2局] [80.4357 ％（+30.4357） 1表 3裏 3目 1～3局] [74.8052 ％（+24.8052） 1表 4裏 4目 1～4局] [69.5688 ％（+19.5688） 1表 5裏 5目 1～5局] [64.6990 ％（+14.6990） 1表 6裏 6目 1～6局] [60.1701 ％（+10.1701） 1表 7裏 7目 1～7局] [55.9582 ％（+5.9582） 1表 8裏 8目 1～8局] [52.0411 ％（+2.0411） 1表 9裏 9目 1～9局] [48.3982 ％（-1.6018） 1表 10裏 10目 1～10局] [51.4587 ％（+1.4587） 1表 11裏 22目 2～23局] [49.1754 ％（-0.8246） 1表 12裏 23目 2～24局] [49.7546 ％（-0.2454） 1表 12裏 36目 3～38局]
0.94,1,11,11,[94.0000 ％（+44.0000） 1表 1裏 1目 1～1局] [88.3600 ％（+38.3600） 1表 2裏 2目 1～2局] [83.0584 ％（+33.0584） 1表 3裏 3目 1～3局] [78.0749 ％（+28.0749） 1表 4裏 4目 1～4局] [73.3904 ％（+23.3904） 1表 5裏 5目 1～5局] [68.9870 ％（+18.9870） 1表 6裏 6目 1～6局] [64.8478 ％（+14.8478） 1表 7裏 7目 1～7局] [60.9569 ％（+10.9569） 1表 8裏 8目 1～8局] [57.2995 ％（+7.2995） 1表 9裏 9目 1～9局] [53.8615 ％（+3.8615） 1表 10裏 10目 1～10局] [50.6298 ％（+0.6298） 1表 11裏 11目 1～11局]
0.95,1,13,13,[95.0000 ％（+45.0000） 1表 1裏 1目 1～1局] [90.2500 ％（+40.2500） 1表 2裏 2目 1～2局] [85.7375 ％（+35.7375） 1表 3裏 3目 1～3局] [81.4506 ％（+31.4506） 1表 4裏 4目 1～4局] [77.3781 ％（+27.3781） 1表 5裏 5目 1～5局] [73.5092 ％（+23.5092） 1表 6裏 6目 1～6局] [69.8337 ％（+19.8337） 1表 7裏 7目 1～7局] [66.3420 ％（+16.3420） 1表 8裏 8目 1～8局] [63.0249 ％（+13.0249） 1表 9裏 9目 1～9局] [59.8737 ％（+9.8737） 1表 10裏 10目 1～10局] [56.8800 ％（+6.8800） 1表 11裏 11目 1～11局] [54.0360 ％（+4.0360） 1表 12裏 12目 1～12局] [51.3342 ％（+1.3342） 1表 13裏 13目 1～13局] [48.7675 ％（-1.2325） 1表 14裏 14目 1～14局] [50.3650 ％（+0.3650） 1表 16裏 32目 2～33局]
0.96,1,17,17,[96.0000 ％（+46.0000） 1表 1裏 1目 1～1局] [92.1600 ％（+42.1600） 1表 2裏 2目 1～2局] [88.4736 ％（+38.4736） 1表 3裏 3目 1～3局] [84.9347 ％（+34.9347） 1表 4裏 4目 1～4局] [81.5373 ％（+31.5373） 1表 5裏 5目 1～5局] [78.2758 ％（+28.2758） 1表 6裏 6目 1～6局] [75.1447 ％（+25.1447） 1表 7裏 7目 1～7局] [72.1390 ％（+22.1390） 1表 8裏 8目 1～8局] [69.2534 ％（+19.2534） 1表 9裏 9目 1～9局] [66.4833 ％（+16.4833） 1表 10裏 10目 1～10局] [63.8239 ％（+13.8239） 1表 11裏 11目 1～11局] [61.2710 ％（+11.2710） 1表 12裏 12目 1～12局] [58.8201 ％（+8.8201） 1表 13裏 13目 1～13局] [56.4673 ％（+6.4673） 1表 14裏 14目 1～14局] [54.2086 ％（+4.2086） 1表 15裏 15目 1～15局] [52.0403 ％（+2.0403） 1表 16裏 16目 1～16局] [49.9587 ％（-0.0413） 1表 17裏 17目 1～17局]
0.97,1,23,23,[97.0000 ％（+47.0000） 1表 1裏 1目 1～1局] [94.0900 ％（+44.0900） 1表 2裏 2目 1～2局] [91.2673 ％（+41.2673） 1表 3裏 3目 1～3局] [88.5293 ％（+38.5293） 1表 4裏 4目 1～4局] [85.8734 ％（+35.8734） 1表 5裏 5目 1～5局] [83.2972 ％（+33.2972） 1表 6裏 6目 1～6局] [80.7983 ％（+30.7983） 1表 7裏 7目 1～7局] [78.3743 ％（+28.3743） 1表 8裏 8目 1～8局] [76.0231 ％（+26.0231） 1表 9裏 9目 1～9局] [73.7424 ％（+23.7424） 1表 10裏 10目 1～10局] [71.5301 ％（+21.5301） 1表 11裏 11目 1～11局] [69.3842 ％（+19.3842） 1表 12裏 12目 1～12局] [67.3027 ％（+17.3027） 1表 13裏 13目 1～13局] [65.2836 ％（+15.2836） 1表 14裏 14目 1～14局] [63.3251 ％（+13.3251） 1表 15裏 15目 1～15局] [61.4254 ％（+11.4254） 1表 16裏 16目 1～16局] [59.5826 ％（+9.5826） 1表 17裏 17目 1～17局] [57.7951 ％（+7.7951） 1表 18裏 18目 1～18局] [56.0613 ％（+6.0613） 1表 19裏 19目 1～19局] [54.3794 ％（+4.3794） 1表 20裏 20目 1～20局] [52.7481 ％（+2.7481） 1表 21裏 21目 1～21局] [51.1656 ％（+1.1656） 1表 22裏 22目 1～22局] [49.6306 ％（-0.3694） 1表 23裏 23目 1～23局]
0.98,1,34,34,[98.0000 ％（+48.0000） 1表 1裏 1目 1～1局] [96.0400 ％（+46.0400） 1表 2裏 2目 1～2局] [94.1192 ％（+44.1192） 1表 3裏 3目 1～3局] [92.2368 ％（+42.2368） 1表 4裏 4目 1～4局] [90.3921 ％（+40.3921） 1表 5裏 5目 1～5局] [88.5842 ％（+38.5842） 1表 6裏 6目 1～6局] [86.8126 ％（+36.8126） 1表 7裏 7目 1～7局] [85.0763 ％（+35.0763） 1表 8裏 8目 1～8局] [83.3748 ％（+33.3748） 1表 9裏 9目 1～9局] [81.7073 ％（+31.7073） 1表 10裏 10目 1～10局] [80.0731 ％（+30.0731） 1表 11裏 11目 1～11局] [78.4717 ％（+28.4717） 1表 12裏 12目 1～12局] [76.9022 ％（+26.9022） 1表 13裏 13目 1～13局] [75.3642 ％（+25.3642） 1表 14裏 14目 1～14局] [73.8569 ％（+23.8569） 1表 15裏 15目 1～15局] [72.3798 ％（+22.3798） 1表 16裏 16目 1～16局] [70.9322 ％（+20.9322） 1表 17裏 17目 1～17局] [69.5135 ％（+19.5135） 1表 18裏 18目 1～18局] [68.1233 ％（+18.1233） 1表 19裏 19目 1～19局] [66.7608 ％（+16.7608） 1表 20裏 20目 1～20局] [65.4256 ％（+15.4256） 1表 21裏 21目 1～21局] [64.1171 ％（+14.1171） 1表 22裏 22目 1～22局] [62.8347 ％（+12.8347） 1表 23裏 23目 1～23局] [61.5780 ％（+11.5780） 1表 24裏 24目 1～24局] [60.3465 ％（+10.3465） 1表 25裏 25目 1～25局] [59.1395 ％（+9.1395） 1表 26裏 26目 1～26局] [57.9568 ％（+7.9568） 1表 27裏 27目 1～27局] [56.7976 ％（+6.7976） 1表 28裏 28目 1～28局] [55.6617 ％（+5.6617） 1表 29裏 29目 1～29局] [54.5484 ％（+4.5484） 1表 30裏 30目 1～30局] [53.4575 ％（+3.4575） 1表 31裏 31目 1～31局] [52.3883 ％（+2.3883） 1表 32裏 32目 1～32局] [51.3405 ％（+1.3405） 1表 33裏 33目 1～33局] [50.3137 ％（+0.3137） 1表 34裏 34目 1～34局]
0.99,1,40,40,[99.0000 ％（+49.0000） 1表 1裏 1目 1～1局] [98.0100 ％（+48.0100） 1表 2裏 2目 1～2局] [97.0299 ％（+47.0299） 1表 3裏 3目 1～3局] [96.0596 ％（+46.0596） 1表 4裏 4目 1～4局] [95.0990 ％（+45.0990） 1表 5裏 5目 1～5局] [94.1480 ％（+44.1480） 1表 6裏 6目 1～6局] [93.2065 ％（+43.2065） 1表 7裏 7目 1～7局] [92.2745 ％（+42.2745） 1表 8裏 8目 1～8局] [91.3517 ％（+41.3517） 1表 9裏 9目 1～9局] [90.4382 ％（+40.4382） 1表 10裏 10目 1～10局] [89.5338 ％（+39.5338） 1表 11裏 11目 1～11局] [88.6385 ％（+38.6385） 1表 12裏 12目 1～12局] [87.7521 ％（+37.7521） 1表 13裏 13目 1～13局] [86.8746 ％（+36.8746） 1表 14裏 14目 1～14局] [86.0058 ％（+36.0058） 1表 15裏 15目 1～15局] [85.1458 ％（+35.1458） 1表 16裏 16目 1～16局] [84.2943 ％（+34.2943） 1表 17裏 17目 1～17局] [83.4514 ％（+33.4514） 1表 18裏 18目 1～18局] [82.6169 ％（+32.6169） 1表 19裏 19目 1～19局] [81.7907 ％（+31.7907） 1表 20裏 20目 1～20局] [80.9728 ％（+30.9728） 1表 21裏 21目 1～21局] [80.1631 ％（+30.1631） 1表 22裏 22目 1～22局] [79.3614 ％（+29.3614） 1表 23裏 23目 1～23局] [78.5678 ％（+28.5678） 1表 24裏 24目 1～24局] [77.7821 ％（+27.7821） 1表 25裏 25目 1～25局] [77.0043 ％（+27.0043） 1表 26裏 26目 1～26局] [76.2343 ％（+26.2343） 1表 27裏 27目 1～27局] [75.4719 ％（+25.4719） 1表 28裏 28目 1～28局] [74.7172 ％（+24.7172） 1表 29裏 29目 1～29局] [73.9700 ％（+23.9700） 1表 30裏 30目 1～30局] [73.2303 ％（+23.2303） 1表 31裏 31目 1～31局] [72.4980 ％（+22.4980） 1表 32裏 32目 1～32局] [71.7731 ％（+21.7731） 1表 33裏 33目 1～33局] [71.0553 ％（+21.0553） 1表 34裏 34目 1～34局] [70.3448 ％（+20.3448） 1表 35裏 35目 1～35局] [69.6413 ％（+19.6413） 1表 36裏 36目 1～36局] [68.9449 ％（+18.9449） 1表 37裏 37目 1～37局] [68.2555 ％（+18.2555） 1表 38裏 38目 1～38局] [67.5729 ％（+17.5729） 1表 39裏 39目 1～39局] [66.8972 ％（+16.8972） 1表 40裏 40目 1～40局]
