p,number_of_series,p_step,q_step,span,presentable,comment,candidates
0.60,0,1,2,3,,,[60.0000 ％（+10.0000） 1表 1裏 1目 1～1局] [47.5200 ％（-2.4800） 1表 2裏 3目 2～4局] [48.2610 ％（-1.7390） 2表 3裏 11目 4～9局] [48.5855 ％（-1.4145） 2表 3裏 17目 6～14局] [48.7775 ％（-1.2225） 2表 3裏 23目 8～19局] [48.9080 ％（-1.0920） 2表 3裏 29目 10～24局] [49.0041 ％（-0.9959） 2表 3裏 35目 12～29局] [49.0785 ％（-0.9215） 2表 3裏 41目 14～34局] [49.1385 ％（-0.8615） 2表 3裏 47目 16～39局] [49.1881 ％（-0.8119） 2表 3裏 53目 18～44局] [49.2300 ％（-0.7700） 2表 3裏 59目 20～49局] [49.2660 ％（-0.7340） 2表 3裏 65目 22～54局] [49.2974 ％（-0.7026） 2表 3裏 71目 24～59局] [49.3251 ％（-0.6749） 2表 3裏 77目 26～64局] [49.3497 ％（-0.6503） 2表 3裏 83目 28～69局] [49.3719 ％（-0.6281） 2表 3裏 89目 30～74局] [49.3919 ％（-0.6081） 2表 3裏 95目 32～79局] [49.4101 ％（-0.5899） 2表 3裏 101目 34～84局] [49.4268 ％（-0.5732） 2表 3裏 107目 36～89局] [49.4421 ％（-0.5579） 2表 3裏 113目 38～94局] [49.4563 ％（-0.5437） 2表 3裏 119目 40～99局] [49.4694 ％（-0.5306） 2表 3裏 125目 42～104局] [49.4817 ％（-0.5183） 2表 3裏 131目 44～109局] [49.4931 ％（-0.5069） 2表 3裏 137目 46～114局] [49.5038 ％（-0.4962） 2表 3裏 143目 48～119局] [49.5138 ％（-0.4862） 2表 3裏 149目 50～124局] [49.5233 ％（-0.4767） 2表 3裏 155目 52～129局] [49.5322 ％（-0.4678） 2表 3裏 161目 54～134局] [49.5407 ％（-0.4593） 2表 3裏 167目 56～139局] [49.5487 ％（-0.4513） 2表 3裏 173目 58～144局] [49.5563 ％（-0.4437） 2表 3裏 179目 60～149局] [49.5635 ％（-0.4365） 2表 3裏 185目 62～154局] [49.5704 ％（-0.4296） 2表 3裏 191目 64～159局] [49.5770 ％（-0.4230） 2表 3裏 197目 66～164局] [49.5833 ％（-0.4167） 2表 3裏 203目 68～169局] [49.5893 ％（-0.4107） 2表 3裏 209目 70～174局] [49.5950 ％（-0.4050） 2表 3裏 215目 72～179局] [49.6005 ％（-0.3995） 2表 3裏 221目 74～184局] [49.6058 ％（-0.3942） 2表 3裏 227目 76～189局] [49.6109 ％（-0.3891） 2表 3裏 233目 78～194局] [49.6158 ％（-0.3842） 2表 3裏 239目 80～199局] [49.6206 ％（-0.3794） 2表 3裏 245目 82～204局] [49.6251 ％（-0.3749） 2表 3裏 251目 84～209局] [49.6295 ％（-0.3705） 2表 3裏 257目 86～214局] [49.6337 ％（-0.3663） 2表 3裏 263目 88～219局] [49.6378 ％（-0.3622） 2表 3裏 269目 90～224局] [49.6418 ％（-0.3582） 2表 3裏 275目 92～229局] [49.6456 ％（-0.3544） 2表 3裏 281目 94～234局] [49.6493 ％（-0.3507） 2表 3裏 287目 96～239局] [49.6529 ％（-0.3471） 2表 3裏 293目 98～244局] [49.6564 ％（-0.3436） 2表 3裏 299目 100～249局] [49.6598 ％（-0.3402） 2表 3裏 305目 102～254局] [49.6631 ％（-0.3369） 2表 3裏 311目 104～259局]
0.61,0,1,2,3,,,[61.0000 ％（+11.0000） 1表 1裏 1目 1～1局] [49.2549 ％（-0.7451） 1表 2裏 3目 2～4局] [49.2630 ％（-0.7370） 2表 3裏 27目 9～22局] [50.1164 ％（+0.1164） 2表 3裏 33目 11～27局] [49.9727 ％（-0.0273） 5表 8裏 265目 34～86局]
0.62,0,1,2,3,,,[62.0000 ％（+12.0000） 1表 1裏 1目 1～1局] [38.4400 ％（-11.5600） 1表 2裏 2目 1～2局] [51.0022 ％（+1.0022） 1表 2裏 3目 2～4局] [49.5719 ％（-0.4281） 2表 3裏 15目 5～12局] [50.0097 ％（+0.0097） 3表 5裏 61目 13～33局] [50.0024 ％（+0.0024） 3表 5裏 156目 32～83局]
0.63,0,1,2,5,,,[63.0000 ％（+13.0000） 1表 1裏 1目 1～1局] [39.6900 ％（-10.3100） 1表 2裏 2目 1～2局] [52.7599 ％（+2.7599） 1表 2裏 3目 2～4局] [48.6641 ％（-1.3359） 1表 2裏 5目 3～7局] [49.8927 ％（-0.1073） 3表 5裏 28目 6～15局] [50.0498 ％（+0.0498） 3表 5裏 79目 16～42局]
0.64,0,1,2,5,,,[64.0000 ％（+14.0000） 1表 1裏 1目 1～1局] [40.9600 ％（-9.0400） 1表 2裏 2目 1～2局] [54.5260 ％（+4.5260） 1表 2裏 3目 2～4局] [50.9383 ％（+0.9383） 1表 2裏 5目 3～7局] [49.7818 ％（-0.2182） 3表 5裏 40目 8～21局] [49.8440 ％（-0.1560） 4表 7裏 117目 17～46局] [49.8723 ％（-0.1277） 4表 7裏 181目 26～71局] [49.8893 ％（-0.1107） 4表 7裏 245目 35～96局]
0.65,0,1,2,7,,,[65.0000 ％（+15.0000） 1表 1裏 1目 1～1局] [42.2500 ％（-7.7500） 1表 2裏 2目 1～2局] [56.2981 ％（+6.2981） 1表 2裏 3目 2～4局] [53.2283 ％（+3.2283） 1表 2裏 5目 3～7局] [51.3827 ％（+1.3827） 1表 2裏 7目 4～10局] [50.0503 ％（+0.0503） 1表 2裏 9目 5～13局] [50.0127 ％（+0.0127） 5表 9裏 106目 12～33局] [50.0063 ％（+0.0063） 5表 9裏 171目 19～53局]
0.66,0,1,2,9,,,[66.0000 ％（+16.0000） 1表 1裏 1目 1～1局] [43.5600 ％（-6.4400） 1表 2裏 2目 1～2局] [44.7804 ％（-5.2196） 1表 2裏 4目 2～5局] [45.1919 ％（-4.8081） 1表 2裏 6目 3～8局] [54.1061 ％（+4.1061） 1表 2裏 7目 4～10局] [53.1382 ％（+3.1382） 1表 2裏 9目 5～13局] [52.4088 ％（+2.4088） 1表 2裏 11目 6～16局] [51.8242 ％（+1.8242） 1表 2裏 13目 7～19局] [51.3359 ％（+1.3359） 1表 2裏 15目 8～22局] [50.9158 ％（+0.9158） 1表 2裏 17目 9～25局] [50.5465 ％（+0.5465） 1表 2裏 19目 10～28局] [50.2163 ％（+0.2163） 1表 2裏 21目 11～31局] [49.9171 ％（-0.0829） 1表 2裏 23目 12～34局]
0.67,0,1,2,8,,,[67.0000 ％（+17.0000） 1表 1裏 1目 1～1局] [44.8900 ％（-5.1100） 1表 2裏 2目 1～2局] [46.7506 ％（-3.2494） 1表 2裏 4目 2～5局] [47.6435 ％（-2.3565） 1表 2裏 6目 3～8局] [48.2118 ％（-1.7882） 1表 2裏 8目 4～11局] [48.6242 ％（-1.3758） 1表 2裏 10目 5～14局] [48.9469 ％（-1.0531） 1表 2裏 12目 6～17局] [49.2122 ％（-0.7878） 1表 2裏 14目 7～20局] [49.4376 ％（-0.5624） 1表 2裏 16目 8～23局] [49.6341 ％（-0.3659） 1表 2裏 18目 9～26局] [49.8086 ％（-0.1914） 1表 2裏 20目 10～29局] [49.9658 ％（-0.0342） 1表 2裏 22目 11～32局]
0.68,0,1,2,6,,,[68.0000 ％（+18.0000） 1表 1裏 1目 1～1局] [46.2400 ％（-3.7600） 1表 2裏 2目 1～2局] [48.7495 ％（-1.2505） 1表 2裏 4目 2～5局] [50.1298 ％（+0.1298） 1表 2裏 6目 3～8局] [50.0162 ％（+0.0162） 4表 9裏 91目 11～33局] [50.0070 ％（+0.0070） 5表 11裏 199目 19～58局]
0.69,0,1,2,4,,,[69.0000 ％（+19.0000） 1表 1裏 1目 1～1局] [47.6100 ％（-2.3900） 1表 2裏 2目 1～2局] [50.7744 ％（+0.7744） 1表 2裏 4目 2～5局] [49.7055 ％（-0.2945） 2表 5裏 26目 6～18局] [49.9266 ％（-0.0734） 3表 7裏 99目 15～47局] [50.0380 ％（+0.0380） 4表 9裏 209目 24～76局]
