p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.05,frozen,2000,0.5005,0.0004999999999999449,3,3,5,0.5005,0.0004999999999999449,3,3,5, [0.009500 1表 1裏 1目 1～2局 2000試] [-0.006000 2表 2裏 2目 1～2局 2000試] [-0.001000 1表 1裏 4目 4～8局 2000試] [0.000500 3表 3裏 5目 2～4局 2000試]
0.51,0.05,frozen,2000,0.5005,0.0004999999999999449,1,1,5,0.5005,0.0004999999999999449,1,1,5, [0.015500 1表 1裏 1目 1～2局 2000試] [-0.002500 2表 2裏 2目 1～2局 2000試] [0.000500 1表 1裏 5目 5～10局 2000試]
0.52,0.05,frozen,2000,0.4995,-0.0005000000000000004,17,17,17,0.4995,-0.0005000000000000004,17,17,17, [0.015000 1表 1裏 1目 1～2局 2000試] [0.013000 2表 2裏 3目 2～4局 2000試] [-0.005000 5表 5裏 5目 1～2局 2000試] [-0.001000 4表 4裏 9目 2～6局 2000試] [-0.000500 17表 17裏 17目 1～2局 2000試]
0.53,0.05,frozen,2000,0.4995,-0.0005000000000000004,58,70,75,0.4995,-0.0005000000000000004,58,70,75, [0.016000 1表 1裏 1目 1～2局 2000試] [0.015000 4表 5裏 6目 1～4局 2000試] [0.013000 13表 13裏 16目 1～4局 2000試] [0.008500 15表 16裏 21目 1～4局 2000試] [0.004500 17表 20裏 21目 1～4局 2000試] [0.002000 6表 7裏 38目 5～13局 2000試] [-0.001000 8表 9裏 53目 6～13局 2000試] [-0.000500 58表 70裏 75目 1～4局 2000試]
0.54,0.05,frozen,2000,0.4995,-0.0005000000000000004,4,5,32,0.4995,-0.0005000000000000004,4,5,32, [0.035000 1表 1裏 1目 1～2局 2000試] [0.027000 2表 2裏 2目 1～2局 2000試] [0.020500 8表 8裏 8目 1～2局 2000試] [0.016000 16表 16裏 16目 1～2局 2000試] [-0.015000 4表 5裏 26目 5～13局 2000試] [-0.011500 4表 5裏 27目 5～13局 2000試] [0.007500 5表 6裏 27目 5～11局 2000試] [-0.001000 5表 6裏 28目 5～11局 2000試] [-0.000500 4表 5裏 32目 6～15局 2000試]
0.55,0.05,frozen,2000,0.5005,0.0004999999999999449,8,10,40,0.5005,0.0004999999999999449,8,10,40, [0.070500 1表 1裏 1目 1～2局 2000試] [0.065000 1表 1裏 2目 2～4局 2000試] [0.060000 2表 2裏 2目 1～2局 2000試] [0.044500 4表 4裏 4目 1～2局 2000試] [0.026000 5表 5裏 5目 1～2局 2000試] [-0.005500 3表 4裏 17目 4～11局 2000試] [0.005500 3表 4裏 18目 5～11局 2000試] [-0.003500 5表 6裏 21目 4～9局 2000試] [0.003500 5表 6裏 24目 4～9局 2000試] [0.001000 5表 6裏 26目 4～11局 2000試] [0.000500 8表 10裏 40目 4～9局 2000試]
0.56,0.05,frozen,2000,0.5,0.0,8,12,37,0.5,0.0,8,12,37, [0.060500 1表 1裏 1目 1～2局 2000試] [0.059500 2表 2裏 2目 1～2局 2000試] [0.050500 5表 5裏 5目 1～2局 2000試] [-0.042500 2表 3裏 7目 2～7局 2000試] [-0.001000 2表 3裏 10目 3～9局 2000試] [0.000000 8表 12裏 37目 3～9局 2000試]
0.57,0.05,frozen,2000,0.5,0.0,7,10,22,0.5,0.0,7,10,22, [0.077000 1表 1裏 1目 1～2局 2000試] [0.074500 2表 2裏 2目 1～2局 2000試] [0.059000 4表 4裏 4目 1～2局 2000試] [-0.047500 2表 3裏 7目 2～7局 2000試] [-0.025000 2表 3裏 8目 3～7局 2000試] [0.003000 2表 3裏 10目 3～9局 2000試] [-0.001500 6表 7裏 20目 3～7局 2000試] [0.000000 7表 10裏 22目 2～7局 2000試]
0.58,0.05,frozen,2000,0.5,0.0,4,6,13,0.5,0.0,4,6,13, [0.068500 1表 1裏 1目 1～2局 2000試] [-0.050000 2表 3裏 5目 2～5局 2000試] [0.012000 2表 3裏 7目 2～7局 2000試] [0.003000 2表 3裏 8目 3～7局 2000試] [0.000000 4表 6裏 13目 2～7局 2000試]
0.59,0.05,frozen,2000,0.4995,-0.0005000000000000004,10,16,36,0.4995,-0.0005000000000000004,10,16,36, [0.082000 1表 1裏 1目 1～2局 2000試] [-0.045500 1表 2裏 3目 2～5局 2000試] [-0.039000 2表 3裏 6目 2～5局 2000試] [0.020500 2表 3裏 7目 2～7局 2000試] [0.012500 2表 3裏 8目 3～7局 2000試] [0.011000 3表 5裏 12目 2～7局 2000試] [-0.009500 5表 9裏 12目 1～5局 2000試] [0.001000 4表 6裏 15目 3～7局 2000試] [-0.000500 10表 16裏 36目 2～7局 2000試]
