p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.2,frozen,2000,0.4995,-0.0005000000000000004,1,1,17,0.4995,-0.0005000000000000004,1,1,17, [-0.031500 1表 1裏 1目 1～2局 2000試] [-0.013000 2表 2裏 2目 1～2局 2000試] [-0.010000 4表 4裏 4目 1～2局 2000試] [-0.007500 5表 5裏 5目 1～2局 2000試] [-0.006500 7表 7裏 7目 1～2局 2000試] [-0.001000 1表 1裏 11目 11～27局 2000試] [-0.000500 1表 1裏 17目 17～42局 2000試]
0.51,0.2,frozen,2000,0.5,0.0,1,1,8,0.5,0.0,1,1,8, [-0.013000 1表 1裏 1目 1～2局 2000試] [-0.007500 1表 1裏 2目 2～4局 2000試] [0.005500 3表 3裏 3目 1～2局 2000試] [-0.004500 1表 1裏 4目 4～9局 2000試] [0.002000 2表 2裏 4目 2～4局 2000試] [0.001000 3表 3裏 6目 2～4局 2000試] [0.000000 1表 1裏 8目 8～19局 2000試]
0.52,0.2,frozen,2000,0.5,0.0,3,3,3,0.5,0.0,3,3,3, [0.005500 1表 1裏 1目 1～2局 2000試] [0.000000 3表 3裏 3目 1～2局 2000試]
0.53,0.2,frozen,2000,0.5005,0.0004999999999999449,1,1,3,0.5005,0.0004999999999999449,1,1,3, [0.005500 1表 1裏 1目 1～2局 2000試] [-0.004000 1表 1裏 2目 2～4局 2000試] [0.000500 1表 1裏 3目 3～7局 2000試]
0.54,0.2,frozen,2000,0.5005,0.0004999999999999449,4,7,8,0.5005,0.0004999999999999449,4,7,8, [0.023500 1表 1裏 1目 1～2局 2000試] [0.006500 1表 1裏 2目 2～4局 2000試] [-0.002500 4表 5裏 7目 1～4局 2000試] [0.000500 4表 7裏 8目 1～4局 2000試]
0.55,0.2,frozen,2000,0.4995,-0.0005000000000000004,3,4,21,0.4995,-0.0005000000000000004,3,4,21, [0.026000 1表 1裏 1目 1～2局 2000試] [0.022000 2表 2裏 3目 2～4局 2000試] [0.011500 2表 3裏 4目 1～4局 2000試] [0.011000 13表 13裏 13目 1～2局 2000試] [0.003000 4表 5裏 17目 3～10局 2000試] [0.002000 4表 5裏 20目 4～10局 2000試] [-0.001000 13表 16裏 20目 1～4局 2000試] [-0.000500 3表 4裏 21目 5～15局 2000試]
0.56,0.2,frozen,2000,0.4995,-0.0005000000000000004,7,10,25,0.4995,-0.0005000000000000004,7,10,25, [0.047500 1表 1裏 1目 1～2局 2000試] [0.038500 1表 1裏 2目 2～4局 2000試] [0.024000 4表 4裏 4目 1～2局 2000試] [0.022000 4表 5裏 8目 2～4局 2000試] [0.018000 5表 7裏 8目 1～4局 2000試] [-0.012500 3表 4裏 10目 3～8局 2000試] [0.012500 6表 10裏 11目 1～4局 2000試] [0.007000 3表 4裏 12目 3～8局 2000試] [0.003000 6表 7裏 20目 3～8局 2000試] [-0.002500 7表 9裏 23目 3～8局 2000試] [-0.000500 7表 10裏 25目 3～8局 2000試]
0.57,0.2,frozen,2000,0.5,0.0,9,12,29,0.5,0.0,9,12,29, [0.044500 1表 1裏 1目 1～2局 2000試] [0.043000 2表 2裏 2目 1～2局 2000試] [0.030000 4表 4裏 4目 1～2局 2000試] [-0.018000 2表 3裏 6目 2～5局 2000試] [0.017000 3表 4裏 10目 3～8局 2000試] [0.004000 3表 4裏 11目 3～8局 2000試] [-0.001500 3表 4裏 15目 4～10局 2000試] [-0.001000 6表 7裏 21目 3～8局 2000試] [0.000000 9表 12裏 29目 2～8局 2000試]
0.58,0.2,frozen,2000,0.5,0.0,9,15,24,0.5,0.0,9,15,24, [0.070000 1表 1裏 1目 1～2局 2000試] [0.065500 1表 1裏 2目 2～4局 2000試] [0.055500 2表 2裏 2目 1～2局 2000試] [-0.024000 2表 3裏 5目 2～5局 2000試] [0.015500 2表 3裏 8目 3～8局 2000試] [-0.001500 2表 3裏 10目 3～10局 2000試] [-0.001000 5表 9裏 11目 1～5局 2000試] [0.000000 9表 15裏 24目 2～5局 2000試]
0.59,0.2,frozen,2000,0.5,0.0,7,11,15,0.5,0.0,7,11,15, [0.063500 1表 1裏 1目 1～2局 2000試] [0.042000 3表 3裏 3目 1～2局 2000試] [-0.028000 2表 3裏 5目 2～5局 2000試] [-0.015000 2表 3裏 6目 2～5局 2000試] [-0.002500 2表 3裏 7目 2～8局 2000試] [-0.001500 3表 4裏 7目 2～5局 2000試] [0.001500 3表 5裏 9目 2～5局 2000試] [0.001000 4表 6裏 11目 2～5局 2000試] [0.000000 7表 11裏 15目 1～5局 2000試]
