p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.85,0.45,alternating,2000,0.4995,-0.0005,3,3,5,0.4995,-0.0005,3,3,5, [0.021000 1表 1裏 1目 1～2局 2000試] [0.003500 1表 1裏 2目 2～6局 2000試] [0.002500 1表 2裏 2目 1～6局 2000試] [-0.001000 2表 2裏 4目 2～6局 2000試] [-0.000500 3表 3裏 5目 2～6局 2000試]
0.86,0.45,alternating,2000,0.4995,-0.0005,1,1,3,0.4995,-0.0005,1,1,3, [0.002000 1表 1裏 1目 1～2局 2000試] [-0.000500 1表 1裏 3目 3～10局 2000試]
0.87,0.45,alternating,2000,0.4995,-0.0005,1,2,2,0.4995,-0.0005,1,2,2, [0.027500 1表 1裏 1目 1～2局 2000試] [-0.018500 1表 1裏 2目 2～6局 2000試] [-0.000500 1表 2裏 2目 1～6局 2000試]
0.88,0.45,alternating,2000,0.4995,-0.0005000000000000004,5,6,9,0.4995,-0.0005000000000000004,5,6,9, [0.009500 1表 1裏 1目 1～2局 2000試] [-0.002500 1表 2裏 2目 1～6局 2000試] [0.002500 3表 3裏 3目 1～2局 2000試] [-0.001500 2表 2裏 5目 3～10局 2000試] [0.001500 4表 7裏 7目 1～6局 2000試] [-0.001000 1表 2裏 8目 5～28局 2000試] [-0.000500 5表 6裏 9目 2～6局 2000試]
0.89,0.45,alternating,2000,0.5,0.0,1,1,3,0.5,0.0,1,1,3, [0.009500 1表 1裏 1目 1～2局 2000試] [0.006000 1表 2裏 2目 1～6局 2000試] [0.000000 1表 1裏 3目 3～10局 2000試]
0.9,0.45,alternating,2000,0.4995,-0.0005,1,1,3,0.4995,-0.0005,1,1,3, [0.012500 1表 1裏 1目 1～2局 2000試] [0.001000 1表 1裏 2目 2～6局 2000試] [-0.000500 1表 1裏 3目 3～10局 2000試]
0.91,0.45,alternating,2000,0.5005,0.0004999999999999,4,5,5,0.5005,0.0004999999999999,4,5,5, [0.008500 1表 1裏 1目 1～2局 2000試] [0.003000 1表 2裏 2目 1～6局 2000試] [0.002500 2表 2裏 3目 2～6局 2000試] [-0.001000 3表 4裏 5目 2～6局 2000試] [0.000500 4表 5裏 5目 1～6局 2000試]
0.92,0.45,alternating,2000,0.5005,0.0004999999999999449,5,5,7,0.5005,0.0004999999999999449,5,5,7, [0.017500 1表 1裏 1目 1～2局 2000試] [-0.004000 1表 1裏 2目 2～6局 2000試] [0.002500 3表 3裏 4目 2～6局 2000試] [0.002000 1表 4裏 4目 1～13局 2000試] [-0.001500 2表 2裏 5目 3～10局 2000試] [0.001000 1表 4裏 7目 3～24局 2000試] [0.000500 5表 5裏 7目 2～6局 2000試]
0.93,0.45,alternating,2000,0.5005,0.0004999999999999,1,2,2,0.5005,0.0004999999999999,1,2,2, [0.025000 1表 1裏 1目 1～2局 2000試] [-0.001000 1表 1裏 2目 2～6局 2000試] [0.000500 1表 2裏 2目 1～6局 2000試]
0.94,0.45,alternating,2000,0.4995,-0.0005,1,2,3,0.4995,-0.0005,1,2,3, [0.050500 1表 1裏 1目 1～2局 2000試] [-0.002000 1表 1裏 2目 2～6局 2000試] [-0.000500 1表 2裏 3目 2～10局 2000試]
0.95,0.45,alternating,2000,0.5,0.0,2,5,5,0.5,0.0,2,5,5, [0.021000 1表 1裏 1目 1～2局 2000試] [0.018500 1表 1裏 2目 2～6局 2000試] [0.015500 1表 2裏 2目 1～6局 2000試] [0.012000 1表 1裏 3目 3～10局 2000試] [-0.003500 1表 2裏 3目 2～10局 2000試] [0.003500 2表 3裏 4目 2～6局 2000試] [0.000000 2表 5裏 5目 1～10局 2000試]
