p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_p_step,latest_q_step,latest_span,candidates
0.78,0.0,frozen,1,0.4994824329307584,-0.0005175670692416,2,7,203,0.7877563200000001,0.28775632000000007,129,234,259, [0.280000 1表 1裏 1目 1～1局 1試] [0.108400 1表 2裏 2目 1～2局 1試] [-0.025448 1表 3裏 3目 1～3局 1試] [0.022463 1表 3裏 6目 2～7局 1試] [-0.011357 1表 4裏 10目 3～12局 1試] [-0.004904 1表 4裏 17目 4～21局 1試] [-0.000764 2表 7裏 47目 7～30局 1試] [-0.000624 2表 7裏 125目 18～80局 1試] [-0.000518 2表 7裏 203目 29～130局 1試]
0.79,0.0,frozen,1,0.4997357145319491,-0.0002642854680508,3,11,142,0.8862220000000001,0.38622200000000007,146,234,259, [0.290000 1表 1裏 1目 1～1局 1試] [0.124100 1表 2裏 2目 1～2局 1試] [-0.006961 1表 3裏 3目 1～3局 1試] [-0.004165 1表 4裏 18目 5～22局 1試] [-0.001761 1表 4裏 33目 8～41局 1試] [-0.000264 3表 11裏 142目 13～60局 1試]
0.8,0.0,frozen,1,0.5000143996214503,1.439962145033391e-05,1,4,251,0.5000143996214503,1.439962145033391e-05,1,4,251, [0.300000 1表 1裏 1目 1～1局 1試] [0.140000 1表 2裏 2目 1～2局 1試] [0.012000 1表 3裏 3目 1～3局 1試] [0.003316 1表 4裏 7目 2～8局 1試] [0.001652 1表 4裏 11目 3～13局 1試] [0.001025 1表 4裏 15目 4～18局 1試] [0.000714 1表 4裏 19目 5～23局 1試] [0.000533 1表 4裏 23目 6～28局 1試] [0.000417 1表 4裏 27目 7～33局 1試] [0.000338 1表 4裏 31目 8～38局 1試] [0.000281 1表 4裏 35目 9～43局 1試] [0.000239 1表 4裏 39目 10～48局 1試] [0.000206 1表 4裏 43目 11～53局 1試] [0.000180 1表 4裏 47目 12～58局 1試] [0.000159 1表 4裏 51目 13～63局 1試] [0.000142 1表 4裏 55目 14～68局 1試] [0.000128 1表 4裏 59目 15～73局 1試] [0.000115 1表 4裏 63目 16～78局 1試] [0.000105 1表 4裏 67目 17～83局 1試] [0.000096 1表 4裏 71目 18～88局 1試] [0.000089 1表 4裏 75目 19～93局 1試] [0.000082 1表 4裏 79目 20～98局 1試] [0.000076 1表 4裏 83目 21～103局 1試] [0.000071 1表 4裏 87目 22～108局 1試] [0.000066 1表 4裏 91目 23～113局 1試] [0.000062 1表 4裏 95目 24～118局 1試] [0.000058 1表 4裏 99目 25～123局 1試] [0.000055 1表 4裏 103目 26～128局 1試] [0.000052 1表 4裏 107目 27～133局 1試] [0.000049 1表 4裏 111目 28～138局 1試] [0.000047 1表 4裏 115目 29～143局 1試] [0.000044 1表 4裏 119目 30～148局 1試] [0.000042 1表 4裏 123目 31～153局 1試] [0.000040 1表 4裏 127目 32～158局 1試] [0.000038 1表 4裏 131目 33～163局 1試] [0.000037 1表 4裏 135目 34～168局 1試] [0.000035 1表 4裏 139目 35～173局 1試] [0.000034 1表 4裏 143目 36～178局 1試] [0.000032 1表 4裏 147目 37～183局 1試] [0.000031 1表 4裏 151目 38～188局 1試] [0.000030 1表 4裏 155目 39～193局 1試] [0.000029 1表 4裏 159目 40～198局 1試] [0.000028 1表 4裏 163目 41～203局 1試] [0.000027 1表 4裏 167目 42～208局 1試] [0.000026 1表 4裏 171目 43～213局 1試] [0.000025 1表 4裏 175目 44～218局 1試] [0.000024 1表 4裏 179目 45～223局 1試] [0.000023 1表 4裏 183目 46～228局 1試] [0.000022 1表 4裏 187目 47～233局 1試] [0.000022 1表 4裏 191目 48～238局 1試] [0.000021 1表 4裏 195目 49～243局 1試] [0.000020 1表 4裏 199目 50～248局 1試] [0.000020 1表 4裏 203目 51～253局 1試] [0.000019 1表 4裏 207目 52～258局 1試] [0.000019 1表 4裏 211目 53～263局 1試] [0.000018 1表 4裏 215目 54～268局 1試] [0.000018 1表 4裏 219目 55～273局 1試] [0.000017 1表 4裏 223目 56～278局 1試] [0.000017 1表 4裏 227目 57～283局 1試] [0.000016 1表 4裏 231目 58～288局 1試] [0.000016 1表 4裏 235目 59～293局 1試] [0.000015 1表 4裏 239目 60～298局 1試] [0.000015 1表 4裏 243目 61～303局 1試] [0.000015 1表 4裏 247目 62～308局 1試] [0.000014 1表 4裏 251目 63～313局 1試]
0.81,0.0,frozen,1,0.4994823277397315,-0.0005176722602684,1,4,16,0.9054180000000001,0.40541800000000006,142,234,259, [0.310000 1表 1裏 1目 1～1局 1試] [0.156100 1表 2裏 2目 1～2局 1試] [0.031441 1表 3裏 3目 1～3局 1試] [-0.013760 1表 4裏 12目 3～14局 1試] [-0.000518 1表 4裏 16目 4～19局 1試]
0.82,0.0,frozen,1,0.5007044052787917,0.0007044052787916,2,9,197,0.9144639999999999,0.41446399999999994,137,234,259, [0.320000 1表 1裏 1目 1～1局 1試] [0.172400 1表 2裏 2目 1～2局 1試] [0.051368 1表 3裏 3目 1～3局 1試] [-0.047878 1表 4裏 4目 1～4局 1試] [-0.001230 1表 4裏 8目 2～9局 1試] [0.000990 2表 9裏 115目 13～70局 1試] [0.000704 2表 9裏 197目 22～120局 1試]
0.83,0.0,frozen,1,0.5000684047916565,6.84047916564845e-05,1,5,111,0.7972997928,0.29729979279999996,83,234,259, [0.330000 1表 1裏 1目 1～1局 1試] [0.188900 1表 2裏 2目 1～2局 1試] [0.071787 1表 3裏 3目 1～3局 1試] [-0.025417 1表 4裏 4目 1～4局 1試] [0.018108 1表 5裏 13目 3～15局 1試] [0.010316 1表 5裏 18目 4～21局 1試] [0.004823 1表 5裏 23目 5～27局 1試] [0.000550 1表 5裏 28目 6～33局 1試] [0.000068 1表 5裏 111目 22～133局 1試]
0.84,0.0,frozen,1,0.5017214051351881,0.0017214051351881,2,11,144,0.9313919999999999,0.4313919999999999,156,234,259, [0.340000 1表 1裏 1目 1～1局 1試] [0.205600 1表 2裏 2目 1～2局 1試] [0.092704 1表 3裏 3目 1～3局 1試] [-0.002129 1表 4裏 4目 1～4局 1試] [0.002122 2表 11裏 101目 9～60局 1試] [0.001721 2表 11裏 144目 13～85局 1試]
0.85,0.0,frozen,1,0.5021987408953525,0.0021987408953525,2,11,143,0.83521,0.33521,67,234,259, [0.350000 1表 1裏 1目 1～1局 1試] [0.222500 1表 2裏 2目 1～2局 1試] [0.114125 1表 3裏 3目 1～3局 1試] [0.022006 1表 4裏 4目 1～4局 1試] [-0.007814 1表 5裏 10目 2～11局 1試] [0.004879 1表 6裏 21目 4～24局 1試] [0.003246 1表 6裏 38目 6～44局 1試] [0.002578 1表 6裏 55目 9～64局 1試] [0.002199 2表 11裏 143目 13～84局 1試]
0.86,0.0,frozen,1,0.5001901199458543,0.0001901199458542,1,6,72,0.90319952,0.40319952000000003,91,234,259, [0.360000 1表 1裏 1目 1～1局 1試] [0.239600 1表 2裏 2目 1～2局 1試] [0.136056 1表 3裏 3目 1～3局 1試] [0.047008 1表 4裏 4目 1～4局 1試] [-0.029573 1表 5裏 5目 1～5局 1試] [-0.016589 1表 6裏 11目 2～12局 1試] [-0.008852 1表 6裏 17目 3～19局 1試] [-0.003437 1表 6裏 23目 4～26局 1試] [0.000754 1表 6裏 29目 5～33局 1試] [0.000190 1表 6裏 72目 12～83局 1試]
0.87,0.0,frozen,1,0.4993353078034774,-0.0006646921965225,1,7,45,0.9153191699999998,0.41531916999999985,118,234,259, [0.370000 1表 1裏 1目 1～1局 1試] [0.256900 1表 2裏 2目 1～2局 1試] [0.158503 1表 3裏 3目 1～3局 1試] [0.072898 1表 4裏 4目 1～4局 1試] [-0.001579 1表 5裏 5目 1～5局 1試] [-0.000665 1表 7裏 45目 6～51局 1試]
0.88,0.0,frozen,1,0.49875230841470003,-0.0012476915852999704,2,15,259,0.49875230841470003,-0.0012476915852999704,2,15,259, [0.380000 1表 1裏 1目 1～1局 1試] [0.274400 1表 2裏 2目 1～2局 1試] [0.181472 1表 3裏 3目 1～3局 1試] [0.099695 1表 4裏 4目 1～4局 1試] [0.027732 1表 5裏 5目 1～5局 1試] [0.026238 1表 6裏 12目 2～13局 1試] [-0.014136 1表 7裏 13目 2～14局 1試] [-0.001737 1表 7裏 20目 3～22局 1試] [-0.001630 2表 15裏 127目 8～72局 1試] [-0.001471 2表 15裏 171目 11～97局 1試] [-0.001347 2表 15裏 215目 14～122局 1試] [-0.001248 2表 15裏 259目 17～147局 1試]
0.89,0.0,frozen,1,0.5000591845065364,5.918450653641383e-05,1,8,208,0.966362,0.46636200000000005,176,233,259, [0.390000 1表 1裏 1目 1～1局 1試] [0.292100 1表 2裏 2目 1～2局 1試] [0.204969 1表 3裏 3目 1～3局 1試] [0.127422 1表 4裏 4目 1～4局 1試] [0.058406 1表 5裏 5目 1～5局 1試] [-0.003019 1表 6裏 6目 1～6局 1試] [-0.000837 1表 8裏 22目 3～24局 1試] [0.000137 1表 8裏 119目 15～133局 1試] [0.000059 1表 8裏 208目 26～233局 1試]
0.9,0.0,frozen,1,0.5027219178959443,0.002721917895944337,1,9,249,0.001114620547538971,-0.49888537945246103,3,176,256, [0.400000 1表 1裏 1目 1～1局 1試] [0.310000 1表 2裏 2目 1～2局 1試] [0.229000 1表 3裏 3目 1～3局 1試] [0.156100 1表 4裏 4目 1～4局 1試] [0.090490 1表 5裏 5目 1～5局 1試] [0.031441 1表 6裏 6目 1～6局 1試] [-0.021703 1表 7裏 7目 1～7局 1試] [0.014728 1表 8裏 15目 2～16局 1試] [0.010505 1表 8裏 24目 3～26局 1試] [0.008511 1表 9裏 33目 4～36局 1試] [0.007317 1表 9裏 42目 5～46局 1試] [0.006507 1表 9裏 51目 6～56局 1試] [0.005913 1表 9裏 60目 7～66局 1試] [0.005455 1表 9裏 69目 8～76局 1試] [0.005088 1表 9裏 78目 9～86局 1試] [0.004785 1表 9裏 87目 10～96局 1試] [0.004531 1表 9裏 96目 11～106局 1試] [0.004312 1表 9裏 105目 12～116局 1試] [0.004123 1表 9裏 114目 13～126局 1試] [0.003956 1表 9裏 123目 14～136局 1試] [0.003808 1表 9裏 132目 15～146局 1試] [0.003675 1表 9裏 141目 16～156局 1試] [0.003556 1表 9裏 150目 17～166局 1試] [0.003447 1表 9裏 159目 18～176局 1試] [0.003347 1表 9裏 168目 19～186局 1試] [0.003256 1表 9裏 177目 20～196局 1試] [0.003172 1表 9裏 186目 21～206局 1試] [0.003094 1表 9裏 195目 22～216局 1試] [0.003021 1表 9裏 204目 23～226局 1試] [0.002953 1表 9裏 213目 24～236局 1試] [0.002890 1表 9裏 222目 25～246局 1試] [0.002831 1表 9裏 231目 26～256局 1試] [0.002775 1表 9裏 240目 27～266局 1試] [0.002722 1表 9裏 249目 28～276局 1試]
0.91,0.0,frozen,1,0.4998303688217843,-0.0001696311782157,1,10,88,0.8423204615524154,0.34232046155241536,42,234,259, [0.410000 1表 1裏 1目 1～1局 1試] [0.328100 1表 2裏 2目 1～2局 1試] [0.253571 1表 3裏 3目 1～3局 1試] [0.185750 1表 4裏 4目 1～4局 1試] [0.124032 1表 5裏 5目 1～5局 1試] [0.067869 1表 6裏 6目 1～6局 1試] [0.016761 1表 7裏 7目 1～7局 1試] [0.009125 1表 9裏 17目 2～18局 1試] [0.008725 1表 9裏 27目 3～29局 1試] [-0.007639 1表 10裏 48目 5～52局 1試] [-0.005295 1表 10裏 58目 6～63局 1試] [-0.003338 1表 10裏 68目 7～74局 1試] [-0.001653 1表 10裏 78目 8～85局 1試] [-0.000170 1表 10裏 88目 9～96局 1試]
0.92,0.0,frozen,1,0.5001389662226435,0.0001389662226435,1,12,169,0.9818239999999999,0.4818239999999999,223,233,259, [0.420000 1表 1裏 1目 1～1局 1試] [0.346400 1表 2裏 2目 1～2局 1試] [0.278688 1表 3裏 3目 1～3局 1試] [0.216393 1表 4裏 4目 1～4局 1試] [0.159082 1表 5裏 5目 1～5局 1試] [0.106355 1表 6裏 6目 1～6局 1試] [0.057847 1表 7裏 7目 1～7局 1試] [0.013219 1表 8裏 8目 1～8局 1試] [-0.009397 1表 10裏 20目 2～21局 1試] [0.001801 1表 11裏 31目 3～33局 1試] [0.000778 1表 11裏 54目 5～58局 1試] [0.000455 1表 11裏 77目 7～83局 1試] [0.000307 1表 12裏 100目 8～108局 1試] [0.000224 1表 12裏 123目 10～133局 1試] [0.000173 1表 12裏 146目 12～158局 1試] [0.000139 1表 12裏 169目 14～183局 1試]
0.93,0.0,frozen,1,0.4994075901601195,-0.0005924098398804,1,13,182,0.985986,0.48598600000000003,180,233,259, [0.430000 1表 1裏 1目 1～1局 1試] [0.364900 1表 2裏 2目 1～2局 1試] [0.304357 1表 3裏 3目 1～3局 1試] [0.248052 1表 4裏 4目 1～4局 1試] [0.195688 1表 5裏 5目 1～5局 1試] [0.146990 1表 6裏 6目 1～6局 1試] [0.101701 1表 7裏 7目 1～7局 1試] [0.059582 1表 8裏 8目 1～8局 1試] [0.020411 1表 9裏 9目 1～9局 1試] [-0.016018 1表 10裏 10目 1～10局 1試] [0.014587 1表 11裏 22目 2～23局 1試] [-0.008246 1表 12裏 23目 2～24局 1試] [-0.002454 1表 12裏 36目 3～38局 1試] [0.001847 1表 13裏 49目 4～52局 1試] [-0.000616 1表 13裏 89目 7～95局 1試] [-0.000592 1表 13裏 182目 14～195局 1試]
0.94,0.0,frozen,1,0.5008575764731539,0.000857576473153876,1,16,230,0.9896320000000001,0.48963200000000007,222,223,259, [0.440000 1表 1裏 1目 1～1局 1試] [0.383600 1表 2裏 2目 1～2局 1試] [0.330584 1表 3裏 3目 1～3局 1試] [0.280749 1表 4裏 4目 1～4局 1試] [0.233904 1表 5裏 5目 1～5局 1試] [0.189870 1表 6裏 6目 1～6局 1試] [0.148478 1表 7裏 7目 1～7局 1試] [0.109569 1表 8裏 8目 1～8局 1試] [0.072995 1表 9裏 9目 1～9局 1試] [0.038615 1表 10裏 10目 1～10局 1試] [0.006298 1表 11裏 11目 1～11局 1試] [0.003512 1表 14裏 42目 3～44局 1試] [-0.001760 1表 15裏 58目 4～61局 1試] [0.001743 1表 15裏 89目 6～94局 1試] [-0.001675 1表 15裏 105目 7～111局 1試] [0.001243 1表 16裏 136目 9～144局 1試] [0.001002 1表 16裏 183目 11～194局 1試] [0.000858 1表 16裏 230目 14～244局 1試]
0.95,0.0,frozen,1,0.5001746525030858,0.0001746525030857926,1,19,241,0.7735226201554779,0.2735226201554779,16,224,257, [0.450000 1表 1裏 1目 1～1局 1試] [0.402500 1表 2裏 2目 1～2局 1試] [0.357375 1表 3裏 3目 1～3局 1試] [0.314506 1表 4裏 4目 1～4局 1試] [0.273781 1表 5裏 5目 1～5局 1試] [0.235092 1表 6裏 6目 1～6局 1試] [0.198337 1表 7裏 7目 1～7局 1試] [0.163420 1表 8裏 8目 1～8局 1試] [0.130249 1表 9裏 9目 1～9局 1試] [0.098737 1表 10裏 10目 1～10局 1試] [0.068800 1表 11裏 11目 1～11局 1試] [0.040360 1表 12裏 12目 1～12局 1試] [0.013342 1表 13裏 13目 1～13局 1試] [-0.012325 1表 14裏 14目 1～14局 1試] [0.003650 1表 16裏 32目 2～33局 1試] [0.001816 1表 17裏 51目 3～53局 1試] [0.001127 1表 18裏 70目 4～73局 1試] [0.000784 1表 18裏 89目 5～93局 1試] [0.000586 1表 18裏 108目 6～113局 1試] [0.000459 1表 19裏 127目 7～133局 1試] [0.000372 1表 19裏 146目 8～153局 1試] [0.000309 1表 19裏 165目 9～173局 1試] [0.000262 1表 19裏 184目 10～193局 1試] [0.000226 1表 19裏 203目 11～213局 1試] [0.000198 1表 19裏 222目 12～233局 1試] [0.000175 1表 19裏 241目 13～253局 1試]
