p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.68,0.0,frozen,2000,0.4995,-0.0005000000000000004,2,4,15,0.4995,-0.0005000000000000004,2,4,15, [0.190500 1表 1裏 1目 1～1局 2000試] [-0.041500 1表 2裏 2目 1～2局 2000試] [-0.040000 2表 3裏 3目 1～2局 2000試] [-0.009000 1表 2裏 4目 2～5局 2000試] [-0.001000 2表 4裏 7目 2～5局 2000試] [-0.000500 2表 4裏 15目 4～11局 2000試]
0.69,0.0,frozen,2000,0.4995,-0.0005000000000000004,1,2,4,0.4995,-0.0005000000000000004,1,2,4, [0.191000 1表 1裏 1目 1～1局 2000試] [-0.015000 1表 2裏 2目 1～2局 2000試] [-0.000500 1表 2裏 4目 2～5局 2000試]
0.7,0.0,frozen,2000,0.4995,-0.0005000000000000004,6,7,7,0.4995,-0.0005000000000000004,6,7,7, [0.219000 1表 1裏 1目 1～1局 2000試] [0.003500 1表 2裏 2目 1～2局 2000試] [-0.003000 3表 4裏 4目 1～2局 2000試] [-0.000500 6表 7裏 7目 1～2局 2000試]
0.71,0.0,frozen,2000,0.4995,-0.0005000000000000004,3,6,6,0.4995,-0.0005000000000000004,3,6,6, [0.213500 1表 1裏 1目 1～1局 2000試] [-0.014500 1表 2裏 2目 1～2局 2000試] [-0.010500 2表 3裏 3目 1～2局 2000試] [-0.004500 2表 4裏 4目 1～2局 2000試] [-0.000500 3表 6裏 6目 1～2局 2000試]
0.72,0.0,frozen,2000,0.5005,0.0004999999999999449,8,14,14,0.5005,0.0004999999999999449,8,14,14, [0.227500 1表 1裏 1目 1～1局 2000試] [0.001500 1表 2裏 2目 1～2局 2000試] [0.000500 8表 14裏 14目 1～2局 2000試]
0.73,0.0,frozen,2000,0.5,0.0,4,9,17,0.5,0.0,4,9,17, [0.219500 1表 1裏 1目 1～1局 2000試] [0.016000 1表 2裏 2目 1～2局 2000試] [-0.004000 1表 3裏 5目 2～6局 2000試] [-0.003500 2表 7裏 9目 1～6局 2000試] [0.003500 2表 5裏 10目 2～6局 2000試] [-0.002500 2表 9裏 10目 1～6局 2000試] [-0.001500 3表 12裏 15目 1～6局 2000試] [0.000000 4表 9裏 17目 2～6局 2000試]
0.74,0.0,frozen,2000,0.5,0.0,2,6,9,0.5,0.0,2,6,9, [0.253500 1表 1裏 1目 1～1局 2000試] [0.053500 1表 2裏 2目 1～2局 2000試] [0.039500 2表 3裏 3目 1～2局 2000試] [0.033500 2表 4裏 4目 1～2局 2000試] [-0.005500 1表 3裏 5目 2～6局 2000試] [0.000000 2表 6裏 9目 2～6局 2000試]
0.75,0.0,frozen,2000,0.5,0.0,6,13,26,0.5,0.0,6,13,26, [0.256000 1表 1裏 1目 1～1局 2000試] [0.070000 1表 2裏 2目 1～2局 2000試] [0.060000 2表 3裏 3目 1～2局 2000試] [0.048500 2表 4裏 4目 1～2局 2000試] [0.044500 1表 3裏 5目 2～6局 2000試] [0.033500 1表 4裏 5目 1～6局 2000試] [0.024500 2表 5裏 9目 2～6局 2000試] [0.011500 2表 7裏 10目 1～6局 2000試] [0.008500 2表 6裏 16目 3～10局 2000試] [0.003500 5表 19裏 25目 1～6局 2000試] [0.000000 6表 13裏 26目 2～6局 2000試]
0.76,0.0,frozen,2000,0.5005,0.0004999999999999449,2,7,23,0.5005,0.0004999999999999449,2,7,23, [0.277500 1表 1裏 1目 1～1局 2000試] [0.070000 1表 2裏 2目 1～2局 2000試] [-0.046500 1表 3裏 3目 1～3局 2000試] [-0.014500 1表 4裏 6目 2～7局 2000試] [-0.011500 1表 3裏 9目 3～11局 2000試] [-0.010000 1表 4裏 9目 2～11局 2000試] [-0.007000 2表 8裏 11目 1～7局 2000試] [0.004000 1表 3裏 12目 4～15局 2000試] [-0.003500 4表 21裏 22目 1～7局 2000試] [0.000500 2表 7裏 23目 3～15局 2000試]
0.77,0.0,frozen,2000,0.5005,0.0004999999999999449,3,15,16,0.5005,0.0004999999999999449,3,15,16, [0.269000 1表 1裏 1目 1～1局 2000試] [0.099000 1表 2裏 2目 1～2局 2000試] [-0.048500 1表 3裏 3目 1～3局 2000試] [-0.014000 1表 3裏 6目 2～7局 2000試] [-0.005500 1表 5裏 6目 1～7局 2000試] [-0.001500 2表 7裏 11目 2～7局 2000試] [0.001500 2表 9裏 12目 1～7局 2000試] [0.000500 3表 15裏 16目 1～7局 2000試]
