p,best_p,best_p_error,best_number_of_series,best_b_step,best_w_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_b_step,latest_w_step,latest_span,process
0.5,0.5,0.0,2000000,1,1,1,0.5,0.0,2000000,1,1,1,[0.000000 1表 1裏 1目 1～1局]
0.51,0.51,0.01,2000000,1,1,1,0.51,0.01,2000000,10,49,205,[0.010000 1表 1裏 1目 1～1局]
0.52,0.4978584687556193,-0.0021415312443807,2000000,6,7,78,0.4978584687556193,-0.0021415312443807,2000000,20,48,205,[0.020000 1表 1裏 1目 1～1局] [-0.016557 5表 6裏 55目 10～20局] [-0.009016 6表 7裏 71目 11～22局] [-0.002142 6表 7裏 78目 12～24局]
0.53,0.5000223242543498,2.232425434978147e-05,2000000,6,7,106,0.5000223242543498,2.232425434978147e-05,2000000,6,7,106,[0.030000 1表 1裏 1目 1～1局] [-0.029653 3表 4裏 21目 6～12局] [-0.014777 4表 5裏 31目 7～14局] [-0.001922 4表 5裏 36目 8～16局] [0.000022 6表 7裏 106目 16～33局]
0.54,0.49933486910145836,-0.0006651308985416438,2000000,5,6,169,0.49933486910145836,-0.0006651308985416438,2000000,21,47,205,[0.040000 1表 1裏 1目 1～1局] [-0.021557 3表 4裏 17目 5～10局] [-0.001395 3表 4裏 21目 6～12局] [-0.000665 5表 6裏 169目 29～62局]
0.55,0.5016077071568809,0.0016077071568808554,2000000,4,5,156,0.5016077071568809,0.0016077071568808554,2000000,9,46,205,[0.050000 1表 1裏 1目 1～1局] [-0.023044 2表 3裏 10目 4～8局] [0.004405 3表 4裏 17目 5～10局] [0.002476 4表 5裏 66目 14～30局] [0.001907 4表 5裏 111目 23～50局] [0.001608 4表 5裏 156目 32～70局]
0.56,0.500045332367807,4.5332367807016105e-05,2000000,3,4,57,0.500045332367807,4.5332367807016105e-05,2000000,3,4,57,[0.060000 1表 1裏 1目 1～1局] [-0.038172 2表 3裏 7目 3～6局] [0.000364 2表 3裏 10目 4～8局] [0.000045 3表 4裏 57目 15～33局]
0.57,0.5003551519323137,0.0003551519323137242,2000000,3,4,109,0.5003551519323137,0.0003551519323137242,2000000,41,43,205,[0.070000 1表 1裏 1目 1～1局] [-0.017696 2表 3裏 7目 3～6局] [-0.014588 2表 3裏 16目 6～13局] [-0.013644 3表 4裏 34目 9～20局] [0.010931 3表 4裏 37目 10～22局] [0.008020 3表 4裏 49目 13～29局] [0.005852 3表 4裏 61目 16～36局] [0.004124 3表 4裏 73目 19～43局] [0.002683 3表 4裏 85目 22～50局] [0.001445 3表 4裏 97目 25～57局] [0.000355 3表 4裏 109目 28～64局]
0.58,0.5007469214501866,0.0007469214501866217,2000000,5,7,162,0.5007469214501866,0.0007469214501866217,2000000,15,46,205,[0.080000 1表 1裏 1目 1～1局] [-0.059047 1表 2裏 3目 2～4局] [0.002905 2表 3裏 7目 3～6局] [-0.001716 3表 4裏 64目 16～37局] [0.000747 5表 7裏 162目 24～56局]
0.59,0.5000697711987205,6.977119872053628e-05,2000000,2,3,40,0.5000697711987205,6.977119872053628e-05,2000000,2,3,40,[0.090000 1表 1裏 1目 1～1局] [-0.042005 1表 2裏 3目 2～4局] [0.023591 2表 3裏 7目 3～6局] [0.005203 2表 3裏 13目 5～11局] [0.000070 2表 3裏 40目 14～33局]
0.6,0.4958325431959249,-0.004167456804075098,2000000,2,3,203,0.4958325431959249,-0.004167456804075098,2000000,19,34,205,[0.100000 1表 1裏 1目 1～1局] [-0.024800 1表 2裏 3目 2～4局] [-0.017390 2表 3裏 11目 4～9局] [-0.014145 2表 3裏 17目 6～14局] [-0.012225 2表 3裏 23目 8～19局] [-0.010920 2表 3裏 29目 10～24局] [-0.009959 2表 3裏 35目 12～29局] [-0.009215 2表 3裏 41目 14～34局] [-0.008615 2表 3裏 47目 16～39局] [-0.008119 2表 3裏 53目 18～44局] [-0.007700 2表 3裏 59目 20～49局] [-0.007340 2表 3裏 65目 22～54局] [-0.007026 2表 3裏 71目 24～59局] [-0.006749 2表 3裏 77目 26～64局] [-0.006503 2表 3裏 83目 28～69局] [-0.006281 2表 3裏 89目 30～74局] [-0.006081 2表 3裏 95目 32～79局] [-0.005899 2表 3裏 101目 34～84局] [-0.005732 2表 3裏 107目 36～89局] [-0.005579 2表 3裏 113目 38～94局] [-0.005437 2表 3裏 119目 40～99局] [-0.005306 2表 3裏 125目 42～104局] [-0.005183 2表 3裏 131目 44～109局] [-0.005069 2表 3裏 137目 46～114局] [-0.004962 2表 3裏 143目 48～119局] [-0.004862 2表 3裏 149目 50～124局] [-0.004767 2表 3裏 155目 52～129局] [-0.004678 2表 3裏 161目 54～134局] [-0.004593 2表 3裏 167目 56～139局] [-0.004513 2表 3裏 173目 58～144局] [-0.004437 2表 3裏 179目 60～149局] [-0.004365 2表 3裏 185目 62～154局] [-0.004296 2表 3裏 191目 64～159局] [-0.004230 2表 3裏 197目 66～164局] [-0.004167 2表 3裏 203目 68～169局]
0.61,0.5011637731652024,0.0011637731652024,2000000,2,3,33,0.5011637731652024,0.0011637731652024,2000000,32,46,205,[0.110000 1表 1裏 1目 1～1局] [-0.007451 1表 2裏 3目 2～4局] [-0.007370 2表 3裏 27目 9～22局] [0.001164 2表 3裏 33目 11～27局]
0.62,0.5000243539662751,2.4353966275092453e-05,2000000,3,5,156,0.5000243539662751,2.4353966275092453e-05,2000000,3,5,156,[0.120000 1表 1裏 1目 1～1局] [-0.115600 1表 2裏 2目 1～2局] [0.010022 1表 2裏 3目 2～4局] [-0.004281 2表 3裏 15目 5～12局] [0.000097 3表 5裏 61目 13～33局] [0.000024 3表 5裏 156目 32～83局]
0.63,0.5004982952846722,0.0004982952846721,2000000,3,5,79,0.5004982952846722,0.0004982952846721,2000000,32,45,205,[0.130000 1表 1裏 1目 1～1局] [-0.103100 1表 2裏 2目 1～2局] [0.027599 1表 2裏 3目 2～4局] [-0.013359 1表 2裏 5目 3～7局] [-0.001073 3表 5裏 28目 6～15局] [0.000498 3表 5裏 79目 16～42局]
0.64,0.49872323102063454,-0.0012767689793654613,2000000,4,7,181,0.49872323102063454,-0.0012767689793654613,2000000,14,45,205,[0.140000 1表 1裏 1目 1～1局] [-0.090400 1表 2裏 2目 1～2局] [0.045260 1表 2裏 3目 2～4局] [0.009383 1表 2裏 5目 3～7局] [-0.002182 3表 5裏 40目 8～21局] [-0.001560 4表 7裏 117目 17～46局] [-0.001277 4表 7裏 181目 26～71局]
