p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.66,0.0,0.4991710436276079,-0.000828956372392,2000000.0,1.0,2.0,23.0,0.731808,0.23180800000000001,2000000.0,38.0,47.0,49.0,[0.160000 1表 1裏 1目 1～1局] [-0.064400 1表 2裏 2目 1～2局] [-0.052196 1表 2裏 4目 2～5局] [-0.048081 1表 2裏 6目 3～8局] [0.041061 1表 2裏 7目 4～10局] [0.031382 1表 2裏 9目 5～13局] [0.024088 1表 2裏 11目 6～16局] [0.018242 1表 2裏 13目 7～19局] [0.013359 1表 2裏 15目 8～22局] [0.009158 1表 2裏 17目 9～25局] [0.005465 1表 2裏 19目 10～28局] [0.002163 1表 2裏 21目 11～31局] [-0.000829 1表 2裏 23目 12～34局]
0.67,0.0,0.4996577100431639,-0.0003422899568361,2000000.0,1.0,2.0,22.0,0.5985183700000001,0.09851837000000008,2000000.0,17.0,48.0,49.0,[0.170000 1表 1裏 1目 1～1局] [-0.051100 1表 2裏 2目 1～2局] [-0.032494 1表 2裏 4目 2～5局] [-0.023565 1表 2裏 6目 3～8局] [-0.017882 1表 2裏 8目 4～11局] [-0.013758 1表 2裏 10目 5～14局] [-0.010531 1表 2裏 12目 6～17局] [-0.007878 1表 2裏 14目 7～20局] [-0.005624 1表 2裏 16目 8～23局] [-0.003659 1表 2裏 18目 9～26局] [-0.001914 1表 2裏 20目 10～29局] [-0.000342 1表 2裏 22目 11～32局]
0.68,0.0,0.5012976838967297,0.0012976838967296,2000000.0,1.0,2.0,6.0,0.847899071162992,0.347899071162992,2000000.0,8.0,9.0,50.0,[0.180000 1表 1裏 1目 1～1局] [-0.037600 1表 2裏 2目 1～2局] [-0.012505 1表 2裏 4目 2～5局] [0.001298 1表 2裏 6目 3～8局]
0.69,0.0,0.497055182546871,-0.0029448174531289,2000000.0,2.0,5.0,26.0,0.11073280025158826,-0.38926719974841173,2000000.0,2.0,8.0,50.0,[0.190000 1表 1裏 1目 1～1局] [-0.023900 1表 2裏 2目 1～2局] [0.007744 1表 2裏 4目 2～5局] [-0.002945 2表 5裏 26目 6～18局]
0.7,0.0,0.4950776801436088,-0.0049223198563911,2000000.0,2.0,5.0,46.0,0.9597230639457454,0.45972306394574536,2000000.0,6.0,6.0,50.0,[0.200000 1表 1裏 1目 1～1局] [-0.010000 1表 2裏 2目 1～2局] [-0.007484 2表 5裏 17目 4～12局] [-0.005824 2表 5裏 31目 7～22局] [-0.004922 2表 5裏 46目 10～32局]
0.71,0.0,0.5002041517924759,0.00020415179247590398,2000000.0,2.0,5.0,47.0,0.22707849038995628,-0.2729215096100437,2000000.0,3.0,10.0,50.0,[0.210000 1表 1裏 1目 1～1局] [0.004100 1表 2裏 2目 1～2局] [0.000204 2表 5裏 47目 10～33局]
0.72,0.0,0.5025708811145396,0.0025708811145396,2000000.0,2.0,5.0,39.0,0.7780490885758797,0.27804908857587973,2000000.0,5.0,9.0,50.0,[0.220000 1表 1裏 1目 1～1局] [0.018400 1表 2裏 2目 1～2局] [0.017098 1表 3裏 7目 3～9局] [-0.015485 1表 3裏 10目 4～13局] [-0.004819 2表 5裏 29目 6～20局] [0.002571 2表 5裏 39目 8～27局]
0.73,0.0,0.4977412163690147,-0.0022587836309852,2000000.0,1.0,3.0,13.0,0.9183352912639061,0.4183352912639061,2000000.0,6.0,8.0,50.0,[0.230000 1表 1裏 1目 1～1局] [0.032900 1表 2裏 2目 1～2局] [-0.012828 1表 3裏 5目 2～6局] [-0.002259 1表 3裏 13目 5～17局]
0.74,0.0,0.5002568101263052,0.0002568101263051,2000000.0,1.0,3.0,25.0,0.14652676631776634,-0.35347323368223366,2000000.0,1.0,4.0,50.0,[0.240000 1表 1裏 1目 1～1局] [0.047600 1表 2裏 2目 1～2局] [0.010372 1表 3裏 5目 2～6局] [-0.004220 1表 3裏 8目 3～10局] [0.000257 1表 3裏 25目 9～33局]
0.75,0.0,0.5098439085344268,0.009843908534426848,2000000.0,1.0,3.0,47.0,0.84375,0.34375,2000000.0,27.0,45.0,49.0,[0.250000 1表 1裏 1目 1～1局] [0.062500 1表 2裏 2目 1～2局] [0.033936 1表 3裏 5目 2～6局] [0.025593 1表 3裏 8目 3～10局] [0.021340 1表 3裏 11目 4～14局] [0.018669 1表 3裏 14目 5～18局] [0.016797 1表 3裏 17目 6～22局] [0.015393 1表 3裏 20目 7～26局] [0.014290 1表 3裏 23目 8～30局] [0.013394 1表 3裏 26目 9～34局] [0.012647 1表 3裏 29目 10～38局] [0.012013 1表 3裏 32目 11～42局] [0.011465 1表 3裏 35目 12～46局] [0.010986 1表 3裏 38目 13～50局] [0.010562 1表 3裏 41目 14～54局] [0.010184 1表 3裏 44目 15～58局] [0.009844 1表 3裏 47目 16～62局]
0.76,0.0,0.4977615802718927,-0.0022384197281072,2000000.0,1.0,3.0,12.0,0.06428888932339942,-0.43571111067660057,2000000.0,5.0,49.0,49.0,[0.260000 1表 1裏 1目 1～1局] [0.077600 1表 2裏 2目 1～2局] [-0.061024 1表 3裏 3目 1～3局] [0.057816 1表 3裏 5目 2～6局] [-0.029812 1表 3裏 6目 2～7局] [-0.013435 1表 3裏 9目 3～11局] [-0.002238 1表 3裏 12目 4～15局]
0.77,0.0,0.4985693760719484,-0.0014306239280515,2000000.0,2.0,7.0,31.0,0.5929,0.09289999999999998,2000000.0,48.0,49.0,49.0,[0.270000 1表 1裏 1目 1～1局] [0.092900 1表 2裏 2目 1～2局] [-0.043467 1表 3裏 3目 1～3局] [-0.003955 1表 3裏 6目 2～7局] [-0.001431 2表 7裏 31目 5～20局]
0.78,0.0,0.49923580169668386,-0.0007641983033161437,2000000.0,2.0,7.0,47.0,0.3701505600000001,-0.12984943999999993,2000000.0,15.0,49.0,49.0,[0.280000 1表 1裏 1目 1～1局] [0.108400 1表 2裏 2目 1～2局] [-0.025448 1表 3裏 3目 1～3局] [0.022463 1表 3裏 6目 2～7局] [-0.011357 1表 4裏 10目 3～12局] [-0.004904 1表 4裏 17目 5～21局] [-0.000764 2表 7裏 47目 7～30局]
0.79,0.0,0.4982392507946849,-0.0017607492053151,2000000.0,1.0,4.0,33.0,0.6241000000000001,0.1241000000000001,2000000.0,33.0,49.0,49.0,[0.290000 1表 1裏 1目 1～1局] [0.124100 1表 2裏 2目 1～2局] [-0.006961 1表 3裏 3目 1～3局] [-0.004165 1表 4裏 18目 5～22局] [-0.001761 1表 4裏 33目 9～41局]
0.8,0.0,0.5001799025489645,0.00017990254896449454,2000000.0,1.0,4.0,47.0,0.00019267843851530507,-0.4998073215614847,2000000.0,1.0,47.0,49.0,[0.300000 1表 1裏 1目 1～1局] [0.140000 1表 2裏 2目 1～2局] [0.012000 1表 3裏 3目 1～3局] [0.003316 1表 4裏 7目 2～8局] [0.001652 1表 4裏 11目 3～13局] [0.001025 1表 4裏 15目 4～18局] [0.000714 1表 4裏 19目 5～23局] [0.000533 1表 4裏 23目 6～28局] [0.000417 1表 4裏 27目 7～33局] [0.000338 1表 4裏 31目 8～38局] [0.000281 1表 4裏 35目 9～43局] [0.000239 1表 4裏 39目 10～48局] [0.000206 1表 4裏 43目 11～53局] [0.000180 1表 4裏 47目 12～58局]
0.81,0.0,0.4994823277397315,-0.0005176722602684,2000000.0,1.0,4.0,16.0,0.9054180000000001,0.40541800000000006,2000000.0,47.0,48.0,49.0,[0.310000 1表 1裏 1目 1～1局] [0.156100 1表 2裏 2目 1～2局] [0.031441 1表 3裏 3目 1～3局] [-0.013760 1表 4裏 12目 3～14局] [-0.000518 1表 4裏 16目 4～19局]
0.82,0.0,0.4987703695118139,-0.001229630488186,2000000.0,1.0,4.0,8.0,0.9144639999999999,0.41446399999999994,2000000.0,40.0,48.0,49.0,[0.320000 1表 1裏 1目 1～1局] [0.172400 1表 2裏 2目 1～2局] [0.051368 1表 3裏 3目 1～3局] [-0.047878 1表 4裏 4目 1～4局] [-0.001230 1表 4裏 8目 2～9局]
0.83,0.0,0.5005499840892489,0.0005499840892488,2000000.0,1.0,5.0,28.0,0.923126,0.423126,2000000.0,34.0,47.0,49.0,[0.330000 1表 1裏 1目 1～1局] [0.188900 1表 2裏 2目 1～2局] [0.071787 1表 3裏 3目 1～3局] [-0.025417 1表 4裏 4目 1～4局] [0.018108 1表 5裏 13目 3～15局] [0.010316 1表 5裏 18目 4～21局] [0.004823 1表 5裏 23目 5～27局] [0.000550 1表 5裏 28目 6～33局]
0.84,0.0,0.4978713599999999,-0.00212864,2000000.0,1.0,4.0,4.0,0.4182119423999999,-0.08178805760000007,2000000.0,11.0,49.0,49.0,[0.340000 1表 1裏 1目 1～1局] [0.205600 1表 2裏 2目 1～2局] [0.092704 1表 3裏 3目 1～3局] [-0.002129 1表 4裏 4目 1～4局]
0.85,0.0,0.503245884019917,0.0032458840199169,2000000.0,1.0,6.0,38.0,0.5442998237655273,0.044299823765527324,2000000.0,6.0,47.0,49.0,[0.350000 1表 1裏 1目 1～1局] [0.222500 1表 2裏 2目 1～2局] [0.114125 1表 3裏 3目 1～3局] [0.022006 1表 4裏 4目 1～4局] [-0.007814 1表 5裏 10目 2～11局] [0.004879 1表 6裏 21目 4～24局] [0.003246 1表 6裏 38目 7～44局]
0.86,0.0,0.5007543560788262,0.0007543560788262,2000000.0,1.0,6.0,29.0,0.7997259299199999,0.2997259299199999,2000000.0,11.0,47.0,49.0,[0.360000 1表 1裏 1目 1～1局] [0.239600 1表 2裏 2目 1～2局] [0.136056 1表 3裏 3目 1～3局] [0.047008 1表 4裏 4目 1～4局] [-0.029573 1表 5裏 5目 1～5局] [-0.016589 1表 6裏 11目 2～12局] [-0.008852 1表 6裏 17目 3～19局] [-0.003437 1表 6裏 23目 4～26局] [0.000754 1表 6裏 29目 5～33局]
0.87,0.0,0.4993353078034774,-0.0006646921965225,2000000.0,1.0,7.0,45.0,0.953694,0.45369400000000004,2000000.0,39.0,47.0,49.0,[0.370000 1表 1裏 1目 1～1局] [0.256900 1表 2裏 2目 1～2局] [0.158503 1表 3裏 3目 1～3局] [0.072898 1表 4裏 4目 1～4局] [-0.001579 1表 5裏 5目 1～5局] [-0.000665 1表 7裏 45目 7～51局]
0.88,0.0,0.4982633863317298,-0.0017366136682701,2000000.0,1.0,7.0,20.0,0.8875491328,0.38754913280000003,2000000.0,15.0,47.0,49.0,[0.380000 1表 1裏 1目 1～1局] [0.274400 1表 2裏 2目 1～2局] [0.181472 1表 3裏 3目 1～3局] [0.099695 1表 4裏 4目 1～4局] [0.027732 1表 5裏 5目 1～5局] [0.026238 1表 6裏 12目 2～13局] [-0.014136 1表 7裏 13目 2～14局] [-0.001737 1表 7裏 20目 3～22局]
0.89,0.0,0.4991628668032757,-0.0008371331967242,2000000.0,1.0,8.0,22.0,0.966362,0.46636200000000005,2000000.0,29.0,47.0,49.0,[0.390000 1表 1裏 1目 1～1局] [0.292100 1表 2裏 2目 1～2局] [0.204969 1表 3裏 3目 1～3局] [0.127422 1表 4裏 4目 1～4局] [0.058406 1表 5裏 5目 1～5局] [-0.003019 1表 6裏 6目 1～6局] [-0.000837 1表 8裏 22目 3～24局]
0.9,0.0,0.507317372088292,0.0073173720882919,2000000.0,1.0,9.0,42.0,0.9720000000000001,0.4720000000000001,2000000.0,34.0,45.0,49.0,[0.400000 1表 1裏 1目 1～1局] [0.310000 1表 2裏 2目 1～2局] [0.229000 1表 3裏 3目 1～3局] [0.156100 1表 4裏 4目 1～4局] [0.090490 1表 5裏 5目 1～5局] [0.031441 1表 6裏 6目 1～6局] [-0.021703 1表 7裏 7目 1～7局] [0.014728 1表 8裏 15目 2～16局] [0.010505 1表 8裏 24目 3～26局] [0.008511 1表 9裏 33目 4～36局] [0.007317 1表 9裏 42目 5～46局]
