p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.3,frozen,2000,0.5,0.0,8,9,22,0.5,0.0,8,9,22, [-0.039500 1表 1裏 1目 1～2局 2000試] [-0.039000 1表 1裏 2目 2～5局 2000試] [0.003000 1表 1裏 3目 3～8局 2000試] [-0.001500 1表 1裏 10目 10～28局 2000試] [0.000000 8表 9裏 22目 2～8局 2000試]
0.51,0.3,frozen,2000,0.4995,-0.0005000000000000004,4,4,5,0.4995,-0.0005000000000000004,4,4,5, [-0.038000 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 2目 2～5局 2000試] [-0.020000 2表 2裏 2目 1～2局 2000試] [0.003000 1表 1裏 3目 3～8局 2000試] [-0.000500 4表 4裏 5目 1～5局 2000試]
0.52,0.3,frozen,2000,0.5005,0.0004999999999999449,3,4,5,0.5005,0.0004999999999999449,3,4,5, [-0.024500 1表 1裏 1目 1～2局 2000試] [0.007500 1表 1裏 3目 3～8局 2000試] [0.001000 2表 2裏 3目 2～5局 2000試] [0.000500 3表 4裏 5目 1～5局 2000試]
0.53,0.3,frozen,2000,0.5005,0.0004999999999999449,6,6,6,0.5005,0.0004999999999999449,6,6,6, [-0.013500 1表 1裏 1目 1～2局 2000試] [-0.002500 1表 1裏 3目 3～8局 2000試] [0.000500 6表 6裏 6目 1～2局 2000試]
0.54,0.3,frozen,2000,0.5005,0.0004999999999999449,12,13,16,0.5005,0.0004999999999999449,12,13,16, [0.003500 1表 1裏 1目 1～2局 2000試] [-0.001000 7表 7裏 8目 1～5局 2000試] [0.000500 12表 13裏 16目 1～5局 2000試]
0.55,0.3,frozen,2000,0.4995,-0.0005000000000000004,10,10,10,0.4995,-0.0005000000000000004,10,10,10, [0.014500 1表 1裏 1目 1～2局 2000試] [0.008000 2表 2裏 2目 1～2局 2000試] [0.007000 3表 3裏 3目 1～2局 2000試] [0.002500 4表 4裏 4目 1～2局 2000試] [-0.000500 10表 10裏 10目 1～2局 2000試]
0.56,0.3,frozen,2000,0.4995,-0.0005000000000000004,6,6,6,0.4995,-0.0005000000000000004,6,6,6, [0.012500 1表 1裏 1目 1～2局 2000試] [0.007000 2表 2裏 2目 1～2局 2000試] [0.004000 4表 4裏 4目 1～2局 2000試] [-0.000500 6表 6裏 6目 1～2局 2000試]
0.57,0.3,frozen,2000,0.5005,0.0004999999999999449,3,3,3,0.5005,0.0004999999999999449,3,3,3, [0.029500 1表 1裏 1目 1～2局 2000試] [0.000500 3表 3裏 3目 1～2局 2000試]
0.58,0.3,frozen,2000,0.5005,0.0004999999999999449,3,4,31,0.5005,0.0004999999999999449,3,4,31, [0.033000 1表 1裏 1目 1～2局 2000試] [0.012000 4表 4裏 4目 1～2局 2000試] [0.004000 3表 4裏 10目 3～9局 2000試] [-0.003000 5表 6裏 16目 3～9局 2000試] [-0.001500 7表 11裏 18目 2～6局 2000試] [0.000500 3表 4裏 31目 8～26局 2000試]
0.59,0.3,frozen,2000,0.4995,-0.0005000000000000004,7,13,15,0.4995,-0.0005000000000000004,7,13,15, [0.041500 1表 1裏 1目 1～2局 2000試] [0.035000 3表 3裏 3目 1～2局 2000試] [-0.018000 2表 3裏 5目 2～6局 2000試] [0.006000 2表 3裏 7目 2～9局 2000試] [-0.003500 3表 5裏 8目 2～6局 2000試] [0.002500 4表 6裏 10目 2～6局 2000試] [0.001500 4表 7裏 10目 1～6局 2000試] [-0.000500 7表 13裏 15目 1～6局 2000試]
