p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_p_step,latest_q_step,latest_span,candidates
0.5,0.0,alternating,2000,0.4995,-0.0005,1,1,5,0.4995,-0.0005,1,1,5,[0.025500 1表 1裏 1目 1～1局 2000試] [0.005500 1表 1裏 2目 2～3局 2000試] [-0.002000 2表 3裏 4目 2～3局 2000試] [-0.000500 1表 1裏 5目 5～9局 2000試]
0.51,0.0,alternating,2000,0.5005,0.0004999999999999,3,3,6,0.5005,0.0004999999999999,3,3,6,[-0.016000 1表 1裏 1目 1～1局 2000試] [0.015500 1表 1裏 2目 2～3局 2000試] [0.004500 2表 2裏 2目 1～1局 2000試] [-0.001000 1表 1裏 4目 4～7局 2000試] [0.000500 3表 3裏 6目 2～3局 2000試]
0.52,0.0,alternating,2000,0.5005,0.0004999999999999,4,4,5,0.5005,0.0004999999999999,4,4,5,[0.022000 1表 1裏 1目 1～1局 2000試] [0.009500 1表 1裏 2目 2～3局 2000試] [0.006500 1表 1裏 3目 3～5局 2000試] [0.005000 1表 1裏 4目 4～7局 2000試] [-0.001500 3表 3裏 5目 2～3局 2000試] [0.000500 4表 4裏 5目 2～3局 2000試]
0.53,0.0,alternating,2000,0.4995,-0.0005,5,5,6,0.4995,-0.0005,5,5,6,[0.027500 1表 1裏 1目 1～1局 2000試] [0.016000 1表 1裏 2目 2～3局 2000試] [0.008000 2表 2裏 2目 1～1局 2000試] [0.005500 2表 2裏 6目 3～5局 2000試] [-0.002500 2表 3裏 6目 3～5局 2000試] [-0.000500 5表 5裏 6目 2～3局 2000試]
0.54,0.0,alternating,2000,0.4995,-0.0005,2,3,6,0.4995,-0.0005,2,3,6,[0.033500 1表 1裏 1目 1～1局 2000試] [0.020000 1表 1裏 2目 2～3局 2000試] [0.006500 1表 1裏 3目 3～5局 2000試] [0.003500 2表 3裏 4目 2～3局 2000試] [0.002000 1表 1裏 6目 6～11局 2000試] [-0.000500 2表 3裏 6目 3～5局 2000試]
0.55,0.0,alternating,2000,0.5005,0.0004999999999999,3,8,13,0.5005,0.0004999999999999,3,8,13,[0.041500 1表 1裏 1目 1～1局 2000試] [0.033000 1表 1裏 2目 2～3局 2000試] [0.016500 1表 1裏 3目 3～5局 2000試] [0.013500 2表 2裏 4目 2～3局 2000試] [0.004500 1表 2裏 5目 3～9局 2000試] [0.004000 3表 5裏 6目 2～3局 2000試] [-0.003000 3表 5裏 7目 2～5局 2000試] [-0.001000 1表 1裏 8目 8～15局 2000試] [0.000500 3表 8裏 13目 3～9局 2000試]
0.56,0.0,alternating,2000,0.5,0.0,2,3,12,0.5,0.0,2,3,12,[0.063500 1表 1裏 1目 1～1局 2000試] [0.034500 1表 1裏 2目 2～3局 2000試] [0.016500 1表 1裏 3目 3～5局 2000試] [-0.014000 1表 2裏 3目 2～5局 2000試] [-0.006500 1表 2裏 4目 3～7局 2000試] [0.001000 1表 2裏 6目 4～11局 2000試] [0.000000 2表 3裏 12目 5～11局 2000試]
0.57,0.0,alternating,2000,0.5,0.0,1,2,6,0.5,0.0,1,2,6,[0.082000 1表 1裏 1目 1～1局 2000試] [0.039500 1表 1裏 2目 2～3局 2000試] [0.033500 1表 1裏 3目 3～5局 2000試] [-0.021500 1表 2裏 3目 2～5局 2000試] [-0.021000 1表 2裏 4目 3～7局 2000試] [0.018000 1表 1裏 5目 5～9局 2000試] [0.007500 1表 2裏 5目 3～9局 2000試] [-0.006500 2表 4裏 5目 2～5局 2000試] [0.000000 1表 2裏 6目 4～11局 2000試]
0.58,0.0,alternating,2000,0.4995,-0.0005,1,3,5,0.4995,-0.0005,1,3,5,[0.084000 1表 1裏 1目 1～1局 2000試] [0.053000 1表 1裏 2目 2～3局 2000試] [0.038000 1表 1裏 3目 3～5局 2000試] [-0.014000 1表 2裏 3目 2～5局 2000試] [-0.012000 1表 2裏 4目 3～7局 2000試] [-0.000500 1表 3裏 5目 3～9局 2000試]
0.59,0.0,alternating,2000,0.5,0.0,5,7,11,0.5,0.0,5,7,11,[0.092500 1表 1裏 1目 1～1局 2000試] [0.074500 1表 1裏 2目 2～3局 2000試] [-0.060000 1表 2裏 2目 1～3局 2000試] [0.035000 1表 1裏 3目 3～5局 2000試] [-0.004000 1表 2裏 3目 2～5局 2000試] [0.001500 1表 2裏 4目 3～7局 2000試] [0.000000 5表 7裏 11目 2～5局 2000試]
0.6,0.0,alternating,2000,0.5,0.0,1,2,8,0.5,0.0,1,2,8,[0.106500 1表 1裏 1目 1～1局 2000試] [0.044000 1表 1裏 2目 2～3局 2000試] [0.043000 1表 1裏 3目 3～5局 2000試] [0.014000 1表 2裏 3目 2～5局 2000試] [-0.006500 1表 2裏 4目 3～7局 2000試] [-0.001000 1表 2裏 5目 3～9局 2000試] [0.000000 1表 2裏 8目 5～15局 2000試]
0.61,0.0,alternating,2000,0.5,0.0,2,6,9,0.5,0.0,2,6,9,[0.098000 1表 1裏 1目 1～1局 2000試] [0.063500 1表 1裏 2目 2～3局 2000試] [-0.026000 1表 2裏 2目 1～3局 2000試] [-0.004500 1表 2裏 3目 2～5局 2000試] [-0.003000 1表 3裏 5目 3～9局 2000試] [0.002500 2表 4裏 6目 2～5局 2000試] [-0.002000 1表 6裏 8目 3～15局 2000試] [0.000000 2表 6裏 9目 3～9局 2000試]
0.62,0.0,alternating,2000,0.5,0.0,2,5,7,0.5,0.0,2,5,7,[0.100000 1表 1裏 1目 1～1局 2000試] [0.048000 1表 1裏 2目 2～3局 2000試] [-0.023500 1表 2裏 2目 1～3局 2000試] [0.017000 1表 2裏 3目 2～5局 2000試] [0.011000 1表 2裏 4目 3～7局 2000試] [-0.009000 1表 3裏 4目 2～7局 2000試] [0.002000 3表 5裏 5目 1～3局 2000試] [-0.001000 3表 4裏 7目 2～5局 2000試] [0.000000 2表 5裏 7目 2～7局 2000試]
0.63,0.0,alternating,2000,0.5005,0.0004999999999999,4,8,10,0.5005,0.0004999999999999,4,8,10,[0.125500 1表 1裏 1目 1～1局 2000試] [0.072000 1表 1裏 2目 2～3局 2000試] [-0.019500 1表 2裏 2目 1～3局 2000試] [-0.014000 1表 2裏 3目 2～5局 2000試] [0.004000 1表 2裏 4目 3～7局 2000試] [0.001000 3表 4裏 4目 1～3局 2000試] [0.000500 4表 8裏 10目 2～5局 2000試]
0.64,0.0,alternating,2000,0.5005,0.0004999999999999,1,2,9,0.5005,0.0004999999999999,1,2,9,[0.118500 1表 1裏 1目 1～1局 2000試] [0.078000 1表 1裏 2目 2～3局 2000試] [-0.019000 1表 2裏 2目 1～3局 2000試] [0.014000 1表 2裏 3目 2～5局 2000試] [0.003000 1表 3裏 4目 2～7局 2000試] [0.001000 4表 8裏 8目 1～3局 2000試] [0.000500 1表 2裏 9目 6～17局 2000試]
0.65,0.0,alternating,2000,0.5,0.0,2,4,4,0.5,0.0,2,4,4,[0.142000 1表 1裏 1目 1～1局 2000試] [0.075000 1表 1裏 2目 2～3局 2000試] [-0.001000 1表 2裏 2目 1～3局 2000試] [0.000000 2表 4裏 4目 1～3局 2000試]
0.66,0.0,alternating,2000,0.5005,0.0004999999999999,1,5,9,0.5005,0.0004999999999999,1,5,9,[0.172000 1表 1裏 1目 1～1局 2000試] [0.079000 1表 1裏 2目 2～3局 2000試] [-0.004500 1表 2裏 2目 1～3局 2000試] [0.004500 2表 3裏 3目 1～3局 2000試] [0.003000 2表 4裏 4目 1～3局 2000試] [-0.002500 2表 6裏 7目 2～7局 2000試] [0.000500 1表 5裏 9目 3～17局 2000試]
