p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_p_step,latest_q_step,latest_span,candidates
0.67,0.0,alternating,2000,0.4995,-0.0005,1,5,9,0.4995,-0.0005,1,5,9,[0.182000 1表 1裏 1目 1～1局 2000試] [0.091500 1表 1裏 2目 2～3局 2000試] [0.030500 1表 2裏 2目 1～3局 2000試] [0.027000 2表 3裏 3目 1～3局 2000試] [0.021500 1表 2裏 4目 3～7局 2000試] [-0.002000 1表 3裏 4目 2～7局 2000試] [-0.000500 1表 5裏 9目 3～17局 2000試]
0.68,0.0,alternating,2000,0.5005,0.0004999999999999,2,9,12,0.5005,0.0004999999999999,2,9,12,[0.187500 1表 1裏 1目 1～1局 2000試] [0.095500 1表 1裏 2目 2～3局 2000試] [0.038500 1表 2裏 2目 1～3局 2000試] [0.035000 2表 3裏 3目 1～3局 2000試] [-0.004500 1表 3裏 4目 2～7局 2000試] [0.003500 1表 3裏 7目 3～13局 2000試] [-0.001500 2表 8裏 9目 2～9局 2000試] [-0.001000 1表 3裏 10目 5～19局 2000試] [0.000500 2表 9裏 12目 3～11局 2000試]
0.69,0.0,alternating,2000,0.4995,-0.0005,3,8,11,0.4995,-0.0005,3,8,11,[0.199500 1表 1裏 1目 1～1局 2000試] [0.106000 1表 1裏 2目 2～3局 2000試] [0.038500 1表 2裏 2目 1～3局 2000試] [0.021500 1表 2裏 3目 2～5局 2000試] [0.003500 1表 3裏 4目 2～7局 2000試] [0.001000 1表 4裏 6目 3～11局 2000試] [-0.000500 3表 8裏 11目 2～7局 2000試]
0.7,0.0,alternating,2000,0.5005,0.0004999999999999,2,6,7,0.5005,0.0004999999999999,2,6,7,[0.201500 1表 1裏 1目 1～1局 2000試] [0.112500 1表 1裏 2目 2～3局 2000試] [0.057500 1表 2裏 2目 1～3局 2000試] [-0.028500 1表 3裏 3目 1～5局 2000試] [0.011000 1表 3裏 4目 2～7局 2000試] [0.000500 2表 6裏 7目 2～7局 2000試]
0.71,0.0,alternating,2000,0.5,0.0,1,4,9,0.5,0.0,1,4,9,[0.223000 1表 1裏 1目 1～1局 2000試] [0.136000 1表 1裏 2目 2～3局 2000試] [0.058000 1表 2裏 2目 1～3局 2000試] [0.056000 1表 2裏 3目 2～5局 2000試] [-0.035000 1表 3裏 3目 1～5局 2000試] [0.028500 1表 3裏 4目 2～7局 2000試] [0.023500 1表 3裏 5目 3～9局 2000試] [-0.002000 1表 4裏 5目 2～9局 2000試] [-0.001000 2表 5裏 5目 1～5局 2000試] [0.000000 1表 4裏 9目 3～17局 2000試]
0.72,0.0,alternating,2000,0.5005,0.0004999999999999,1,8,10,0.5005,0.0004999999999999,1,8,10,[0.235500 1表 1裏 1目 1～1局 2000試] [0.136000 1表 1裏 2目 2～3局 2000試] [0.071000 1表 2裏 2目 1～3局 2000試] [0.046000 1表 2裏 3目 2～5局 2000試] [0.001000 1表 3裏 3目 1～5局 2000試] [0.000500 1表 8裏 10目 3～19局 2000試]
0.73,0.0,alternating,2000,0.5005,0.0004999999999999,4,10,10,0.5005,0.0004999999999999,4,10,10,[0.237000 1表 1裏 1目 1～1局 2000試] [0.147000 1表 1裏 2目 2～3局 2000試] [0.104500 1表 2裏 2目 1～3局 2000試] [0.092000 1表 1裏 3目 3～5局 2000試] [0.082500 1表 2裏 3目 2～5局 2000試] [-0.002000 1表 3裏 3目 1～5局 2000試] [0.000500 4表 10裏 10目 1～5局 2000試]
0.74,0.0,alternating,2000,0.4995,-0.0005,1,10,16,0.4995,-0.0005,1,10,16,[0.236000 1表 1裏 1目 1～1局 2000試] [0.147000 1表 1裏 2目 2～3局 2000試] [0.081500 1表 2裏 2目 1～3局 2000試] [0.076500 1表 2裏 3目 2～5局 2000試] [0.017000 1表 3裏 3目 1～5局 2000試] [-0.006500 1表 4裏 5目 2～9局 2000試] [-0.002000 1表 5裏 7目 3～13局 2000試] [-0.001000 2表 11裏 12目 2～11局 2000試] [-0.000500 1表 10裏 16目 3～31局 2000試]
0.75,0.0,alternating,2000,0.5,0.0,1,11,13,0.5,0.0,1,11,13,[0.255500 1表 1裏 1目 1～1局 2000試] [0.165000 1表 1裏 2目 2～3局 2000試] [0.105000 1表 2裏 2目 1～3局 2000試] [0.091000 1表 2裏 3目 2～5局 2000試] [0.023000 1表 3裏 3目 1～5局 2000試] [0.010500 1表 4裏 4目 1～7局 2000試] [-0.001000 1表 5裏 6目 2～11局 2000試] [0.000000 1表 11裏 13目 3～25局 2000試]
0.76,0.0,alternating,2000,0.5005,0.0004999999999999,2,10,12,0.5005,0.0004999999999999,2,10,12,[0.265000 1表 1裏 1目 1～1局 2000試] [0.167500 1表 1裏 2目 2～3局 2000試] [0.134000 1表 2裏 2目 1～3局 2000試] [0.128500 1表 1裏 3目 3～5局 2000試] [0.065500 1表 2裏 3目 2～5局 2000試] [0.056000 1表 3裏 3目 1～5局 2000試] [0.036500 1表 3裏 4目 2～7局 2000試] [-0.011500 1表 4裏 4目 1～7局 2000試] [-0.002000 1表 4裏 5目 2～9局 2000試] [-0.001500 2表 8裏 9目 2～9局 2000試] [0.000500 2表 10裏 12目 2～11局 2000試]
0.77,0.0,alternating,2000,0.5005,0.0004999999999999,1,8,14,0.5005,0.0004999999999999,1,8,14,[0.266000 1表 1裏 1目 1～1局 2000試] [0.162500 1表 1裏 2目 2～3局 2000試] [0.129000 1表 2裏 2目 1～3局 2000試] [0.128000 1表 1裏 3目 3～5局 2000試] [0.093500 1表 2裏 3目 2～5局 2000試] [0.069500 1表 3裏 3目 1～5局 2000試] [0.063000 1表 3裏 4目 2～7局 2000試] [-0.006000 1表 4裏 4目 1～7局 2000試] [-0.005500 2表 8裏 8目 1～7局 2000試] [-0.003500 2表 7裏 9目 2～9局 2000試] [0.001500 1表 8裏 10目 3～19局 2000試] [0.000500 1表 8裏 14目 3～27局 2000試]
0.78,0.0,alternating,2000,0.4995,-0.0005,2,12,13,0.4995,-0.0005,2,12,13,[0.290500 1表 1裏 1目 1～1局 2000試] [0.181500 1表 1裏 2目 2～3局 2000試] [0.163000 1表 2裏 2目 1～3局 2000試] [0.128000 1表 1裏 3目 3～5局 2000試] [0.095500 1表 2裏 3目 2～5局 2000試] [0.053500 1表 3裏 3目 1～5局 2000試] [0.045500 1表 3裏 4目 2～7局 2000試] [0.010000 1表 4裏 4目 1～7局 2000試] [-0.006500 1表 6裏 7目 2～13局 2000試] [-0.006000 1表 7裏 8目 2～15局 2000試] [0.005500 2表 8裏 8目 1～7局 2000試] [-0.001500 2表 10裏 10目 1～9局 2000試] [-0.000500 2表 12裏 13目 2～13局 2000試]
0.79,0.0,alternating,2000,0.4995,-0.0005,1,9,11,0.4995,-0.0005,1,9,11,[0.286000 1表 1裏 1目 1～1局 2000試] [0.210000 1表 1裏 2目 2～3局 2000試] [0.157000 1表 2裏 2目 1～3局 2000試] [0.136500 1表 1裏 3目 3～5局 2000試] [0.111000 1表 2裏 3目 2～5局 2000試] [0.069500 1表 3裏 3目 1～5局 2000試] [0.044500 1表 3裏 4目 2～7局 2000試] [0.004500 1表 4裏 4目 1～7局 2000試] [-0.002500 1表 7裏 8目 2～15局 2000試] [-0.000500 1表 9裏 11目 3～21局 2000試]
0.8,0.0,alternating,2000,0.5,0.0,1,8,18,0.5,0.0,1,8,18,[0.288500 1表 1裏 1目 1～1局 2000試] [0.199000 1表 1裏 2目 2～3局 2000試] [0.164500 1表 2裏 2目 1～3局 2000試] [0.135000 1表 2裏 3目 2～5局 2000試] [0.101000 1表 3裏 3目 1～5局 2000試] [0.056000 1表 3裏 4目 2～7局 2000試] [0.016500 1表 4裏 4目 1～7局 2000試] [0.009000 1表 5裏 6目 2～11局 2000試] [-0.008500 1表 6裏 7目 2～13局 2000試] [0.004000 1表 7裏 8目 2～15局 2000試] [-0.003000 1表 8裏 9目 2～17局 2000試] [-0.001500 2表 13裏 14目 2～13局 2000試] [0.000000 1表 8裏 18目 4～35局 2000試]
0.81,0.0,alternating,2000,0.4995,-0.0005,1,7,15,0.4995,-0.0005,1,7,15,[0.312500 1表 1裏 1目 1～1局 2000試] [0.211000 1表 1裏 2目 2～3局 2000試] [0.189000 1表 2裏 2目 1～3局 2000試] [0.173000 1表 1裏 3目 3～5局 2000試] [0.128000 1表 2裏 3目 2～5局 2000試] [0.111000 1表 3裏 3目 1～5局 2000試] [0.095500 1表 2裏 4目 3～7局 2000試] [0.080000 1表 3裏 4目 2～7局 2000試] [0.032500 1表 4裏 4目 1～7局 2000試] [0.022000 1表 5裏 5目 1～9局 2000試] [0.019500 1表 5裏 6目 2～11局 2000試] [-0.016000 1表 6裏 6目 1～11局 2000試] [-0.014000 1表 7裏 8目 2～15局 2000試] [0.005000 1表 7裏 9目 3～17局 2000試] [-0.002000 1表 8裏 9目 2～17局 2000試] [0.001000 2表 12裏 13目 2～13局 2000試] [-0.000500 1表 7裏 15目 3～29局 2000試]
0.82,0.0,alternating,2000,0.5,0.0,1,14,16,0.5,0.0,1,14,16,[0.305000 1表 1裏 1目 1～1局 2000試] [0.225000 1表 1裏 2目 2～3局 2000試] [0.190500 1表 2裏 2目 1～3局 2000試] [0.161000 1表 1裏 3目 3～5局 2000試] [0.145000 1表 2裏 3目 2～5局 2000試] [0.108000 1表 3裏 3目 1～5局 2000試] [0.080000 1表 3裏 4目 2～7局 2000試] [0.049500 1表 4裏 4目 1～7局 2000試] [0.039500 1表 4裏 5目 2～9局 2000試] [0.025000 1表 5裏 5目 1～9局 2000試] [0.018000 1表 5裏 6目 2～11局 2000試] [-0.005000 1表 6裏 6目 1～11局 2000試] [0.001500 1表 7裏 8目 2～15局 2000試] [0.000000 1表 14裏 16目 3～31局 2000試]
0.83,0.0,alternating,2000,0.4995,-0.0005,1,15,17,0.4995,-0.0005,1,15,17,[0.326000 1表 1裏 1目 1～1局 2000試] [0.234500 1表 1裏 2目 2～3局 2000試] [0.206500 1表 2裏 2目 1～3局 2000試] [0.175000 1表 1裏 3目 3～5局 2000試] [0.164000 1表 2裏 3目 2～5局 2000試] [0.121000 1表 3裏 3目 1～5局 2000試] [0.116000 1表 3裏 4目 2～7局 2000試] [0.090500 1表 4裏 4目 1～7局 2000試] [0.058000 1表 4裏 5目 2～9局 2000試] [0.048000 1表 5裏 5目 1～9局 2000試] [0.002500 1表 6裏 6目 1～11局 2000試] [0.002000 2表 14裏 14目 1～13局 2000試] [-0.001000 1表 13裏 15目 3～29局 2000試] [-0.000500 1表 15裏 17目 3～33局 2000試]
0.84,0.0,alternating,2000,0.5,0.0,1,7,7,0.5,0.0,1,7,7,[0.344500 1表 1裏 1目 1～1局 2000試] [0.239500 1表 1裏 2目 2～3局 2000試] [0.233000 1表 2裏 2目 1～3局 2000試] [0.193000 1表 1裏 3目 3～5局 2000試] [0.149500 1表 2裏 3目 2～5局 2000試] [0.137000 1表 2裏 4目 3～7局 2000試] [0.115000 1表 3裏 4目 2～7局 2000試] [0.089500 1表 4裏 4目 1～7局 2000試] [0.065500 1表 4裏 5目 2～9局 2000試] [0.056500 1表 5裏 5目 1～9局 2000試] [0.036000 1表 5裏 6目 2～11局 2000試] [0.012000 1表 6裏 6目 1～11局 2000試] [0.000000 1表 7裏 7目 1～13局 2000試]
0.85,0.0,alternating,2000,0.5005,0.0004999999999999,1,9,10,0.5005,0.0004999999999999,1,9,10,[0.345000 1表 1裏 1目 1～1局 2000試] [0.247500 1表 1裏 2目 2～3局 2000試] [0.205500 1表 1裏 3目 3～5局 2000試] [0.161500 1表 2裏 3目 2～5局 2000試] [0.148500 1表 3裏 3目 1～5局 2000試] [0.118000 1表 3裏 4目 2～7局 2000試] [0.099000 1表 3裏 5目 3～9局 2000試] [0.071500 1表 4裏 5目 2～9局 2000試] [0.032500 1表 5裏 6目 2～11局 2000試] [0.015000 1表 7裏 7目 1～13局 2000試] [0.004500 1表 8裏 8目 1～15局 2000試] [0.004000 1表 8裏 9目 2～17局 2000試] [0.000500 1表 9裏 10目 2～19局 2000試]
0.86,0.0,alternating,2000,0.5,0.0,1,13,15,0.5,0.0,1,13,15,[0.370000 1表 1裏 1目 1～1局 2000試] [0.269000 1表 1裏 2目 2～3局 2000試] [0.252500 1表 2裏 2目 1～3局 2000試] [0.217000 1表 1裏 3目 3～5局 2000試] [0.205500 1表 2裏 3目 2～5局 2000試] [0.162500 1表 3裏 3目 1～5局 2000試] [0.157000 1表 2裏 4目 3～7局 2000試] [0.149500 1表 3裏 4目 2～7局 2000試] [0.126500 1表 4裏 4目 1～7局 2000試] [0.108000 1表 3裏 5目 3～9局 2000試] [0.093000 1表 4裏 5目 2～9局 2000試] [0.086000 1表 5裏 5目 1～9局 2000試] [0.073000 1表 5裏 6目 2～11局 2000試] [0.056500 1表 6裏 6目 1～11局 2000試] [0.042500 1表 6裏 7目 2～13局 2000試] [0.018000 1表 7裏 7目 1～13局 2000試] [-0.001000 1表 8裏 8目 1～15局 2000試] [0.000000 1表 13裏 15目 3～29局 2000試]
0.87,0.0,alternating,2000,0.5005,0.0004999999999999,1,10,10,0.5005,0.0004999999999999,1,10,10,[0.363500 1表 1裏 1目 1～1局 2000試] [0.287000 1表 1裏 2目 2～3局 2000試] [0.273000 1表 2裏 2目 1～3局 2000試] [0.213500 1表 1裏 3目 3～5局 2000試] [0.206500 1表 2裏 3目 2～5局 2000試] [0.198500 1表 1裏 4目 4～7局 2000試] [0.167500 1表 2裏 4目 3～7局 2000試] [0.149000 1表 3裏 4目 2～7局 2000試] [0.109000 1表 4裏 4目 1～7局 2000試] [0.097000 1表 4裏 5目 2～9局 2000試] [0.096000 1表 5裏 5目 1～9局 2000試] [0.078500 1表 5裏 6目 2～11局 2000試] [0.064000 1表 6裏 6目 1～11局 2000試] [0.051500 1表 6裏 7目 2～13局 2000試] [0.046000 1表 7裏 7目 1～13局 2000試] [0.016000 1表 7裏 8目 2～15局 2000試] [0.000500 1表 10裏 10目 1～19局 2000試]
0.88,0.0,alternating,2000,0.5,0.0,1,31,33,0.5,0.0,1,31,33,[0.387000 1表 1裏 1目 1～1局 2000試] [0.283000 1表 1裏 2目 2～3局 2000試] [0.279500 1表 2裏 2目 1～3局 2000試] [0.238000 1表 1裏 3目 3～5局 2000試] [0.237000 1表 2裏 3目 2～5局 2000試] [0.226000 1表 3裏 3目 1～5局 2000試] [0.201000 1表 2裏 4目 3～7局 2000試] [0.180000 1表 3裏 4目 2～7局 2000試] [0.150000 1表 4裏 4目 1～7局 2000試] [0.137000 1表 3裏 5目 3～9局 2000試] [0.122500 1表 5裏 5目 1～9局 2000試] [0.112000 1表 3裏 6目 3～11局 2000試] [0.074500 1表 5裏 6目 2～11局 2000試] [0.047500 1表 7裏 7目 1～13局 2000試] [0.032500 1表 8裏 8目 1～15局 2000試] [0.022000 1表 8裏 9目 2～17局 2000試] [0.006000 1表 9裏 10目 2～19局 2000試] [0.004000 1表 12裏 12目 1～23局 2000試] [0.002500 1表 12裏 13目 2～25局 2000試] [-0.001500 1表 16裏 18目 3～35局 2000試] [0.001000 2表 19裏 25目 3～25局 2000試] [0.000000 1表 31裏 33目 3～65局 2000試]
0.89,0.0,alternating,2000,0.4995,-0.0005,1,16,18,0.4995,-0.0005,1,16,18,[0.391000 1表 1裏 1目 1～1局 2000試] [0.303500 1表 1裏 2目 2～3局 2000試] [0.253500 1表 1裏 3目 3～5局 2000試] [0.243000 1表 2裏 3目 2～5局 2000試] [0.229500 1表 1裏 4目 4～7局 2000試] [0.224000 1表 2裏 4目 3～7局 2000試] [0.191000 1表 3裏 4目 2～7局 2000試] [0.180000 1表 4裏 4目 1～7局 2000試] [0.168500 1表 2裏 5目 3～9局 2000試] [0.163500 1表 3裏 5目 3～9局 2000試] [0.151500 1表 4裏 5目 2～9局 2000試] [0.138500 1表 5裏 5目 1～9局 2000試] [0.134000 1表 3裏 6目 3～11局 2000試] [0.116500 1表 4裏 6目 3～11局 2000試] [0.106000 1表 5裏 6目 2～11局 2000試] [0.103000 1表 5裏 7目 3～13局 2000試] [0.092000 1表 6裏 7目 2～13局 2000試] [0.080500 1表 7裏 7目 1～13局 2000試] [0.062000 1表 7裏 8目 2～15局 2000試] [0.059000 1表 8裏 8目 1～15局 2000試] [0.050000 1表 7裏 9目 3～17局 2000試] [0.039500 1表 9裏 9目 1～17局 2000試] [0.024500 1表 9裏 10目 2～19局 2000試] [0.014500 1表 10裏 11目 2～21局 2000試] [0.004500 1表 10裏 12目 3～23局 2000試] [0.001000 1表 12裏 12目 1～23局 2000試] [-0.000500 1表 16裏 18目 3～35局 2000試]
0.9,0.0,alternating,2000,0.5,0.0,2,30,30,0.5,0.0,2,30,30,[0.399500 1表 1裏 1目 1～1局 2000試] [0.332500 1表 1裏 2目 2～3局 2000試] [0.305000 1表 2裏 2目 1～3局 2000試] [0.269000 1表 1裏 3目 3～5局 2000試] [0.261500 1表 2裏 3目 2～5局 2000試] [0.252000 1表 3裏 3目 1～5局 2000試] [0.245500 1表 1裏 4目 4～7局 2000試] [0.216000 1表 2裏 4目 3～7局 2000試] [0.201000 1表 4裏 4目 1～7局 2000試] [0.197500 1表 1裏 5目 5～9局 2000試] [0.192500 1表 2裏 5目 3～9局 2000試] [0.163500 1表 3裏 5目 3～9局 2000試] [0.159000 1表 2裏 6目 4～11局 2000試] [0.150500 1表 3裏 6目 3～11局 2000試] [0.136500 1表 5裏 6目 2～11局 2000試] [0.117500 1表 6裏 6目 1～11局 2000試] [0.097500 1表 5裏 7目 3～13局 2000試] [0.092000 1表 6裏 7目 2～13局 2000試] [0.068000 1表 7裏 8目 2～15局 2000試] [0.054000 1表 8裏 9目 2～17局 2000試] [0.034500 1表 9裏 9目 1～17局 2000試] [0.033500 1表 10裏 11目 2～21局 2000試] [0.027000 1表 11裏 11目 1～21局 2000試] [0.021000 1表 12裏 13目 2～25局 2000試] [0.013000 1表 13裏 13目 1～25局 2000試] [0.012500 1表 12裏 14目 3～27局 2000試] [-0.001000 1表 16裏 16目 1～31局 2000試] [0.000000 2表 30裏 30目 1～29局 2000試]
0.91,0.0,alternating,2000,0.4995,-0.0005,1,21,22,0.74,0.24,6,22,22,[0.409500 1表 1裏 1目 1～1局 2000試] [0.348000 1表 1裏 2目 2～3局 2000試] [0.347000 1表 2裏 2目 1～3局 2000試] [0.297000 1表 1裏 3目 3～5局 2000試] [0.278000 1表 2裏 3目 2～5局 2000試] [0.262500 1表 3裏 3目 1～5局 2000試] [0.241000 1表 1裏 4目 4～7局 2000試] [0.239000 1表 2裏 4目 3～7局 2000試] [0.227500 1表 3裏 4目 2～7局 2000試] [0.213500 1表 4裏 4目 1～7局 2000試] [0.207500 1表 2裏 5目 3～9局 2000試] [0.189500 1表 3裏 5目 3～9局 2000試] [0.186500 1表 2裏 6目 4～11局 2000試] [0.169500 1表 3裏 6目 3～11局 2000試] [0.152000 1表 4裏 6目 3～11局 2000試] [0.142500 1表 5裏 6目 2～11局 2000試] [0.128000 1表 6裏 6目 1～11局 2000試] [0.126000 1表 6裏 7目 2～13局 2000試] [0.113000 1表 7裏 7目 1～13局 2000試] [0.108500 1表 6裏 8目 3～15局 2000試] [0.102500 1表 7裏 8目 2～15局 2000試] [0.101000 1表 8裏 8目 1～15局 2000試] [0.082000 1表 8裏 9目 2～17局 2000試] [0.079500 1表 9裏 9目 1～17局 2000試] [0.063500 1表 8裏 10目 3～19局 2000試] [0.058000 1表 10裏 10目 1～19局 2000試] [0.037000 1表 11裏 11目 1～21局 2000試] [0.029500 1表 12裏 12目 1～23局 2000試] [0.023000 1表 13裏 13目 1～25局 2000試] [0.020500 1表 12裏 14目 3～27局 2000試] [0.002000 1表 14裏 14目 1～27局 2000試] [0.001000 1表 18裏 19目 2～37局 2000試] [-0.000500 1表 21裏 22目 2～43局 2000試]
