p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.5,0.5,alternating,2000,0.5,0.0,1,2,5,0.5,0.0,1,2,5, [-0.113000 1表 1裏 1目 1～2局 2000試] [-0.064000 1表 1裏 2目 2～6局 2000試] [-0.061000 1表 2裏 2目 1～6局 2000試] [-0.039000 1表 1裏 3目 3～10局 2000試] [-0.022000 1表 2裏 3目 2～10局 2000試] [-0.018500 1表 3裏 4目 2～14局 2000試] [0.000000 1表 2裏 5目 3～18局 2000試]
0.51,0.5,alternating,2000,0.4995,-0.0005000000000000004,1,4,12,0.4995,-0.0005000000000000004,1,4,12, [-0.118000 1表 1裏 1目 1～2局 2000試] [-0.061500 1表 1裏 2目 2～6局 2000試] [-0.050000 1表 1裏 3目 3～10局 2000試] [-0.032000 1表 2裏 3目 2～10局 2000試] [-0.027000 1表 2裏 4目 3～14局 2000試] [-0.020500 2表 3裏 4目 2～6局 2000試] [-0.010500 1表 2裏 5目 3～18局 2000試] [-0.003000 2表 4裏 5目 2～10局 2000試] [0.001000 1表 5裏 7目 3～26局 2000試] [-0.000500 1表 4裏 12目 5～46局 2000試]
0.52,0.5,alternating,2000,0.4995,-0.0005000000000000004,2,3,12,0.4995,-0.0005000000000000004,2,3,12, [-0.104000 1表 1裏 1目 1～2局 2000試] [-0.042000 1表 1裏 2目 2～6局 2000試] [-0.017500 1表 2裏 3目 2～10局 2000試] [-0.012000 2表 4裏 5目 2～10局 2000試] [-0.011500 1表 4裏 7目 3～26局 2000試] [-0.011000 2表 4裏 7目 3～14局 2000試] [-0.005500 1表 1裏 8目 8～30局 2000試] [-0.003000 1表 2裏 9目 6～34局 2000試] [0.001500 2表 3裏 9目 4～18局 2000試] [0.001000 1表 3裏 10目 5～38局 2000試] [-0.000500 2表 3裏 12目 5～22局 2000試]
0.53,0.5,alternating,2000,0.5,0.0,1,2,9,0.5,0.0,1,2,9, [-0.101500 1表 1裏 1目 1～2局 2000試] [-0.073000 1表 1裏 2目 2～6局 2000試] [-0.038500 1表 1裏 3目 3～10局 2000試] [-0.024500 1表 2裏 4目 3～14局 2000試] [-0.006000 1表 3裏 4目 2～14局 2000試] [0.001000 1表 2裏 5目 3～18局 2000試] [0.000000 1表 2裏 9目 6～34局 2000試]
0.54,0.5,alternating,2000,0.5005,0.0004999999999999449,4,5,9,0.5005,0.0004999999999999449,4,5,9, [-0.131500 1表 1裏 1目 1～2局 2000試] [-0.072000 1表 1裏 2目 2～6局 2000試] [-0.040000 1表 1裏 3目 3～10局 2000試] [-0.022500 1表 2裏 3目 2～10局 2000試] [0.001500 1表 3裏 4目 2～14局 2000試] [-0.001000 3表 6裏 7目 2～10局 2000試] [0.000500 4表 5裏 9目 2～10局 2000試]
0.55,0.5,alternating,2000,0.5005,0.0004999999999999449,1,3,8,0.5005,0.0004999999999999449,1,3,8, [-0.090500 1表 1裏 1目 1～2局 2000試] [-0.076000 1表 1裏 2目 2～6局 2000試] [-0.050000 1表 1裏 3目 3～10局 2000試] [-0.042000 1表 2裏 3目 2～10局 2000試] [-0.026500 1表 1裏 4目 4～14局 2000試] [-0.021500 1表 3裏 4目 2～14局 2000試] [-0.006000 1表 2裏 5目 3～18局 2000試] [0.002000 2表 3裏 7目 3～14局 2000試] [0.000500 1表 3裏 8目 4～30局 2000試]
0.56,0.5,alternating,2000,0.5,0.0,2,5,6,0.5,0.0,2,5,6, [-0.111000 1表 1裏 1目 1～2局 2000試] [-0.052500 1表 1裏 2目 2～6局 2000試] [-0.035500 1表 2裏 3目 2～10局 2000試] [-0.034000 1表 1裏 4目 4～14局 2000試] [-0.010000 1表 2裏 4目 3～14局 2000試] [-0.005500 2表 4裏 5目 2～10局 2000試] [0.003000 1表 2裏 6目 4～22局 2000試] [0.001000 1表 5裏 6目 2～22局 2000試] [0.000000 2表 5裏 6目 2～10局 2000試]
0.57,0.5,alternating,2000,0.5,0.0,2,5,9,0.5,0.0,2,5,9, [-0.117000 1表 1裏 1目 1～2局 2000試] [-0.053000 1表 1裏 2目 2～6局 2000試] [-0.044000 1表 2裏 3目 2～10局 2000試] [-0.011000 1表 2裏 4目 3～14局 2000試] [-0.008000 1表 3裏 4目 2～14局 2000試] [-0.003500 2表 3裏 7目 3～14局 2000試] [0.000000 2表 5裏 9目 3～18局 2000試]
0.58,0.5,alternating,2000,0.5,0.0,3,10,11,0.5,0.0,3,10,11, [-0.116500 1表 1裏 1目 1～2局 2000試] [-0.053500 1表 1裏 2目 2～6局 2000試] [-0.047000 1表 1裏 4目 4～14局 2000試] [-0.026500 1表 2裏 4目 3～14局 2000試] [-0.019500 1表 3裏 4目 2～14局 2000試] [-0.019000 1表 2裏 5目 3～18局 2000試] [-0.014500 1表 3裏 5目 3～18局 2000試] [0.002000 2表 3裏 5目 2～10局 2000試] [0.001000 3表 5裏 7目 2～10局 2000試] [0.000000 3表 10裏 11目 2～14局 2000試]
0.59,0.5,alternating,2000,0.4995,-0.0005000000000000004,3,8,13,0.4995,-0.0005000000000000004,3,8,13, [-0.125500 1表 1裏 1目 1～2局 2000試] [-0.061500 1表 1裏 2目 2～6局 2000試] [-0.051500 1表 1裏 3目 3～10局 2000試] [-0.020500 1表 2裏 3目 2～10局 2000試] [-0.015500 1表 2裏 4目 3～14局 2000試] [-0.014000 1表 1裏 5目 5～18局 2000試] [-0.011500 1表 2裏 5目 3～18局 2000試] [-0.007500 1表 4裏 5目 2～18局 2000試] [0.005000 1表 2裏 6目 4～22局 2000試] [0.003500 1表 3裏 7目 3～26局 2000試] [-0.001500 2表 3裏 7目 3～14局 2000試] [0.001500 1表 6裏 7目 2～26局 2000試] [0.001000 1表 5裏 8目 3～30局 2000試] [-0.000500 3表 8裏 13目 3～18局 2000試]
0.6,0.5,alternating,2000,0.5,0.0,1,3,4,0.5,0.0,1,3,4, [-0.090000 1表 1裏 1目 1～2局 2000試] [-0.047500 1表 1裏 2目 2～6局 2000試] [-0.046000 1表 1裏 3目 3～10局 2000試] [-0.015000 1表 2裏 3目 2～10局 2000試] [-0.008500 1表 2裏 4目 3～14局 2000試] [0.000000 1表 3裏 4目 2～14局 2000試]
0.61,0.5,alternating,2000,0.4995,-0.0005000000000000004,1,3,7,0.4995,-0.0005000000000000004,1,3,7, [-0.082000 1表 1裏 1目 1～2局 2000試] [-0.055500 1表 1裏 2目 2～6局 2000試] [-0.042000 1表 1裏 3目 3～10局 2000試] [-0.022500 1表 2裏 3目 2～10局 2000試] [-0.015000 1表 1裏 4目 4～14局 2000試] [-0.001500 1表 3裏 4目 2～14局 2000試] [-0.000500 1表 3裏 7目 3～26局 2000試]
0.62,0.5,alternating,2000,0.4995,-0.0005000000000000004,1,2,5,0.4995,-0.0005000000000000004,1,2,5, [-0.097000 1表 1裏 1目 1～2局 2000試] [-0.036000 1表 1裏 2目 2～6局 2000試] [-0.031500 1表 1裏 3目 3～10局 2000試] [-0.030500 1表 2裏 3目 2～10局 2000試] [-0.030000 1表 1裏 4目 4～14局 2000試] [-0.005000 1表 2裏 4目 3～14局 2000試] [-0.000500 1表 2裏 5目 3～18局 2000試]
0.63,0.5,alternating,2000,0.4995,-0.0005000000000000004,2,6,7,0.4995,-0.0005000000000000004,2,6,7, [-0.089500 1表 1裏 1目 1～2局 2000試] [-0.037000 1表 1裏 2目 2～6局 2000試] [-0.034500 1表 1裏 3目 3～10局 2000試] [-0.019500 1表 2裏 3目 2～10局 2000試] [-0.017500 1表 3裏 4目 2～14局 2000試] [-0.002500 1表 3裏 5目 3～18局 2000試] [0.001500 2表 3裏 5目 2～10局 2000試] [-0.000500 2表 6裏 7目 2～14局 2000試]
0.64,0.5,alternating,2000,0.5005,0.0004999999999999449,2,7,10,0.5005,0.0004999999999999449,2,7,10, [-0.078000 1表 1裏 1目 1～2局 2000試] [-0.060000 1表 1裏 2目 2～6局 2000試] [-0.020500 1表 1裏 3目 3～10局 2000試] [-0.012000 1表 2裏 5目 3～18局 2000試] [-0.009500 1表 3裏 5目 3～18局 2000試] [-0.006000 2表 3裏 5目 2～10局 2000試] [-0.003000 1表 2裏 6目 4～22局 2000試] [0.001500 2表 3裏 7目 3～14局 2000試] [0.000500 2表 7裏 10目 3～18局 2000試]
0.65,0.5,alternating,2000,0.4995,-0.0005000000000000004,2,3,7,0.4995,-0.0005000000000000004,2,3,7, [-0.086500 1表 1裏 1目 1～2局 2000試] [-0.042000 1表 1裏 2目 2～6局 2000試] [-0.033500 1表 2裏 3目 2～10局 2000試] [-0.030000 1表 1裏 4目 4～14局 2000試] [-0.015500 1表 2裏 4目 3～14局 2000試] [-0.010500 1表 3裏 4目 2～14局 2000試] [-0.006000 1表 2裏 5目 3～18局 2000試] [0.004000 1表 5裏 6目 2～22局 2000試] [0.003000 1表 3裏 7目 3～26局 2000試] [-0.000500 2表 3裏 7目 3～14局 2000試]
0.66,0.5,alternating,2000,0.5005,0.0004999999999999449,1,4,6,0.5005,0.0004999999999999449,1,4,6, [-0.075500 1表 1裏 1目 1～2局 2000試] [-0.063000 1表 1裏 2目 2～6局 2000試] [-0.051500 1表 2裏 2目 1～6局 2000試] [-0.038500 1表 1裏 3目 3～10局 2000試] [-0.009500 1表 2裏 3目 2～10局 2000試] [-0.007000 2表 3裏 6目 3～10局 2000試] [0.000500 1表 4裏 6目 3～22局 2000試]
0.67,0.5,alternating,2000,0.4995,-0.0005000000000000004,1,7,10,0.4995,-0.0005000000000000004,1,7,10, [-0.074500 1表 1裏 1目 1～2局 2000試] [-0.070500 1表 1裏 2目 2～6局 2000試] [-0.049500 1表 2裏 2目 1～6局 2000試] [-0.035500 1表 1裏 3目 3～10局 2000試] [-0.034000 1表 2裏 3目 2～10局 2000試] [-0.027500 1表 1裏 4目 4～14局 2000試] [-0.014500 1表 2裏 4目 3～14局 2000試] [-0.009000 1表 3裏 5目 3～18局 2000試] [-0.004500 1表 4裏 5目 2～18局 2000試] [0.003500 1表 3裏 6目 3～22局 2000試] [-0.001500 1表 3裏 7目 3～26局 2000試] [-0.001000 1表 4裏 7目 3～26局 2000試] [-0.000500 1表 7裏 10目 3～38局 2000試]
0.68,0.5,alternating,2000,0.4995,-0.0005000000000000004,3,5,8,0.4995,-0.0005000000000000004,3,5,8, [-0.075500 1表 1裏 1目 1～2局 2000試] [-0.043000 1表 1裏 2目 2～6局 2000試] [-0.003000 1表 2裏 3目 2～10局 2000試] [0.002000 1表 2裏 4目 3～14局 2000試] [-0.001000 1表 2裏 7目 5～26局 2000試] [-0.000500 3表 5裏 8目 2～10局 2000試]
0.69,0.5,alternating,2000,0.5,0.0,1,5,8,0.5,0.0,1,5,8, [-0.080500 1表 1裏 1目 1～2局 2000試] [-0.052000 1表 1裏 2目 2～6局 2000試] [-0.050000 1表 2裏 2目 1～6局 2000試] [-0.039500 1表 1裏 3目 3～10局 2000試] [-0.027500 1表 2裏 3目 2～10局 2000試] [-0.011500 1表 3裏 4目 2～14局 2000試] [-0.007000 3表 4裏 5目 2～6局 2000試] [0.003000 1表 4裏 6目 3～22局 2000試] [-0.001500 1表 2裏 8目 5～30局 2000試] [0.000000 1表 5裏 8目 3～30局 2000試]
0.7,0.5,alternating,2000,0.4995,-0.0005000000000000004,2,3,5,0.4995,-0.0005000000000000004,2,3,5, [-0.082500 1表 1裏 1目 1～2局 2000試] [-0.044000 1表 1裏 2目 2～6局 2000試] [-0.035000 1表 2裏 3目 2～10局 2000試] [-0.011000 1表 1裏 4目 4～14局 2000試] [-0.002500 1表 2裏 4目 3～14局 2000試] [0.001000 1表 3裏 4目 2～14局 2000試] [-0.000500 2表 3裏 5目 2～10局 2000試]
