p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,candidates
0.6,0.0,0.49656438970145983,-0.0034356102985401704,200,2,3,299,0.648,0.14800000000000002,200,156,237,299,[0.100000 1表 1裏 1目 1～1局 1試] [-0.024800 1表 2裏 3目 2～4局 200試] [-0.017390 2表 3裏 11目 4～9局 200試] [-0.014145 2表 3裏 17目 6～14局 200試] [-0.012225 2表 3裏 23目 8～19局 200試] [-0.010920 2表 3裏 29目 10～24局 200試] [-0.009959 2表 3裏 35目 12～29局 200試] [-0.009215 2表 3裏 41目 14～34局 200試] [-0.008615 2表 3裏 47目 16～39局 200試] [-0.008119 2表 3裏 53目 18～44局 200試] [-0.007700 2表 3裏 59目 20～49局 200試] [-0.007340 2表 3裏 65目 22～54局 200試] [-0.007026 2表 3裏 71目 24～59局 200試] [-0.006749 2表 3裏 77目 26～64局 200試] [-0.006503 2表 3裏 83目 28～69局 200試] [-0.006281 2表 3裏 89目 30～74局 200試] [-0.006081 2表 3裏 95目 32～79局 200試] [-0.005899 2表 3裏 101目 34～84局 200試] [-0.005732 2表 3裏 107目 36～89局 200試] [-0.005579 2表 3裏 113目 38～94局 200試] [-0.005437 2表 3裏 119目 40～99局 200試] [-0.005306 2表 3裏 125目 42～104局 200試] [-0.005183 2表 3裏 131目 44～109局 200試] [-0.005069 2表 3裏 137目 46～114局 200試] [-0.004962 2表 3裏 143目 48～119局 200試] [-0.004862 2表 3裏 149目 50～124局 200試] [-0.004767 2表 3裏 155目 52～129局 200試] [-0.004678 2表 3裏 161目 54～134局 200試] [-0.004593 2表 3裏 167目 56～139局 200試] [-0.004513 2表 3裏 173目 58～144局 200試] [-0.004437 2表 3裏 179目 60～149局 200試] [-0.004365 2表 3裏 185目 62～154局 200試] [-0.004296 2表 3裏 191目 64～159局 200試] [-0.004230 2表 3裏 197目 66～164局 200試] [-0.004167 2表 3裏 203目 68～169局 200試] [-0.004107 2表 3裏 209目 70～174局 200試] [-0.004050 2表 3裏 215目 72～179局 200試] [-0.003995 2表 3裏 221目 74～184局 200試] [-0.003942 2表 3裏 227目 76～189局 200試] [-0.003891 2表 3裏 233目 78～194局 200試] [-0.003842 2表 3裏 239目 80～199局 200試] [-0.003794 2表 3裏 245目 82～204局 200試] [-0.003749 2表 3裏 251目 84～209局 200試] [-0.003705 2表 3裏 257目 86～214局 200試] [-0.003663 2表 3裏 263目 88～219局 200試] [-0.003622 2表 3裏 269目 90～224局 200試] [-0.003582 2表 3裏 275目 92～229局 200試] [-0.003544 2表 3裏 281目 94～234局 200試] [-0.003507 2表 3裏 287目 96～239局 200試] [-0.003471 2表 3裏 293目 98～244局 200試] [-0.003436 2表 3裏 299目 100～249局 200試]
0.61,0.0,0.4997271572433193,-0.0002728427566806,200,5,8,265,0.24915590879499994,-0.25084409120500006,200,72,240,299,[0.110000 1表 1裏 1目 1～1局 1試] [-0.007451 1表 2裏 3目 2～4局 200試] [-0.007370 2表 3裏 27目 9～22局 200試] [0.001164 2表 3裏 33目 11～27局 200試] [-0.000273 5表 8裏 265目 33～86局 200試]
0.62,0.0,0.5000243539662751,2.4353966275092453e-05,200,3,5,156,0.08820940265629798,-0.41179059734370205,200,42,240,299,[0.120000 1表 1裏 1目 1～1局 1試] [-0.115600 1表 2裏 2目 1～2局 200試] [0.010022 1表 2裏 3目 2～4局 200試] [-0.004281 2表 3裏 15目 5～12局 200試] [0.000097 3表 5裏 61目 12～33局 200試] [0.000024 3表 5裏 156目 31～83局 200試]
0.63,0.0,0.5004982952846722,0.0004982952846721,200,3,5,79,0.20132567711298002,-0.29867432288702,200,52,240,299,[0.130000 1表 1裏 1目 1～1局 1試] [-0.103100 1表 2裏 2目 1～2局 200試] [0.027599 1表 2裏 3目 2～4局 200試] [-0.013359 1表 2裏 5目 3～7局 200試] [-0.001073 3表 5裏 28目 6～15局 200試] [0.000498 3表 5裏 79目 16～42局 200試]
0.64,0.0,0.4988934144725667,-0.0011065855274333,200,4,7,245,0.00535582378596427,-0.4946441762140357,200,19,240,299,[0.140000 1表 1裏 1目 1～1局 1試] [-0.090400 1表 2裏 2目 1～2局 200試] [0.045260 1表 2裏 3目 2～4局 200試] [0.009383 1表 2裏 5目 3～7局 200試] [-0.002182 3表 5裏 40目 8～21局 200試] [-0.001560 4表 7裏 117目 17～46局 200試] [-0.001277 4表 7裏 181目 26～71局 200試] [-0.001107 4表 7裏 245目 35～96局 200試]
0.65,0.0,0.5000387376466248,3.873764662476464e-05,200,6,11,283,0.71825,0.21825000000000006,200,184,239,299,[0.150000 1表 1裏 1目 1～1局 1試] [-0.077500 1表 2裏 2目 1～2局 200試] [0.062981 1表 2裏 3目 2～4局 200試] [0.032283 1表 2裏 5目 3～7局 200試] [0.013827 1表 2裏 7目 4～10局 200試] [0.000503 1表 2裏 9目 5～13局 200試] [0.000127 5表 9裏 106目 12～33局 200試] [0.000063 5表 9裏 171目 19～53局 200試] [0.000039 6表 11裏 283目 26～73局 200試]
0.66,0.0,0.4991710436276079,-0.000828956372392,200,1,2,23,0.731808,0.23180800000000001,200,186,239,299,[0.160000 1表 1裏 1目 1～1局 1試] [-0.064400 1表 2裏 2目 1～2局 200試] [-0.052196 1表 2裏 4目 2～5局 200試] [-0.048081 1表 2裏 6目 3～8局 200試] [0.041061 1表 2裏 7目 4～10局 200試] [0.031382 1表 2裏 9目 5～13局 200試] [0.024088 1表 2裏 11目 6～16局 200試] [0.018242 1表 2裏 13目 7～19局 200試] [0.013359 1表 2裏 15目 8～22局 200試] [0.009158 1表 2裏 17目 9～25局 200試] [0.005465 1表 2裏 19目 10～28局 200試] [0.002163 1表 2裏 21目 11～31局 200試] [-0.000829 1表 2裏 23目 12～34局 200試]
0.67,0.0,0.4996577100431639,-0.0003422899568361,200,1,2,22,0.745174,0.245174,200,181,239,299,[0.170000 1表 1裏 1目 1～1局 1試] [-0.051100 1表 2裏 2目 1～2局 200試] [-0.032494 1表 2裏 4目 2～5局 200試] [-0.023565 1表 2裏 6目 3～8局 200試] [-0.017882 1表 2裏 8目 4～11局 200試] [-0.013758 1表 2裏 10目 5～14局 200試] [-0.010531 1表 2裏 12目 6～17局 200試] [-0.007878 1表 2裏 14目 7～20局 200試] [-0.005624 1表 2裏 16目 8～23局 200試] [-0.003659 1表 2裏 18目 9～26局 200試] [-0.001914 1表 2裏 20目 10～29局 200試] [-0.000342 1表 2裏 22目 11～32局 200試]
0.68,0.0,0.5000697854337149,6.978543371494172e-05,200,5,11,199,0.012790691534650664,-0.4872093084653493,200,19,240,299,[0.180000 1表 1裏 1目 1～1局 1試] [-0.037600 1表 2裏 2目 1～2局 200試] [-0.012505 1表 2裏 4目 2～5局 200試] [0.001298 1表 2裏 6目 3～8局 200試] [0.000162 4表 9裏 91目 10～33局 200試] [0.000070 5表 11裏 199目 18～58局 200試]
0.69,0.0,0.5003798972020231,0.0003798972020231,200,4,9,209,0.0059751931137124945,-0.4940248068862875,200,16,240,299,[0.190000 1表 1裏 1目 1～1局 1試] [-0.023900 1表 2裏 2目 1～2局 200試] [0.007744 1表 2裏 4目 2～5局 200試] [-0.002945 2表 5裏 26目 5～18局 200試] [-0.000734 3表 7裏 99目 14～47局 200試] [0.000380 4表 9裏 209目 23～76局 200試]
