turn_system_name,failure_rate,p,span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate,a_victory_rate_by_duet,b_victory_rate_by_duet,unfair_point
alternating,0.0,0.5,1,1,1,0.5,0.5,0.0,0.5,0.5,0.0
alternating,0.0,0.51,7,1,1,0.5022563517265467,0.4977436482732968,0.0,0.5022563517265467,0.4977436482732968,1.0182246228486736e-05
alternating,0.0,0.52,6,1,1,0.5049262560095866,0.4950737439903616,0.0,0.5049262560095866,0.4950737439903616,4.8535996544487e-05
alternating,0.0,0.53,6,1,1,0.5073976238521914,0.4926023761477698,0.0,0.5073976238521914,0.4926023761477698,0.0001094496773175
alternating,0.0,0.54,7,3,2,0.5036589552038397,0.4963410447961593,0.0,0.5036589552038397,0.4963410447961593,2.6775906367418764e-05
alternating,0.0,0.55,11,3,2,0.4996289832606911,0.500371016739298,0.0,0.4996289832606911,0.500371016739298,2.7530684168669244e-07
alternating,0.0,0.56,6,3,2,0.5017313279999998,0.4982686719999994,0.0,0.5017313279999998,0.4982686719999994,5.994993287169182e-06
alternating,0.0,0.57,13,3,2,0.5019318862665983,0.4980681137333751,0.0,0.5019318862665983,0.4980681137333751,7.464369094245131e-06
alternating,0.0,0.58,8,3,2,0.4989722167551992,0.5010277832447997,0.0,0.4989722167551992,0.5010277832447997,2.11267679658422e-06
alternating,0.0,0.59,6,2,1,0.4996204310363647,0.5003795689636314,0.0,0.4996204310363647,0.5003795689636314,2.8814519630741254e-07
alternating,0.0,0.6,3,2,1,0.5001599999999999,0.49984,0.0,0.5001599999999999,0.49984,5.119999999997807e-08
alternating,0.0,0.61,5,3,1,0.5009961092923154,0.4990038907076837,0.0,0.5009961092923154,0.4990038907076837,1.9844674444760108e-06
alternating,0.0,0.62,8,6,1,0.4991818562673259,0.5008181437326737,0.0,0.4991818562673259,0.5008181437326737,1.3387183346272129e-06
alternating,0.0,0.63,9,3,1,0.4987804189254257,0.5012195810745557,0.0,0.4987804189254257,0.5012195810745557,2.9747559948741936e-06
alternating,0.0,0.64,14,5,2,0.4983473201354991,0.5016526798644932,0.0,0.4983473201354991,0.5016526798644932,5.462701469028142e-06
alternating,0.0,0.65,8,5,1,0.5019534523034132,0.4980465476965846,0.0,0.5019534523034132,0.4980465476965846,7.631951803429175e-06
alternating,0.0,0.66,4,3,1,0.4955755545945599,0.5044244454054398,0.0,0.4955755545945599,0.5044244454054398,3.915143429143801e-05
alternating,0.0,0.67,14,11,4,0.4984760345842299,0.5015239654157699,0.0,0.4984760345842299,0.5015239654157699,4.644941176926166e-06
alternating,0.0,0.68,8,3,1,0.5092321408679107,0.4907678591320766,0.0,0.5092321408679107,0.4907678591320766,0.0001704648500101
alternating,0.0,0.69,4,3,1,0.5049952943448898,0.4950047056551099,0.0,0.5049952943448898,0.4950047056551099,4.99059311841787e-05
alternating,0.0,0.7,15,12,3,0.4913808969999996,0.5086191029999997,0.0,0.4913808969999996,0.5086191029999997,0.0001485778730492
